현재가,거래량,체결시간,시가,고가,저가,전일종가
11.05,1,20231027153000,11.05,11.05,11.05,-4.21
+11.20,2,20231027141500,+11.30,+11.30,+11.20,
+11.40,3,20231027130000,+11.25,+11.40,+11.25,
-10.50,2,20231027120000,-10.30,-10.50,-10.30,
-10.20,2,20231027114500,-10.20,-10.20,-10.20,
-10.05,1,20231027113000,-10.05,-10.05,-10.05,
-10.45,3,20231027104500,-10.30,-10.45,-10.30,
-10.65,2,20231027101500,-10.60,-10.65,-10.60,
+11.30,2,20231027094500,+11.25,+11.30,+11.25,
+11.45,2,20231027093000,+11.40,+11.45,+11.40,
-10.80,2,20231027091500,-10.50,-10.80,-10.50,
-10.60,5,20231027090000,-10.40,-10.70,-10.40,
-10.45,3,20231027084500,-10.50,-10.50,-10.45,
11.50,4,20231026153000,+11.60,+11.60,-11.45,
+11.55,2,20231026151500,+11.55,+11.55,+11.55,
-11.40,2,20231026150000,11.50,11.50,-11.40,
11.50,3,20231026141500,-11.35,11.50,-11.35,
-11.35,4,20231026140000,-11.15,-11.35,-11.10,
-11.10,12,20231026133000,-11.30,-11.30,-11.10,
-10.90,1,20231026130000,-10.90,-10.90,-10.90,
-10.75,1,20231026114500,-10.75,-10.75,-10.75,
-10.05,59,20231026104500,-9.47,-10.05,-9.47,
-9.54,9,20231026103000,-9.99,-9.99,-9.54,
-10.15,22,20231026100000,-10.00,-10.25,-10.00,
-10.00,1,20231026094500,-10.00,-10.00,-10.00,
-10.00,6,20231026093000,-9.90,-10.00,-9.90,
-9.40,9,20231026091500,-9.38,-9.40,-9.38,
-9.61,1,20231026090000,-9.61,-9.61,-9.61,
-9.69,1,20231026084500,-9.69,-9.69,-9.69,
6.87,4,20231025151500,+6.90,+6.90,6.87,
-6.85,26,20231025150000,-6.71,-6.85,-6.70,
-6.75,3,20231025144500,-6.73,-6.75,-6.73,
-6.80,4,20231025143000,-6.74,-6.80,-6.74,
-6.40,1,20231025141500,-6.40,-6.40,-6.40,
-6.42,5,20231025140000,-6.46,-6.46,-6.37,
-6.60,4,20231025133000,-6.60,-6.60,-6.60,
-6.69,3,20231025131500,-6.83,-6.83,-6.69,
-6.75,1,20231025130000,-6.75,-6.75,-6.75,
-6.50,1,20231025120000,-6.50,-6.50,-6.50,
-6.20,1,20231025114500,-6.20,-6.20,-6.20,
-6.20,1,20231025111500,-6.20,-6.20,-6.20,
-6.48,3,20231025104500,-6.48,-6.48,-6.48,
-6.62,5,20231025103000,-6.70,-6.70,-6.62,
-6.70,12,20231025101500,-6.48,-6.75,-6.48,
-6.46,2,20231025100000,-6.47,-6.47,-6.46,
-6.48,4,20231025094500,-6.45,-6.53,-6.45,
-6.50,7,20231025093000,-6.11,-6.50,-6.11,
-5.96,14,20231025091500,-6.11,-6.11,-5.80,
-6.20,18,20231025090000,-6.05,-6.25,-5.88,
-5.96,3,20231025084500,-6.06,-6.06,-5.96,
6.45,1,20231024151500,6.45,6.45,6.45,
+6.53,1,20231024150000,+6.53,+6.53,+6.53,
+6.47,1,20231024144500,+6.47,+6.47,+6.47,
-6.43,5,20231024143000,+6.61,+6.61,-6.43,
+6.60,4,20231024141500,+6.57,+6.60,+6.57,
+7.13,4,20231024134500,+7.13,+7.13,+7.13,
+7.45,6,20231024133000,+7.55,+7.55,+7.44,
+7.88,2,20231024124500,+7.85,+7.88,+7.85,
+7.90,5,20231024123000,+8.00,+8.00,+7.90,
+8.11,4,20231024121500,+7.78,+8.11,+7.78,
+7.82,17,20231024120000,+7.72,+7.82,+7.65,
+7.63,7,20231024114500,+7.40,+7.63,+7.40,
+7.40,21,20231024113000,+7.45,+7.61,+7.40,
+7.52,17,20231024111500,+8.37,+8.37,+7.52,
+9.00,1,20231024110000,+9.00,+9.00,+9.00,
+9.32,1,20231024104500,+9.32,+9.32,+9.32,
+9.41,17,20231024103000,+9.31,+9.53,+9.31,
+8.47,2,20231024101500,+8.10,+8.47,+8.10,
+7.85,4,20231024100000,+7.75,+7.90,+7.73,
+7.70,1,20231024094500,+7.70,+7.70,+7.70,
+7.65,7,20231024091500,+7.31,+7.65,+7.31,
+7.15,2,20231024090000,+6.75,+7.15,+6.75,
7.62,1,20231023153000,7.62,7.62,7.62,
+7.82,2,20231023143000,+7.82,+7.82,+7.82,
+7.87,1,20231023141500,+7.87,+7.87,+7.87,
+7.79,3,20231023140000,+7.79,+7.79,+7.79,
+7.80,3,20231023134500,+7.86,+7.86,+7.80,
+7.82,18,20231023133000,+7.78,+7.87,+7.78,
-7.45,2,20231023131500,-7.35,-7.45,-7.35,
-7.57,2,20231023124500,-7.57,-7.57,-7.57,
-7.61,1,20231023123000,-7.61,-7.61,-7.61,
+7.63,1,20231023121500,+7.63,+7.63,+7.63,
+7.63,2,20231023120000,+7.63,+7.63,+7.63,
+7.73,6,20231023114500,+7.68,+7.73,+7.68,
-7.47,7,20231023113000,-7.47,-7.47,-7.47,
-7.47,46,20231023111500,-7.58,-7.58,-7.38,
-7.45,15,20231023110000,-7.43,-7.45,-7.36,
-6.90,5,20231023101500,-7.20,-7.20,-6.90,
-7.23,4,20231023100000,-7.14,-7.23,-7.14,
-7.08,7,20231023094500,-7.03,-7.14,-7.03,
-7.06,20,20231023093000,-7.48,-7.49,-7.06,
-7.56,49,20231023091500,-6.84,+7.66,-6.84,
-7.36,15,20231023090000,-7.15,-7.37,-7.15,
-7.34,5,20231023084500,-7.42,-7.42,-7.32,
7.05,3,20231020153000,+7.07,+7.07,7.05,
7.05,1,20231020151500,7.05,7.05,7.05,
7.05,3,20231020144500,7.05,7.05,7.05,
-6.46,13,20231020141500,-6.50,-6.50,-6.45,
-6.52,3,20231020140000,-6.30,-6.52,-6.30,
-6.30,2,20231020134500,-6.30,-6.30,-6.30,
-6.30,2,20231020133000,-6.41,-6.41,-6.30,
-6.63,10,20231020124500,-6.59,-6.63,-6.59,
-6.72,4,20231020123000,-6.70,-6.72,-6.70,
-6.75,2,20231020121500,-6.71,-6.75,-6.71,
-6.71,4,20231020120000,-6.71,-6.75,-6.71,
-7.02,4,20231020114500,-7.03,-7.03,-7.00,
+7.40,1,20231020113000,+7.40,+7.40,+7.40,
+7.50,1,20231020110000,+7.50,+7.50,+7.50,
+7.42,2,20231020104500,+7.42,+7.42,+7.42,
+7.57,1,20231020103000,+7.57,+7.57,+7.57,
+7.75,5,20231020101500,+7.78,+7.81,+7.75,
+7.70,7,20231020100000,+7.61,+7.70,+7.61,
+7.72,8,20231020094500,+7.89,+7.89,+7.72,
+7.44,6,20231020093000,+7.24,+7.55,+7.24,
+7.22,13,20231020091500,-6.98,+7.22,-6.98,
-6.88,43,20231020090000,-6.25,-6.88,-6.25,
-6.30,1,20231020084500,-6.30,-6.30,-6.30,
5.22,2,20231019154500,5.22,5.22,5.22,
-5.13,6,20231019153000,-5.10,-5.13,-5.10,
-5.11,14,20231019144500,-5.08,-5.11,-5.08,
-4.99,7,20231019143000,-5.00,-5.00,-4.99,
-4.99,4,20231019141500,-4.99,-4.99,-4.99,
-4.91,3,20231019140000,-4.91,-4.91,-4.91,
-4.99,2,20231019131500,-4.99,-4.99,-4.99,
-4.97,19,20231019123000,-5.07,-5.07,-4.97,
-5.08,16,20231019121500,-4.98,-5.15,-4.98,
-4.94,11,20231019120000,-4.91,-4.94,-4.91,
-4.80,1,20231019113000,-4.80,-4.80,-4.80,
-4.71,1,20231019111500,-4.71,-4.71,-4.71,
-4.50,1,20231019110000,-4.50,-4.50,-4.50,
-4.55,6,20231019104500,-4.50,-4.55,-4.50,
-4.34,9,20231019103000,-4.35,-4.35,-4.34,
-4.40,7,20231019100000,-4.38,-4.47,-4.38,
-4.52,4,20231019094500,-4.52,-4.52,-4.52,
-4.63,9,20231019093000,-4.71,-4.71,-4.63,
-4.75,12,20231019091500,-4.77,-4.77,-4.68,
-4.72,18,20231019090000,-4.35,-4.72,-4.27,
-4.28,6,20231019084500,-3.86,-4.28,-3.86,
2.99,1,20231018154500,2.99,2.99,2.99,
+3.04,1,20231018153000,+3.04,+3.04,+3.04,
+3.05,13,20231018151500,2.99,+3.06,2.99,
-2.98,8,20231018150000,+3.00,+3.06,-2.98,
+3.02,2,20231018144500,+3.02,+3.02,+3.02,
