,date,basis,basis_risk,basis_disparate_ratio,cd_p_change(%),cd_p_range,cny_yesterday_change,cny_night_change,jpy_yesterday_change,jpy_night_change,kospi_p_change(%),kospi_p_range,ks200_p_change(%),ks200_p_range,NAS_close_change,NAS_day_change,NAS_day_fluc_range,niv_night_change,P/C Ratio,put_volume_fluc,call_volume_fluc,sp_close_change,sp_day_change,sp_day_fluc_range,usd_yesterday_change,usd_night_change,vix_close_change,vix_day_change,vix_day_fluc_range
count,54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
mean,2023-09-07 20:53:20,1.8174074074074076,-0.08648148148148148,0.542074074074074,0.03946296296296297,0.0014814814814814814,-0.03437037037037038,-0.02927777777777778,-0.11261111111111109,0.11912962962962963,-0.03031481481481482,15.532962962962962,-0.03912962962962962,2.195925925925926,-0.09333333333333337,-0.09020370370370367,175.8173148148148,0.5757037037037037,1.0433333333333334,5.48888888888889,4.437462962962963,-0.11518518518518517,-0.09131481481481482,43.09000000000001,0.03133333333333334,0.06025925925925925,1.0437037037037038,-0.12512962962962956,1.5505555555555555
min,2023-07-31 00:00:00,0.27,-2.17,0.084,-0.541,-0.02,-0.881,-1.101,-1.082,-1.427,-0.604,7.65,-0.569,1.02,-2.17,-2.677,78.16,-7.074,0.69,-76.269,-77.699,-1.64,-1.77,17.09,-1.073,0.002,-10.92,-10.328,0.31
25%,2023-08-18 18:00:00,1.42,-0.4775,0.418,0.0,0.0,-0.24675,-0.37925,-0.44925000000000004,-0.2885,-0.192,11.6275,-0.17149999999999999,1.745,-0.9425,-0.81925,130.84,-1.45175,0.9524999999999999,-14.56075,-8.38775,-0.61,-0.70225,29.087500000000002,-0.274,0.03625,-3.8200000000000003,-4.2372499999999995,0.9824999999999999
50%,2023-09-06 12:00:00,1.6749999999999998,-0.125,0.5045,0.0,0.0,-0.03,0.035500000000000004,-0.11100000000000002,0.1795,-0.0245,14.115,-0.05,1.98,-0.08499999999999999,0.0635,164.67000000000002,0.0,1.03,3.95,0.673,-0.16,-0.0295,41.165,0.010499999999999999,0.059,-0.31999999999999995,-1.385,1.49
75%,2023-09-25 18:00:00,2.2325,0.355,0.657,0.262,0.01,0.26,0.33775,0.1435,0.51075,0.1475,17.92,0.06325,2.56,0.6025,0.42874999999999996,222.2575,2.526,1.13,23.969250000000002,19.525750000000002,0.4225,0.36924999999999997,54.715,0.31325000000000003,0.07975,5.1575,2.646,1.8925
max,2023-10-20 00:00:00,3.56,1.22,1.019,0.536,0.02,0.961,1.221,0.921,1.437,0.378,30.86,0.362,4.27,1.99,3.499,371.84,9.31,1.49,82.344,75.194,1.81,2.828,82.75,0.988,0.126,15.85,16.878,4.28
std,,0.6779246498597695,0.6542290793979119,0.19424997043314426,0.21685241594339955,0.0081048337329814,0.38860482407479174,0.576596730226747,0.4840155313532769,0.654734485902529,0.22960522511263037,5.465770545767516,0.20653174147717848,0.7389986047386896,1.0411223986912412,1.0186250885038224,61.559698243594546,3.097060155803447,0.13561877757223986,32.12598552495605,28.824935955164882,0.7847670985850919,0.7646810612515244,16.285824922190045,0.4589745748702846,0.030741272843601057,6.450143861580171,6.050908682878918,0.7649427569326007
