,date,CD 변동률,CD 변화량
0,2023-04-03,0.0,0.0
1,2023-04-04,0.0,0.0
2,2023-04-05,0.0,0.0
3,2023-04-06,0.0,0.0
4,2023-04-07,-0.279,0.01
5,2023-04-10,-1.397,0.05
6,2023-04-11,-0.567,0.02
7,2023-04-12,-0.855,0.03
8,2023-04-13,-1.437,0.05
9,2023-04-14,0.0,0.0
10,2023-04-17,0.0,0.0
11,2023-04-18,0.0,0.0
12,2023-04-19,0.292,-0.01
13,2023-04-20,0.291,-0.01
14,2023-04-21,0.58,-0.02
15,2023-04-24,0.576,-0.02
16,2023-04-25,0.0,0.0
17,2023-04-26,0.0,0.0
18,2023-04-27,0.287,-0.01
19,2023-04-28,0.571,-0.02
20,2023-05-02,0.0,0.0
21,2023-05-03,0.284,-0.01
22,2023-05-04,0.567,-0.02
23,2023-05-08,0.0,0.0
24,2023-05-09,0.0,0.0
25,2023-05-10,0.0,0.0
26,2023-05-11,1.127,-0.04
27,2023-05-12,0.279,-0.01
28,2023-05-15,0.278,-0.01
29,2023-05-16,0.277,-0.01
30,2023-05-17,0.0,0.0
31,2023-05-18,0.829,-0.03
32,2023-05-19,0.274,-0.01
33,2023-05-22,0.273,-0.01
34,2023-05-23,0.272,-0.01
35,2023-05-24,0.543,-0.02
36,2023-05-25,0.811,-0.03
37,2023-05-26,0.536,-0.02
38,2023-05-30,0.0,0.0
39,2023-05-31,0.267,-0.01
40,2023-06-01,0.0,0.0
41,2023-06-02,0.0,0.0
42,2023-06-05,0.0,0.0
43,2023-06-07,0.0,0.0
44,2023-06-08,-0.266,0.01
45,2023-06-09,0.0,0.0
46,2023-06-12,0.0,0.0
47,2023-06-13,0.0,0.0
48,2023-06-14,0.0,0.0
49,2023-06-15,0.0,0.0
50,2023-06-16,0.0,0.0
51,2023-06-19,0.0,0.0
52,2023-06-20,0.0,0.0
53,2023-06-21,0.0,0.0
54,2023-06-22,0.0,0.0
55,2023-06-23,0.0,0.0
56,2023-06-26,0.0,0.0
57,2023-06-27,0.0,0.0
58,2023-06-28,0.0,0.0
59,2023-06-29,0.0,0.0
60,2023-06-30,0.0,0.0
61,2023-07-03,0.0,0.0
62,2023-07-04,0.0,0.0
63,2023-07-05,-0.267,0.01
64,2023-07-06,0.0,0.0
65,2023-07-07,0.0,0.0
66,2023-07-10,0.267,-0.01
67,2023-07-11,0.0,0.0
68,2023-07-12,0.0,0.0
69,2023-07-13,0.0,0.0
70,2023-07-14,0.0,0.0
71,2023-07-17,0.0,0.0
72,2023-07-18,0.0,0.0
73,2023-07-19,0.0,0.0
74,2023-07-20,0.0,0.0
75,2023-07-21,0.0,0.0
76,2023-07-24,0.0,0.0
77,2023-07-25,0.0,0.0
78,2023-07-26,0.0,0.0
79,2023-07-27,0.0,0.0
80,2023-07-28,-0.267,0.01
81,2023-07-31,0.0,0.0
82,2023-08-01,0.0,0.0
83,2023-08-02,0.0,0.0
84,2023-08-03,0.0,0.0
85,2023-08-04,-0.267,0.01
86,2023-08-07,-0.268,0.01
87,2023-08-08,0.0,0.0
88,2023-08-09,-0.538,0.02
89,2023-08-10,0.0,0.0
90,2023-08-11,-0.541,0.02
91,2023-08-14,0.272,-0.01
92,2023-08-16,0.0,0.0
93,2023-08-17,0.271,-0.01
94,2023-08-18,0.0,0.0
95,2023-08-21,0.0,0.0
96,2023-08-22,0.0,0.0
97,2023-08-23,0.0,0.0
98,2023-08-24,-0.27,0.01
99,2023-08-25,0.0,0.0
100,2023-08-28,0.0,0.0
101,2023-08-29,0.0,0.0
102,2023-08-30,0.0,0.0
103,2023-08-31,0.0,0.0
104,2023-09-01,0.0,0.0
105,2023-09-04,-0.271,0.01
106,2023-09-05,0.272,-0.01
107,2023-09-06,0.271,-0.01
108,2023-09-07,0.27,-0.01
109,2023-09-08,0.27,-0.01
110,2023-09-11,0.0,0.0
111,2023-09-12,0.0,0.0
112,2023-09-13,0.269,-0.01
113,2023-09-14,0.536,-0.02
114,2023-09-15,0.267,-0.01
115,2023-09-18,0.532,-0.02
116,2023-09-19,0.265,-0.01
117,2023-09-20,0.264,-0.01
118,2023-09-21,0.263,-0.01
119,2023-09-22,0.262,-0.01
120,2023-09-25,0.262,-0.01
121,2023-09-26,0.0,0.0
122,2023-09-27,0.0,0.0
123,2023-10-04,0.0,0.0
124,2023-10-05,0.261,-0.01
125,2023-10-06,-0.26,0.01
126,2023-10-10,-0.261,0.01
127,2023-10-11,0.0,0.0
128,2023-10-12,0.0,0.0
129,2023-10-13,0.0,0.0
130,2023-10-16,0.0,0.0
131,2023-10-17,0.0,0.0
132,2023-10-18,0.0,0.0
133,2023-10-19,0.0,0.0
134,2023-10-20,0.0,0.0
