,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 전날변동율,kospi 야간변동율,ks200 전날변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,nas 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,snp 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,VKOSPI_Label
2023-01-16,1.53,1.83,-0.1,0.016,0.093,0.89,0.166,0.99,0.204,0.64,0.29,230.63,0.91,-66.016,-63.88,-1372285.0,-1132306.0,0.34,0.141,60.2,-0.013,-2.55,-3.421,1.4,0.0
2023-01-17,1.66,1.71,-0.02,0.054,0.041,0.58,0.044,0.72,0.057,0.71,1.584,183.85,0.99,-20.766,-13.402,-146696.0,-85802.0,0.4,0.972,56.28,0.03,6.21,0.257,0.22,0.0
2023-01-18,1.8,1.65,0.05,0.022,0.031,-0.85,0.041,-0.72,-0.041,0.14,0.227,120.72,0.93,-0.987,-6.808,-5522.0,-37746.0,-0.2,-0.208,30.82,0.002,-0.67,-2.665,1.01,0.0
2023-01-19,1.79,1.59,0.06,0.082,0.045,-0.47,-0.581,-0.59,-0.587,-1.24,-1.915,271.36,0.91,20.396,17.305,113038.0,89412.0,-1.56,-1.834,87.57,0.034,5.06,5.498,1.87,0.0
2023-01-20,0.94,1.55,-0.19,0.077,0.045,0.51,-0.014,0.61,0.057,-0.96,-0.35,127.95,0.85,-11.265,-17.275,-75164.0,-104703.0,-0.76,-0.332,37.4,0.034,0.88,0.441,1.54,0.0
2023-01-25,1.27,1.52,-0.08,0.066,0.045,0.63,1.308,0.56,1.657,-0.27,0.277,95.5,0.9,7.333,14.536,43418.0,72886.0,-0.07,0.38,34.13,0.033,-3.08,-3.469,1.56,0.0
2023-01-26,1.79,1.38,0.13,0.066,0.044,1.39,0.313,1.64,0.33,-0.18,1.497,265.05,1.21,-41.201,-21.111,-261837.0,-121238.0,-0.02,0.841,70.49,0.032,-0.63,-2.454,1.91,0.0
2023-01-27,1.08,1.37,-0.09,0.066,0.031,1.65,0.238,1.5,0.2,1.76,0.471,174.86,0.94,74.129,35.721,277000.0,161833.0,1.1,0.603,48.28,0.034,-1.83,-1.68,0.81,1.0
2023-01-30,0.77,1.34,-0.17,0.072,0.161,0.62,0.025,0.74,0.034,0.95,1.319,221.62,0.67,58.84,12.615,382859.0,77568.0,0.25,0.415,45.51,0.047,-1.17,-2.063,1.03,0.0
2023-01-31,1.18,1.22,-0.01,0.055,0.041,-1.35,-0.022,-1.62,0.012,-1.96,-1.03,164.77,0.78,-1.05,15.918,-10853.0,110222.0,-1.3,-0.778,48.3,0.034,7.73,0.911,0.71,1.0
2023-02-01,1.39,1.17,0.07,0.044,0.045,-1.04,0.864,-1.68,1.034,1.67,1.632,187.64,0.82,7.08,11.61,72403.0,93189.0,1.46,1.387,56.72,0.034,-2.71,-3.579,1.57,0.0
2023-02-02,1.66,1.14,0.16,0.017,0.007,1.02,1.312,1.24,1.479,2.0,2.101,403.69,0.9,-22.329,-14.476,-244526.0,-129684.0,1.05,1.207,111.75,-0.002,-7.89,-8.919,2.34,1.0
2023-02-03,1.17,1.1,0.02,0.088,0.046,0.78,-0.095,0.85,-0.108,3.25,1.124,245.41,0.91,51.568,53.374,438618.0,408936.0,1.47,0.507,53.56,0.033,4.81,5.581,2.19,1.0
2023-02-06,0.19,1.06,-0.27,0.011,-0.653,0.47,-0.749,0.6,-0.908,-1.59,0.503,284.45,0.8,26.816,10.987,345706.0,129110.0,-1.04,-0.005,59.0,-0.009,-2.14,-1.292,1.37,1.0
2023-02-07,-0.03,0.94,-0.3,0.146,0.122,-1.7,0.08,-2.16,0.166,-1.0,-0.142,129.92,0.77,26.492,22.285,433106.0,290646.0,-0.61,-0.206,31.25,0.097,6.0,1.04,0.6,0.0
2023-02-08,0.75,0.91,-0.05,0.032,0.016,0.55,0.722,0.54,0.849,1.9,1.871,313.44,0.91,-15.696,-0.681,-324584.0,-10862.0,1.29,1.429,88.15,0.01,-3.96,-4.504,1.56,1.0
2023-02-09,0.72,0.9,-0.06,0.059,0.045,1.3,-0.523,1.58,-0.59,-1.68,-1.314,206.3,0.87,1.356,-3.48,23637.0,-55117.0,-1.11,-0.857,45.18,0.033,5.2,3.972,1.57,1.0
2023-02-10,-0.05,0.86,-0.28,0.07,0.046,-0.09,-0.438,-0.22,-0.492,-1.02,-2.316,325.85,0.77,19.531,6.422,345116.0,98182.0,-0.88,-1.514,86.56,0.034,5.5,7.64,2.06,0.0
2023-02-13,0.06,0.83,-0.24,-0.054,0.068,-0.48,-0.315,-0.37,-0.318,-0.61,0.03,145.26,1.09,-73.369,-62.18,-1549675.0,-1011710.0,0.22,0.529,33.57,-0.095,-0.87,-1.013,1.5,0.0
2023-02-14,0.85,0.74,0.03,0.059,0.044,-0.69,0.76,-0.6,0.855,1.48,1.128,191.19,0.98,-5.91,-15.847,-33243.0,-97519.0,1.14,0.993,46.23,0.033,-0.93,-6.094,1.36,1.0
2023-02-15,1.38,0.71,0.21,0.027,0.009,0.53,0.302,0.53,0.297,0.57,1.287,239.28,0.91,0.797,-6.243,4220.0,-32329.0,-0.03,0.229,64.76,0.005,-7.03,-8.736,2.27,1.0
2023-02-16,-0.59,0.67,-0.4,0.075,0.06,-1.53,0.666,-1.69,0.632,0.92,1.39,194.47,0.79,34.123,16.731,182032.0,81233.0,0.28,0.682,44.13,0.034,-3.6,-5.885,1.3,1.0
2023-02-17,0.0,0.65,-0.2,0.059,0.037,1.96,-1.124,1.92,-1.219,-1.78,-0.34,186.98,0.79,-0.339,-0.606,-2426.0,-3432.0,-1.38,-0.592,47.05,0.033,10.64,10.46,2.04,0.0
2023-02-20,0.77,0.62,0.05,0.154,0.016,-0.98,0.083,-1.02,0.09,-1.78,-0.34,186.98,1.0,-17.793,3.972,-126873.0,22373.0,-1.38,-0.592,47.05,0.13,-0.74,-4.394,1.48,0.0
2023-02-21,1.41,0.53,0.27,0.048,0.019,0.16,0.097,0.31,0.115,-0.58,0.083,130.01,0.85,21.584,4.042,126522.0,23676.0,-0.28,0.042,33.56,0.029,6.04,0.807,0.32,0.0
2023-02-22,0.44,0.5,-0.02,0.079,0.042,0.16,-1.142,-0.07,-1.126,-2.5,-1.272,192.96,1.03,-31.191,-16.772,-222305.0,-102202.0,-2.0,-1.357,57.16,0.031,7.72,4.908,1.54,0.0
