,날짜,변동 %,야간변화율
178,2023-07-04,1.49,0.086
179,2023-07-05,-0.35,0.006
180,2023-07-06,-0.55,-0.165
181,2023-07-07,-0.88,-0.347
182,2023-07-10,-1.16,0.054
183,2023-07-11,-0.24,0.72
184,2023-07-12,1.66,-0.19
185,2023-07-13,0.48,0.589
186,2023-07-14,0.64,0.627
187,2023-07-17,1.43,-0.404
188,2023-07-18,-0.35,0.213
189,2023-07-19,-0.43,0.561
190,2023-07-20,0.02,-0.493
191,2023-07-21,-0.31,-0.737
192,2023-07-24,0.37,-0.049
193,2023-07-25,0.72,0.564
194,2023-07-26,0.3,0.087
195,2023-07-27,-1.67,0.288
196,2023-07-28,0.44,-0.389
197,2023-07-31,0.17,0.788
198,2023-08-01,0.93,0.447
199,2023-08-02,1.31,-0.583
200,2023-08-03,-1.9,0.317
201,2023-08-04,-0.42,0.03
202,2023-08-07,-0.1,-0.431
203,2023-08-08,-0.85,0.681
204,2023-08-09,-0.26,0.257
205,2023-08-10,1.21,-0.488
206,2023-08-11,-0.14,0.372
207,2023-08-14,-0.4,-0.183
208,2023-08-16,-0.79,-0.807
209,2023-08-17,-1.76,-0.504
210,2023-08-18,-0.23,-0.979
211,2023-08-21,-0.61,0.287
212,2023-08-22,0.17,0.781
213,2023-08-23,0.28,-0.228
214,2023-08-24,-0.41,1.049
215,2023-08-25,1.28,-1.272
216,2023-08-28,-0.73,0.607
217,2023-08-29,0.96,0.289
218,2023-08-30,0.34,0.911
219,2023-08-31,0.35,0.126
220,2023-09-01,-0.19,-0.17
221,2023-09-04,0.29,0.126
222,2023-09-05,0.81,-0.218
223,2023-09-06,-0.09,-0.185
224,2023-09-07,-0.73,-0.33
225,2023-09-08,-0.59,-0.086
226,2023-09-11,-0.02,0.086
227,2023-09-12,0.36,0.373
228,2023-09-13,-0.79,-0.014
229,2023-09-14,-0.07,0.402
230,2023-09-15,1.51,0.081
231,2023-09-18,1.1,-0.484
232,2023-09-19,-1.02,0.18
233,2023-09-20,-0.6,-0.104
234,2023-09-21,0.02,-0.583
235,2023-09-22,-1.75,-0.935
236,2023-09-25,-0.27,-0.161
237,2023-09-26,-0.49,-0.085
238,2023-09-27,-1.31,-0.608
239,2023-10-04,0.09,-1.188
240,2023-10-05,-2.41,0.734
241,2023-10-06,-0.09,0.217
242,2023-10-10,0.21,1.156
243,2023-10-11,-0.26,1.413
244,2023-10-12,1.98,0.617
245,2023-10-13,1.21,-0.765
246,2023-10-16,-0.95,-0.559
247,2023-10-17,-0.81,0.735
248,2023-10-18,0.98,-0.33
249,2023-10-19,0.1,-1.246
250,2023-10-20,-1.9,-1.004
