,날짜,변동 %,야간변화율
178,2023-07-04,1.52,0.134
179,2023-07-05,-0.43,-0.035
180,2023-07-06,-0.75,-0.251
181,2023-07-07,-0.84,-0.419
182,2023-07-10,-1.38,0.075
183,2023-07-11,-0.22,0.795
184,2023-07-12,1.87,-0.059
185,2023-07-13,0.72,0.63
186,2023-07-14,0.49,0.692
187,2023-07-17,1.7,-0.447
188,2023-07-18,-0.34,0.214
189,2023-07-19,-0.69,0.649
190,2023-07-20,-0.08,-0.507
191,2023-07-21,-0.42,-0.726
192,2023-07-24,0.21,-0.12
193,2023-07-25,0.56,0.424
194,2023-07-26,0.17,0.075
195,2023-07-27,-1.26,0.317
196,2023-07-28,1.23,-0.351
197,2023-07-31,-0.21,0.718
198,2023-08-01,0.46,0.501
199,2023-08-02,1.56,-0.541
200,2023-08-03,-2.05,0.291
201,2023-08-04,-0.66,0.018
202,2023-08-07,-0.08,-0.484
203,2023-08-08,-0.46,0.718
204,2023-08-09,-0.51,0.311
205,2023-08-10,1.08,-0.562
206,2023-08-11,-0.34,0.417
207,2023-08-14,-0.43,-0.118
208,2023-08-16,-0.78,-0.785
209,2023-08-17,-1.5,-0.498
210,2023-08-18,-0.32,-1.008
211,2023-08-21,-0.55,0.314
212,2023-08-22,0.13,0.855
213,2023-08-23,0.26,-0.227
214,2023-08-24,-0.17,1.212
215,2023-08-25,1.42,-1.351
216,2023-08-28,-1.07,0.56
217,2023-08-29,0.69,0.313
218,2023-08-30,0.37,1.004
219,2023-08-31,0.35,0.131
220,2023-09-01,-0.06,-0.191
221,2023-09-04,1.05,0.242
222,2023-09-05,0.81,-0.255
223,2023-09-06,-0.21,-0.185
224,2023-09-07,-0.72,-0.272
225,2023-09-08,-0.33,-0.134
226,2023-09-11,-0.1,0.036
227,2023-09-12,0.35,0.275
228,2023-09-13,-0.6,0.086
229,2023-09-14,0.13,0.402
230,2023-09-15,1.55,0.108
231,2023-09-18,1.11,-0.58
232,2023-09-19,-1.25,0.244
233,2023-09-20,-0.54,-0.083
234,2023-09-21,-0.02,-0.596
235,2023-09-22,-1.69,-0.943
236,2023-09-25,-0.31,-0.187
237,2023-09-26,-0.13,-0.021
238,2023-09-27,-1.41,-0.566
239,2023-10-04,-0.06,-1.255
240,2023-10-05,-2.22,0.629
241,2023-10-06,-0.27,0.217
242,2023-10-10,0.11,1.264
243,2023-10-11,0.05,1.52
244,2023-10-12,1.76,0.662
245,2023-10-13,1.27,-0.833
246,2023-10-16,-0.94,-0.513
247,2023-10-17,-0.76,0.745
248,2023-10-18,1.26,-0.315
249,2023-10-19,0.45,-1.238
250,2023-10-20,-1.84,-1.026
