,날짜,변동 %,당일 변동률,당일 변화량
144,2023-05-15,-0.16,-0.349,44.62
145,2023-05-16,0.3,0.233,30.98
146,2023-05-17,-0.64,-0.437,25.68
147,2023-05-18,1.19,0.871,51.05
148,2023-05-19,0.94,0.971,48.7
149,2023-05-22,-0.14,-0.289,32.71
150,2023-05-23,0.02,0.044,29.54
151,2023-05-24,-1.12,-0.747,43.14
152,2023-05-25,-0.73,-0.429,28.98
153,2023-05-26,0.88,-0.107,36.01
154,2023-05-30,1.3,1.186,56.71
155,2023-05-31,0.0,-0.501,38.92
156,2023-06-01,-0.61,-0.26,29.29
157,2023-06-02,0.99,0.908,60.79
158,2023-06-05,1.45,0.975,49.66
159,2023-06-06,-0.2,-0.215,32.46
160,2023-06-07,0.24,0.293,25.24
161,2023-06-08,-0.38,-0.419,35.23
162,2023-06-09,0.62,0.591,36.94
163,2023-06-12,0.11,-0.14,30.92
164,2023-06-13,0.93,0.71,35.76
165,2023-06-14,0.69,0.377,26.06
166,2023-06-15,0.08,0.144,53.97
167,2023-06-16,1.22,1.386,76.6
168,2023-06-20,-0.37,-0.706,41.03
169,2023-06-21,-0.47,-0.168,32.96
170,2023-06-22,-0.52,-0.327,26.08
171,2023-06-23,0.37,0.608,30.43
172,2023-06-26,-0.77,-0.134,25.21
173,2023-06-27,-0.45,-0.369,33.98
174,2023-06-28,1.15,0.946,49.42
175,2023-06-29,-0.04,0.215,30.13
176,2023-06-30,0.45,0.491,26.42
177,2023-07-03,1.23,0.632,36.04
178,2023-07-05,0.12,0.115,14.17
179,2023-07-06,-0.2,0.108,17.45
180,2023-07-07,-0.79,-0.249,37.57
181,2023-07-10,-0.29,-0.127,42.99
182,2023-07-11,0.24,0.348,22.68
183,2023-07-12,0.67,0.537,35.18
184,2023-07-13,0.74,0.1,25.11
185,2023-07-14,0.85,0.413,28.02
186,2023-07-17,-0.1,-0.204,28.2
187,2023-07-18,0.39,0.309,27.95
188,2023-07-19,0.71,0.734,47.71
189,2023-07-20,0.24,0.041,20.95
190,2023-07-21,-0.68,-0.428,37.18
191,2023-07-24,0.03,-0.304,19.21
192,2023-07-25,0.4,0.248,22.12
193,2023-07-26,0.28,0.269,28.2
194,2023-07-27,-0.02,0.171,34.89
195,2023-07-28,-0.64,-1.323,78.51
196,2023-07-31,0.99,0.361,26.15
197,2023-08-01,0.15,0.09,21.08
198,2023-08-02,-0.27,-0.046,17.09
199,2023-08-03,-1.38,-0.825,45.18
200,2023-08-04,-0.25,0.17,33.95
201,2023-08-07,-0.53,-0.796,65.79
202,2023-08-08,0.9,0.598,28.69
203,2023-08-09,-0.42,0.03,38.92
204,2023-08-10,-0.7,-0.752,41.11
205,2023-08-11,0.03,-0.408,69.45
206,2023-08-14,-0.11,0.3,32.25
207,2023-08-15,0.58,0.709,36.89
208,2023-08-16,-1.16,-0.916,46.68
209,2023-08-17,-0.76,-0.664,46.4
210,2023-08-18,-0.77,-1.041,56.34
211,2023-08-21,-0.01,0.571,46.51
212,2023-08-22,0.69,0.445,47.25
213,2023-08-23,-0.28,-0.629,35.82
214,2023-08-24,1.1,0.9,46.74
215,2023-08-25,-1.35,-1.77,82.75
216,2023-08-28,0.67,0.372,62.17
217,2023-08-29,0.63,0.164,24.58
218,2023-08-30,1.45,1.464,68.46
219,2023-08-31,0.38,0.323,28.06
220,2023-09-01,-0.16,-0.207,24.87
221,2023-09-05,0.18,-0.327,39.9
222,2023-09-06,-0.42,-0.293,18.28
223,2023-09-07,-0.7,-0.554,47.97
224,2023-09-08,-0.32,0.374,27.35
225,2023-09-11,0.14,0.139,25.15
226,2023-09-12,0.67,0.145,22.88
227,2023-09-13,-0.57,-0.254,30.28
228,2023-09-14,0.12,0.107,25.87
229,2023-09-15,0.84,0.386,33.3
230,2023-09-18,-1.22,-1.06,50.77
231,2023-09-19,0.07,0.189,24.25
232,2023-09-20,-0.22,-0.033,33.24
233,2023-09-21,-0.94,-1.137,59.65
234,2023-09-22,-1.64,-1.014,46.53
235,2023-09-25,-0.23,-0.499,40.91
236,2023-09-26,0.4,0.622,35.81
237,2023-09-27,-1.47,-0.912,47.03
238,2023-09-28,0.02,-0.19,53.44
239,2023-09-29,0.59,0.704,52.89
240,2023-10-02,-0.27,-0.927,58.29
241,2023-10-03,0.01,0.09,40.37
242,2023-10-04,-1.37,-0.944,64.7
243,2023-10-05,0.81,0.707,48.02
244,2023-10-06,-0.13,-0.026,41.22
245,2023-10-09,1.18,1.741,104.55
246,2023-10-10,0.63,1.087,57.94
247,2023-10-11,0.52,0.426,45.82
248,2023-10-12,0.43,0.237,33.3
249,2023-10-13,-0.62,-0.715,60.42
250,2023-10-16,-0.5,-0.75,65.13
251,2023-10-17,1.06,0.72,40.96
252,2023-10-18,-0.01,0.644,56.03
253,2023-10-19,-1.34,-0.981,60.36
254,2023-10-20,-0.85,-1.003,69.85
