,날짜,변동 %,당일 변동률,당일 변화량
142,2023-05-04,3.15,2.918,1.64
143,2023-05-05,9.54,4.799,2.66
144,2023-05-08,-14.44,-11.846,2.94
145,2023-05-09,-1.22,-4.23,1.05
146,2023-05-10,4.3,2.429,0.64
147,2023-05-11,-4.35,-3.641,1.95
148,2023-05-12,-0.06,0.774,1.56
149,2023-05-15,0.59,1.188,1.54
150,2023-05-16,0.53,-1.835,1.08
151,2023-05-17,5.08,2.566,1.04
152,2023-05-18,-6.23,-6.069,1.58
153,2023-05-19,-4.86,-5.142,1.1
154,2023-05-22,4.74,4.216,1.51
155,2023-05-23,2.38,-1.375,1.31
156,2023-05-24,7.67,6.801,2.01
157,2023-05-25,8.09,6.543,2.01
158,2023-05-26,-4.44,-2.047,1.25
159,2023-05-29,-6.22,-5.873,2.29
160,2023-05-30,-2.73,-0.399,0.26
161,2023-05-31,0.0,-0.569,1.36
162,2023-06-01,2.75,-0.554,1.28
163,2023-06-02,-12.76,-9.223,2.01
164,2023-06-05,-6.71,-6.709,1.23
165,2023-06-06,0.89,-3.599,0.63
166,2023-06-07,-5.23,-6.372,1.02
167,2023-06-08,-0.14,-1.414,0.52
168,2023-06-09,-2.08,-3.465,0.68
169,2023-06-12,1.32,0.363,0.64
170,2023-06-13,8.53,3.947,0.7
171,2023-06-14,-2.66,-2.535,0.59
172,2023-06-15,-5.0,-4.144,0.9
173,2023-06-16,4.47,2.91,0.73
174,2023-06-19,-6.62,-6.556,1.06
175,2023-06-20,4.8,0.71,0.18
176,2023-06-21,-2.18,-3.343,0.81
177,2023-06-22,-4.9,-4.899,0.79
178,2023-06-23,-2.2,-6.988,1.25
179,2023-06-26,4.11,1.511,0.92
180,2023-06-27,6.03,-1.247,0.93
181,2023-06-28,-3.58,-2.622,0.75
182,2023-06-29,-2.26,-3.381,0.6
183,2023-06-30,0.82,-0.733,0.44
184,2023-07-03,0.37,0.592,0.63
185,2023-07-04,-0.15,-2.022,0.38
186,2023-07-05,0.96,1.182,0.19
187,2023-07-06,3.5,-0.07,0.69
188,2023-07-07,8.89,3.973,2.29
189,2023-07-10,-3.95,-7.138,1.73
190,2023-07-11,1.62,-6.281,1.17
191,2023-07-12,-1.53,-1.198,0.62
192,2023-07-13,-8.76,-8.637,1.31
193,2023-07-14,0.52,1.265,0.49
194,2023-07-17,-1.98,-2.77,0.54
195,2023-07-18,1.05,-2.177,0.57
196,2023-07-19,-1.34,-2.278,0.38
197,2023-07-20,3.46,3.303,0.72
198,2023-07-21,1.67,0.215,0.65
199,2023-07-24,-2.79,-1.947,0.52
