,일자,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc
135,2023-04-28,0.86,21.021,26.778,134272.0,140122.0
136,2023-05-02,0.92,10.691,19.019,82647.0,126173.0
137,2023-05-03,0.98,-11.743,-6.164,-100482.0,-48673.0
138,2023-05-04,1.11,-21.947,-11.783,-165745.0,-87299.0
139,2023-05-08,0.85,36.055,4.316,212525.0,28208.0
140,2023-05-09,1.01,26.506,50.733,212572.0,345905.0
141,2023-05-10,0.89,6.698,-6.274,67952.0,-64479.0
142,2023-05-11,0.97,13.52,24.145,146355.0,232576.0
143,2023-05-12,0.94,37.672,32.776,462935.0,391934.0
144,2023-05-15,0.97,-69.537,-68.549,-1176419.0,-1088386.0
145,2023-05-16,0.98,-1.338,0.046,-6895.0,229.0
146,2023-05-17,1.18,10.533,32.765,53556.0,163689.0
147,2023-05-18,0.92,-17.689,-35.713,-99416.0,-236874.0
148,2023-05-19,0.82,49.182,33.434,227519.0,142564.0
149,2023-05-22,0.57,47.051,1.015,324712.0,5773.0
150,2023-05-23,0.63,7.91,20.393,80271.0,117208.0
151,2023-05-24,0.77,-31.685,-17.221,-346987.0,-119160.0
152,2023-05-25,0.75,-8.394,-10.236,-62797.0,-58629.0
153,2023-05-26,0.97,15.705,49.28,107628.0,253377.0
154,2023-05-30,0.81,-17.314,-31.091,-137295.0,-238634.0
155,2023-05-31,0.81,44.125,44.624,289313.0,236018.0
156,2023-06-01,0.85,-10.646,-6.637,-100603.0,-50768.0
157,2023-06-02,0.96,11.679,26.857,98618.0,191802.0
158,2023-06-05,0.83,36.437,18.055,343597.0,163567.0
159,2023-06-07,0.93,4.437,16.707,57092.0,178689.0
160,2023-06-08,0.94,-2.057,-1.095,-27644.0,-13670.0
161,2023-06-09,0.94,31.274,30.976,411581.0,382416.0
162,2023-06-12,1.18,-65.695,-56.898,-1134951.0,-920014.0
163,2023-06-13,1.02,-10.829,-22.393,-64179.0,-156068.0
164,2023-06-14,0.8,1.63,-20.137,8616.0,-108915.0
165,2023-06-15,0.82,14.461,16.099,77670.0,69540.0
166,2023-06-16,0.81,11.834,10.486,72749.0,52588.0
167,2023-06-19,0.81,-13.557,-13.472,-93209.0,-74648.0
168,2023-06-20,0.72,-18.312,-27.114,-108830.0,-129994.0
169,2023-06-21,0.77,7.623,14.762,37009.0,51586.0
170,2023-06-22,0.83,4.28,12.473,22361.0,50020.0
171,2023-06-23,0.8,12.557,9.403,68416.0,42413.0
172,2023-06-26,0.85,-1.005,5.173,-6161.0,25526.0
173,2023-06-27,0.79,-17.871,-23.834,-108494.0,-123697.0
174,2023-06-28,0.9,14.134,29.638,70472.0,117156.0
175,2023-06-29,0.86,3.812,-0.522,21693.0,-2676.0
176,2023-06-30,0.95,28.15,40.564,166305.0,206782.0
177,2023-07-03,0.88,19.728,11.354,149355.0,81357.0
178,2023-07-04,0.93,0.339,5.736,3077.0,45771.0
179,2023-07-05,0.9,-18.678,-21.175,-169883.0,-178649.0
180,2023-07-06,0.9,17.392,17.626,128634.0,117217.0
181,2023-07-07,1.04,37.822,59.777,328392.0,467609.0
182,2023-07-10,1.08,48.314,53.031,578158.0,662817.0
183,2023-07-11,1.18,8.429,18.899,149601.0,361471.0
184,2023-07-12,1.06,-15.994,-24.81,-307789.0,-564225.0
185,2023-07-13,1.02,13.249,8.994,214186.0,153791.0
186,2023-07-14,0.98,6.975,3.054,127698.0,56917.0
187,2023-07-17,1.33,-63.624,-50.61,-1246079.0,-972030.0
188,2023-07-18,0.99,-23.079,-42.634,-164425.0,-404427.0
189,2023-07-19,1.01,6.375,8.524,34934.0,46388.0
190,2023-07-20,0.99,12.366,10.001,72088.0,59062.0
191,2023-07-21,0.94,0.651,-4.473,4267.0,-29059.0
192,2023-07-24,0.99,32.023,38.703,211128.0,240175.0
193,2023-07-25,0.96,4.501,0.97,39179.0,8348.0
194,2023-07-26,1.08,-39.569,-31.717,-359924.0,-275649.0
195,2023-07-27,1.0,95.963,81.137,527488.0,481496.0
196,2023-07-28,0.99,-16.019,-16.809,-172549.0,-180683.0
197,2023-07-31,1.13,-7.832,5.178,-70849.0,46302.0
198,2023-08-01,0.97,17.359,0.882,144734.0,8298.0
199,2023-08-02,0.99,20.248,22.169,198130.0,210349.0
200,2023-08-03,1.24,-4.319,19.969,-50824.0,231478.0
201,2023-08-04,0.95,24.606,-4.419,277017.0,-61452.0
202,2023-08-07,1.06,-6.215,4.463,-87188.0,59328.0
203,2023-08-08,0.91,13.884,-1.401,182663.0,-19454.0
204,2023-08-09,1.02,48.18,65.515,721884.0,896966.0
205,2023-08-10,1.05,-21.881,-19.689,-485790.0,-446175.0
206,2023-08-11,1.04,-9.487,-10.175,-164540.0,-185171.0
207,2023-08-14,1.16,-65.087,-61.225,-1021778.0,-1000851.0
208,2023-08-16,0.9,13.975,-11.772,76596.0,-74618.0
209,2023-08-17,0.94,11.155,16.81,69682.0,94010.0
210,2023-08-18,1.03,32.39,45.564,224900.0,297654.0
211,2023-08-21,0.98,-29.439,-33.046,-270624.0,-314235.0
212,2023-08-22,1.01,-13.823,-10.94,-89660.0,-69656.0
213,2023-08-23,1.27,8.842,36.359,49425.0,206163.0
214,2023-08-24,1.01,-3.781,-23.268,-23001.0,-179902.0
215,2023-08-25,1.49,-5.5,38.667,-32199.0,229403.0
216,2023-08-28,1.13,6.52,-18.996,36070.0,-156276.0
217,2023-08-29,1.21,-16.185,-10.66,-95374.0,-71037.0
218,2023-08-30,1.17,21.369,17.657,105542.0,105128.0
219,2023-08-31,1.26,-3.553,4.38,-21296.0,30679.0
220,2023-09-01,0.88,-0.202,-30.902,-1170.0,-225950.0
221,2023-09-04,1.1,45.763,82.344,264035.0,416028.0
222,2023-09-05,1.09,-11.021,-11.839,-92691.0,-109065.0
223,2023-09-06,0.96,-9.553,-20.144,-71486.0,-163608.0
224,2023-09-07,1.07,5.622,18.336,38054.0,118928.0
225,2023-09-08,0.91,15.031,-2.269,107451.0,-17418.0
226,2023-09-11,0.98,31.97,41.154,262900.0,308696.0
227,2023-09-12,0.98,0.945,1.444,10255.0,15288.0
228,2023-09-13,0.88,46.43,31.33,508632.0,336505.0
229,2023-09-14,0.92,4.785,9.733,76753.0,137289.0
230,2023-09-15,1.1,-2.324,16.478,-39059.0,255066.0
231,2023-09-18,1.2,-56.424,-52.5,-926376.0,-946547.0
232,2023-09-19,1.16,-33.587,-35.781,-240293.0,-306428.0
233,2023-09-20,0.93,12.389,-9.872,58867.0,-54290.0
234,2023-09-21,0.9,-13.694,-16.071,-73128.0,-79662.0
235,2023-09-22,0.82,56.807,42.404,261812.0,176409.0
236,2023-09-25,1.06,-3.402,24.434,-24587.0,144753.0
237,2023-09-26,0.69,1.702,-33.137,11884.0,-244281.0
238,2023-09-27,1.04,-4.23,43.365,-30035.0,213744.0
