,일자,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc
95,2023-03-03,0.87,29.511,23.215,224378.0,161467.0
96,2023-03-06,0.95,22.529,34.009,221846.0,291452.0
97,2023-03-07,0.87,19.03,9.161,229611.0,105210.0
98,2023-03-08,0.86,-18.372,-19.65,-263854.0,-246337.0
99,2023-03-09,0.88,23.07,25.436,270450.0,256224.0
100,2023-03-10,0.89,10.693,12.358,154267.0,156144.0
101,2023-03-13,1.01,-64.421,-59.486,-1028813.0,-844513.0
102,2023-03-14,1.03,5.681,7.303,32277.0,42005.0
103,2023-03-15,1.13,-6.006,3.029,-36063.0,18694.0
104,2023-03-16,0.97,-0.888,-14.659,-5010.0,-93210.0
105,2023-03-17,1.09,14.209,28.585,79489.0,155117.0
106,2023-03-20,0.98,-12.177,-21.074,-77797.0,-147047.0
107,2023-03-21,0.99,-12.698,-11.829,-71247.0,-65145.0
108,2023-03-22,0.94,-7.399,-12.31,-36244.0,-59775.0
109,2023-03-23,1.07,-6.095,7.288,-27649.0,31035.0
110,2023-03-24,1.21,25.5,41.173,108622.0,188095.0
111,2023-03-27,0.93,5.916,-18.403,31624.0,-118689.0
112,2023-03-28,0.9,29.802,26.153,168743.0,137629.0
113,2023-03-29,1.21,-27.128,-2.664,-199377.0,-17683.0
114,2023-03-30,1.16,-12.758,-16.235,-68326.0,-104910.0
115,2023-03-31,1.07,61.353,48.917,286672.0,264783.0
116,2023-04-03,1.01,-3.922,-9.261,-29567.0,-74646.0
117,2023-04-04,1.07,-11.483,-6.262,-83178.0,-45804.0
118,2023-04-05,1.08,-1.977,-1.047,-12675.0,-7175.0
119,2023-04-06,1.13,-7.843,-3.435,-49291.0,-23306.0
120,2023-04-07,0.96,60.01,36.46,347586.0,238864.0
121,2023-04-10,0.87,23.621,12.024,218916.0,107494.0
122,2023-04-11,0.79,43.844,29.791,502320.0,298358.0
123,2023-04-12,0.82,25.224,29.671,415705.0,385678.0
124,2023-04-13,0.84,3.205,6.251,66136.0,105356.0
125,2023-04-14,0.98,-8.932,5.982,-190239.0,107137.0
126,2023-04-17,1.04,-73.389,-71.739,-1423478.0,-1361614.0
127,2023-04-18,0.8,-14.979,-34.367,-77313.0,-184350.0
128,2023-04-19,0.9,12.23,26.174,53671.0,92147.0
129,2023-04-20,0.99,-7.478,1.962,-36830.0,8716.0
130,2023-04-21,0.84,17.601,-0.233,80204.0,-1057.0
131,2023-04-24,0.86,-5.704,-3.451,-30567.0,-15592.0
132,2023-04-25,0.85,-1.615,-2.944,-8163.0,-12844.0
133,2023-04-26,1.01,81.356,114.709,404465.0,485714.0
134,2023-04-27,0.82,-29.155,-42.443,-262869.0,-385866.0
