,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 당일변동율,kospi 야간변동율,ks200 당일변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VKOSPI_Label
2022-11-01,1.12,1.24,-0.04,0.102,0.1,1.11,0.347,1.53,0.317,-1.03,-0.365,1.08,8.382,14.729,73031.0,130905.0,-0.75,-0.254,0.084,0.5,-3.828,0.0
2022-11-02,0.02,1.22,-0.39,0.087,0.042,1.81,-0.393,1.44,-0.457,-0.89,-2.366,1.04,15.127,11.417,142848.0,116416.0,-0.41,-1.171,0.025,-0.27,-0.578,0.0
2022-11-03,0.58,1.19,-0.2,0.893,0.121,0.07,-1.687,0.0,-1.751,-3.36,-3.309,0.98,-13.495,-18.778,-146716.0,-213332.0,-2.5,-2.419,0.885,0.19,-0.691,0.0
2022-11-04,0.39,1.15,-0.25,0.046,0.028,-0.33,-0.143,-0.73,-0.166,-1.73,-0.543,0.85,73.693,50.805,693070.0,468809.0,-1.06,-0.358,0.025,-2.17,-2.617,0.0
2022-11-07,1.07,1.13,-0.02,0.64,-0.298,0.83,0.502,0.89,0.575,1.28,-0.691,0.93,13.226,24.227,216046.0,337128.0,1.36,0.095,0.606,-2.96,-4.214,0.0
2022-11-08,1.13,1.04,0.03,0.114,0.081,0.99,0.65,1.16,0.718,0.85,0.452,0.94,19.035,19.203,352063.0,331968.0,0.96,0.69,0.071,-0.81,-5.142,0.0
2022-11-09,0.94,1.02,-0.03,0.011,0.011,1.15,0.396,1.34,0.445,0.49,0.044,0.95,-3.453,-1.741,-76031.0,-35885.0,0.56,0.291,0.001,4.89,3.359,1.0
2022-11-10,1.02,0.99,0.01,0.032,0.014,1.06,-0.769,1.03,-0.825,-2.48,-1.665,0.98,13.0,15.802,276341.0,319949.0,-2.08,-1.637,0.012,2.15,2.96,1.0
2022-11-11,0.32,0.95,-0.2,0.064,0.042,-0.91,2.692,-1.3,3.002,7.35,2.254,0.91,15.533,7.407,373097.0,173667.0,5.54,2.5,0.024,-9.81,-11.241,0.0
2022-11-14,1.86,0.95,0.28,0.465,0.231,3.37,0.081,3.84,0.099,1.88,1.785,1.03,-66.712,-62.128,-1851294.0,-1564614.0,0.92,0.737,0.442,-4.29,-5.735,0.0
2022-11-15,1.07,0.84,0.07,0.075,0.034,-0.34,0.328,-0.48,0.383,-1.12,-0.335,0.93,-5.379,-14.722,-49686.0,-140412.0,-0.89,-0.521,0.03,5.37,-1.084,0.0
2022-11-16,0.69,0.81,-0.04,0.037,0.052,0.23,0.269,0.24,0.208,1.45,-1.014,1.06,-24.341,-14.036,-212758.0,-114162.0,0.87,-0.366,0.027,3.41,3.239,0.0
