,날짜,야간 변동률
244,2023-09-22,0.043
245,2023-09-25,0.115
246,2023-09-26,0.126
247,2023-09-27,0.086
248,2023-09-28,0.069
249,2023-09-29,0.074
250,2023-10-02,0.025
251,2023-10-03,0.096
252,2023-10-04,0.071
253,2023-10-05,0.069
254,2023-10-06,0.046
255,2023-10-09,-0.007
256,2023-10-10,0.086
257,2023-10-11,0.096
258,2023-10-12,0.084
259,2023-10-13,0.033
260,2023-10-16,0.064
261,2023-10-17,0.025
262,2023-10-18,0.042
263,2023-10-19,0.12
264,2023-10-20,0.08
