,날짜,변동 %,전날 변동율,전날 변화량
144,2023-05-19,15.13,-8.698,2.43
145,2023-05-22,-1.95,2.085,1.15
146,2023-05-23,-5.43,-3.262,1.16
147,2023-05-24,3.85,2.603,0.59
148,2023-05-25,-3.6,0.0,0.58
149,2023-05-26,-2.68,-2.169,1.14
150,2023-05-29,4.54,-10.881,1.51
151,2023-05-30,4.55,3.165,0.43
152,2023-05-31,-1.48,1.478,1.05
153,2023-06-01,0.45,1.317,0.49
154,2023-06-02,-1.85,-1.058,0.48
155,2023-06-05,2.19,-5.777,0.96
156,2023-06-06,8.72,2.155,1.0
157,2023-06-07,-3.03,-2.669,1.47
158,2023-06-08,3.92,-3.044,2.15
159,2023-06-09,5.37,4.137,1.77
160,2023-06-12,-6.78,1.362,0.91
161,2023-06-13,-4.82,1.935,1.51
162,2023-06-14,4.18,-1.924,1.18
163,2023-06-15,2.71,1.758,1.59
164,2023-06-16,1.5,1.964,1.8
165,2023-06-19,-7.08,-0.623,0.77
166,2023-06-20,-1.01,0.934,0.54
167,2023-06-21,-2.14,1.056,0.65
168,2023-06-22,0.7,1.709,1.14
169,2023-06-23,0.05,1.555,1.84
170,2023-06-26,4.3,-1.17,1.46
171,2023-06-27,-0.62,1.255,0.76
172,2023-06-28,-4.67,0.402,0.6
173,2023-06-29,0.95,1.918,0.48
174,2023-06-30,-2.43,0.305,0.58
175,2023-07-03,-2.99,-1.95,0.41
176,2023-07-04,2.41,1.768,0.37
177,2023-07-05,-1.53,0.679,0.75
178,2023-07-06,-2.44,-3.54,0.86
179,2023-07-07,2.18,-3.224,0.9
180,2023-07-10,5.47,-1.411,1.37
181,2023-07-11,4.29,3.986,0.82
182,2023-07-12,-2.22,1.324,1.91
183,2023-07-13,4.16,5.284,0.88
184,2023-07-14,-5.99,1.049,1.39
185,2023-07-18,1.29,1.587,0.85
186,2023-07-19,-0.59,0.892,0.87
187,2023-07-20,-2.7,-0.352,0.36
188,2023-07-21,0.96,0.502,0.61
189,2023-07-24,-1.0,-2.125,0.61
190,2023-07-25,0.25,0.915,0.69
191,2023-07-26,-3.27,-0.104,0.57
192,2023-07-27,-1.98,-0.79,0.64
193,2023-07-28,-0.05,-5.759,1.73
194,2023-07-31,-1.22,-0.428,0.56
