,날짜,변동 %,당일 변동률
177,2023-07-03,1.45,0.495
178,2023-07-05,0.21,0.131
179,2023-07-06,-0.18,0.142
180,2023-07-07,-0.82,0.189
181,2023-07-10,-0.13,-0.054
182,2023-07-11,0.18,0.294
183,2023-07-12,0.55,0.371
184,2023-07-13,1.15,0.024
185,2023-07-14,1.58,0.837
186,2023-07-17,-0.18,-0.374
187,2023-07-18,0.93,0.672
188,2023-07-19,0.76,0.995
189,2023-07-20,0.03,-0.281
190,2023-07-21,-2.05,-1.471
191,2023-07-24,-0.22,-0.815
192,2023-07-25,0.19,-0.162
193,2023-07-26,0.61,0.364
194,2023-07-27,-0.12,0.027
195,2023-07-28,-0.55,-1.879
196,2023-07-31,1.9,0.823
197,2023-08-01,0.21,0.057
198,2023-08-02,-0.43,0.063
199,2023-08-03,-2.17,-1.127
200,2023-08-04,-0.1,0.431
201,2023-08-07,-0.36,-0.832
202,2023-08-08,0.61,0.157
203,2023-08-09,-0.79,0.064
204,2023-08-10,-1.17,-1.263
205,2023-08-11,0.12,-0.581
206,2023-08-14,-0.68,0.082
207,2023-08-15,1.05,1.392
208,2023-08-16,-1.14,-0.941
209,2023-08-17,-1.15,-0.872
210,2023-08-18,-1.17,-1.555
211,2023-08-21,-0.2,0.764
212,2023-08-22,1.56,1.126
213,2023-08-23,0.06,-0.648
214,2023-08-24,1.59,1.394
215,2023-08-25,-1.87,-2.677
216,2023-08-28,0.94,0.564
217,2023-08-29,0.84,0.071
218,2023-08-30,1.74,1.874
219,2023-08-31,0.54,0.412
220,2023-09-01,0.11,-0.047
221,2023-09-05,-0.02,-0.695
222,2023-09-06,-0.08,0.189
223,2023-09-07,-1.06,-0.832
224,2023-09-08,-0.89,0.539
225,2023-09-11,0.09,0.05
226,2023-09-12,1.14,0.244
227,2023-09-13,-1.04,-0.616
228,2023-09-14,0.29,0.29
229,2023-09-15,0.81,0.261
230,2023-09-18,-1.56,-1.302
231,2023-09-19,0.01,0.295
232,2023-09-20,-0.23,0.211
233,2023-09-21,-1.53,-1.759
234,2023-09-22,-1.82,-0.781
235,2023-09-25,-0.09,-0.567
236,2023-09-26,0.45,0.75
237,2023-09-27,-1.57,-0.89
238,2023-09-28,0.22,-0.172
239,2023-09-29,0.83,1.211
240,2023-10-02,0.14,-0.888
241,2023-10-03,0.67,0.679
242,2023-10-04,-1.87,-1.287
243,2023-10-05,1.35,1.093
244,2023-10-06,-0.12,-0.063
245,2023-10-09,1.6,2.313
246,2023-10-10,0.39,1.186
247,2023-10-11,0.58,0.422
248,2023-10-12,0.71,0.297
249,2023-10-13,-0.63,-0.719
250,2023-10-16,-1.23,-1.516
251,2023-10-17,1.2,0.849
252,2023-10-18,-0.25,0.849
253,2023-10-19,-1.62,-0.933
254,2023-10-20,-0.96,-1.263
