,날짜,야간 변동률
244,2023-09-22,0.055
245,2023-09-25,0.12
246,2023-09-26,0.137
247,2023-09-27,0.124
248,2023-09-28,0.076
249,2023-09-29,0.081
250,2023-10-02,0.065
251,2023-10-03,0.108
252,2023-10-04,0.075
253,2023-10-05,0.059
254,2023-10-06,0.054
255,2023-10-09,0.0
256,2023-10-10,0.07
257,2023-10-11,0.109
258,2023-10-12,0.093
259,2023-10-13,0.043
260,2023-10-16,0.081
261,2023-10-17,0.027
262,2023-10-18,0.076
263,2023-10-19,0.124
264,2023-10-20,0.097
