,날짜,변동 %,당일 변동률
154,2023-05-30,1.3,1.186
155,2023-05-31,0.0,-0.501
156,2023-06-01,-0.61,-0.26
157,2023-06-02,0.99,0.908
158,2023-06-05,1.45,0.975
159,2023-06-06,-0.2,-0.215
160,2023-06-07,0.24,0.293
161,2023-06-08,-0.38,-0.419
162,2023-06-09,0.62,0.591
163,2023-06-12,0.11,-0.14
164,2023-06-13,0.93,0.71
165,2023-06-14,0.69,0.377
166,2023-06-15,0.08,0.144
167,2023-06-16,1.22,1.386
168,2023-06-20,-0.37,-0.706
169,2023-06-21,-0.47,-0.168
170,2023-06-22,-0.52,-0.327
171,2023-06-23,0.37,0.608
172,2023-06-26,-0.77,-0.134
173,2023-06-27,-0.45,-0.369
174,2023-06-28,1.15,0.946
175,2023-06-29,-0.04,0.215
176,2023-06-30,0.45,0.491
177,2023-07-03,1.23,0.632
178,2023-07-05,0.12,0.115
179,2023-07-06,-0.2,0.108
180,2023-07-07,-0.79,-0.249
181,2023-07-10,-0.29,-0.127
182,2023-07-11,0.24,0.348
183,2023-07-12,0.67,0.537
184,2023-07-13,0.74,0.1
185,2023-07-14,0.85,0.413
186,2023-07-17,-0.1,-0.204
187,2023-07-18,0.39,0.309
188,2023-07-19,0.71,0.734
189,2023-07-20,0.24,0.041
190,2023-07-21,-0.68,-0.428
191,2023-07-24,0.03,-0.304
192,2023-07-25,0.4,0.248
193,2023-07-26,0.28,0.269
194,2023-07-27,-0.02,0.171
195,2023-07-28,-0.64,-1.323
196,2023-07-31,0.99,0.361
197,2023-08-01,0.15,0.09
198,2023-08-02,-0.27,-0.046
199,2023-08-03,-1.38,-0.825
200,2023-08-04,-0.25,0.17
201,2023-08-07,-0.53,-0.796
202,2023-08-08,0.9,0.598
203,2023-08-09,-0.42,0.03
204,2023-08-10,-0.7,-0.752
205,2023-08-11,0.03,-0.408
206,2023-08-14,-0.11,0.3
207,2023-08-15,0.58,0.709
208,2023-08-16,-1.16,-0.916
209,2023-08-17,-0.76,-0.664
210,2023-08-18,-0.77,-1.041
211,2023-08-21,-0.01,0.571
212,2023-08-22,0.69,0.445
213,2023-08-23,-0.28,-0.629
214,2023-08-24,1.1,0.9
215,2023-08-25,-1.35,-1.77
216,2023-08-28,0.67,0.372
217,2023-08-29,0.63,0.164
218,2023-08-30,1.45,1.464
219,2023-08-31,0.38,0.323
220,2023-09-01,-0.16,-0.207
221,2023-09-05,0.18,-0.327
222,2023-09-06,-0.42,-0.293
223,2023-09-07,-0.7,-0.554
224,2023-09-08,-0.32,0.374
225,2023-09-11,0.14,0.139
226,2023-09-12,0.67,0.145
227,2023-09-13,-0.57,-0.254
228,2023-09-14,0.12,0.107
229,2023-09-15,0.84,0.386
230,2023-09-18,-1.22,-1.06
231,2023-09-19,0.07,0.189
232,2023-09-20,-0.22,-0.033
233,2023-09-21,-0.94,-1.137
234,2023-09-22,-1.64,-1.014
235,2023-09-25,-0.23,-0.499
236,2023-09-26,0.4,0.622
237,2023-09-27,-1.47,-0.912
238,2023-09-28,0.02,-0.19
239,2023-09-29,0.59,0.704
240,2023-10-02,-0.27,-0.927
241,2023-10-03,0.01,0.09
242,2023-10-04,-1.37,-0.944
243,2023-10-05,0.81,0.707
244,2023-10-06,-0.13,-0.026
245,2023-10-09,1.18,1.741
246,2023-10-10,0.63,1.087
247,2023-10-11,0.52,0.426
248,2023-10-12,0.43,0.237
249,2023-10-13,-0.62,-0.715
250,2023-10-16,-0.5,-0.75
251,2023-10-17,1.06,0.72
252,2023-10-18,-0.01,0.644
253,2023-10-19,-1.34,-0.981
254,2023-10-20,-0.85,-1.003
