,일자,P/C Ratio,CALL_change,PUT_change,CALL_fluc,PUT_fluc
96,2023-08-22,1.01,-13.823,-10.94,-89660.0,-69656.0
97,2023-08-23,1.27,8.842,36.359,49425.0,206163.0
98,2023-08-24,1.01,-3.781,-23.268,-23001.0,-179902.0
99,2023-08-25,1.49,-5.5,38.667,-32199.0,229403.0
100,2023-08-28,1.13,6.52,-18.996,36070.0,-156276.0
101,2023-08-29,1.21,-16.185,-10.66,-95374.0,-71037.0
102,2023-08-30,1.17,21.369,17.657,105542.0,105128.0
103,2023-08-31,1.26,-3.553,4.38,-21296.0,30679.0
104,2023-09-01,0.88,-0.202,-30.902,-1170.0,-225950.0
105,2023-09-04,1.1,45.763,82.344,264035.0,416028.0
106,2023-09-05,1.09,-11.021,-11.839,-92691.0,-109065.0
107,2023-09-06,0.96,-9.553,-20.144,-71486.0,-163608.0
108,2023-09-07,1.07,5.622,18.336,38054.0,118928.0
109,2023-09-08,0.91,15.031,-2.269,107451.0,-17418.0
110,2023-09-11,0.98,31.97,41.154,262900.0,308696.0
111,2023-09-12,0.98,0.945,1.444,10255.0,15288.0
112,2023-09-13,0.88,46.43,31.33,508632.0,336505.0
113,2023-09-14,0.92,4.785,9.733,76753.0,137289.0
114,2023-09-15,1.1,-2.324,16.478,-39059.0,255066.0
115,2023-09-18,1.2,-56.424,-52.5,-926376.0,-946547.0
116,2023-09-19,1.16,-33.587,-35.781,-240293.0,-306428.0
117,2023-09-20,0.93,12.389,-9.872,58867.0,-54290.0
118,2023-09-21,0.9,-13.694,-16.071,-73128.0,-79662.0
119,2023-09-22,0.82,56.807,42.404,261812.0,176409.0
120,2023-09-25,1.06,-3.402,24.434,-24587.0,144753.0
121,2023-09-26,0.69,1.702,-33.137,11884.0,-244281.0
122,2023-09-27,1.04,-4.23,43.365,-30035.0,213744.0
123,2023-10-04,0.97,27.653,19.408,188026.0,137145.0
124,2023-10-05,1.21,15.01,43.31,130285.0,365440.0
125,2023-10-06,1.1,-2.268,-11.59,-22640.0,-140148.0
126,2023-10-10,0.97,-4.057,-15.468,-39586.0,-165364.0
127,2023-10-11,0.93,64.797,59.366,606524.0,536494.0
128,2023-10-12,0.91,32.345,29.173,498944.0,420145.0
129,2023-10-13,1.03,-8.573,3.52,-175019.0,65484.0
130,2023-10-16,1.1,-77.699,-76.269,-1450242.0,-1468807.0
131,2023-10-17,0.99,75.194,57.66,312992.0,263523.0
132,2023-10-18,1.16,0.401,17.694,2923.0,127496.0
133,2023-10-19,1.2,-26.456,-23.508,-193700.0,-199357.0
134,2023-10-20,1.18,24.843,22.575,133771.0,146442.0
