,날짜,변동 %,당일 변동률
174,2023-06-19,-6.62,-6.556
175,2023-06-20,4.8,0.71
176,2023-06-21,-2.18,-3.343
177,2023-06-22,-4.9,-4.899
178,2023-06-23,-2.2,-6.988
179,2023-06-26,4.11,1.511
180,2023-06-27,6.03,-1.247
181,2023-06-28,-3.58,-2.622
182,2023-06-29,-2.26,-3.381
183,2023-06-30,0.82,-0.733
184,2023-07-03,0.37,0.592
185,2023-07-04,-0.15,-2.022
186,2023-07-05,0.96,1.182
187,2023-07-06,3.5,-0.07
188,2023-07-07,8.89,3.973
189,2023-07-10,-3.95,-7.138
190,2023-07-11,1.62,-6.281
191,2023-07-12,-1.53,-1.198
192,2023-07-13,-8.76,-8.637
193,2023-07-14,0.52,1.265
194,2023-07-17,-1.98,-2.77
195,2023-07-18,1.05,-2.177
196,2023-07-19,-1.34,-2.278
197,2023-07-20,3.46,3.303
198,2023-07-21,1.67,0.215
199,2023-07-24,-2.79,-1.947
200,2023-07-25,2.28,-2.659
201,2023-07-26,-0.36,-1.141
202,2023-07-27,-4.83,-4.834
203,2023-07-28,9.25,9.665
204,2023-07-31,-7.49,-4.989
205,2023-08-01,2.25,-2.504
206,2023-08-02,2.2,1.309
207,2023-08-03,15.51,2.484
208,2023-08-04,-1.06,-5.069
209,2023-08-07,7.41,6.808
210,2023-08-08,-7.78,-6.686
211,2023-08-09,1.4,-1.781
212,2023-08-10,-0.19,0.949
213,2023-08-11,-0.69,1.733
214,2023-08-14,-6.37,-4.443
215,2023-08-15,-0.13,-6.675
216,2023-08-16,11.07,10.1
217,2023-08-17,1.94,1.451
218,2023-08-18,6.62,5.483
219,2023-08-21,-3.3,-2.809
220,2023-08-22,-0.98,-4.992
221,2023-08-23,-0.93,0.059
222,2023-08-24,-5.83,-3.966
223,2023-08-25,7.63,10.469
224,2023-08-28,-8.84,-8.89
225,2023-08-29,-3.83,-7.143
226,2023-08-30,-4.18,-4.178
227,2023-08-31,-3.94,-4.474
228,2023-09-01,-2.23,-2.933
229,2023-09-04,-3.54,-3.466
230,2023-09-05,5.58,1.468
231,2023-09-06,1.37,-0.989
232,2023-09-07,3.14,1.261
233,2023-09-08,-0.35,-2.768
234,2023-09-11,-3.89,-2.672
235,2023-09-12,-0.29,-2.611
236,2023-09-13,3.12,1.498
237,2023-09-14,-5.27,-6.519
238,2023-09-15,-4.9,-4.257
239,2023-09-18,7.57,8.583
240,2023-09-19,1.52,-2.778
241,2023-09-20,0.79,0.0
242,2023-09-21,7.3,6.77
243,2023-09-22,15.85,13.234
244,2023-09-25,-1.94,-0.635
245,2023-09-26,-1.74,-2.029
246,2023-09-27,12.07,5.047
247,2023-09-28,-3.8,-0.383
248,2023-09-29,-4.83,-4.83
249,2023-10-02,1.04,3.853
250,2023-10-03,0.51,1.733
251,2023-10-04,12.32,11.061
252,2023-10-05,-6.07,-10.328
253,2023-10-06,-0.48,-0.964
254,2023-10-09,-5.62,-6.834
255,2023-10-10,1.43,-9.417
256,2023-10-11,-3.79,-3.785
257,2023-10-12,-5.52,-5.074
258,2023-10-13,3.73,3.794
259,2023-10-16,15.76,16.878
260,2023-10-17,-10.92,-9.895
261,2023-10-18,3.89,2.7
262,2023-10-19,7.49,4.684
263,2023-10-20,11.34,8.464
