현재가,거래량,체결시간,시가,고가,저가,전일종가
0.10,1372,20231107151500,0.10,0.10,-0.09,
0.10,15999,20231107144500,-0.09,0.10,-0.07,
-0.09,25405,20231107141500,-0.08,+0.12,-0.05,
-0.08,8284,20231107134500,-0.08,-0.09,-0.07,
-0.08,10318,20231107131500,-0.08,-0.08,-0.06,
-0.08,11969,20231107124500,-0.08,+0.11,-0.07,
-0.08,18268,20231107121500,-0.07,+0.11,-0.07,
-0.08,24775,20231107114500,-0.09,-0.09,-0.06,
-0.09,20015,20231107111500,+0.11,+0.12,-0.09,
+0.11,29503,20231107104500,+0.24,+0.25,0.10,
+0.24,24387,20231107101500,+0.14,+0.25,+0.13,
+0.14,65592,20231107094500,+0.29,+0.30,+0.12,
+0.29,29888,20231107091500,+0.29,+0.42,+0.29,
+0.28,67668,20231107084500,+0.83,+0.91,+0.25,
1.15,427,20231106154500,1.15,1.15,1.15,
-0.93,38839,20231106151500,-0.38,-1.05,-0.32,
-0.38,17897,20231106144500,-0.26,-0.38,-0.24,
-0.26,19196,20231106141500,-0.23,-0.26,-0.17,
-0.23,22303,20231106134500,-0.37,-0.37,-0.16,
-0.37,24299,20231106131500,-0.44,-0.44,-0.30,
-0.44,31169,20231106124500,-0.12,-0.47,-0.12,
-0.12,5439,20231106121500,-0.10,-0.13,-0.09,
-0.09,9075,20231106114500,-0.09,-0.12,-0.08,
-0.08,16050,20231106111500,-0.11,-0.13,-0.07,
-0.10,33544,20231106104500,-0.04,-0.18,-0.03,
-0.04,8910,20231106101500,-0.01,-0.05,-0.01,
-0.01,1347,20231106094500,-0.01,-0.02,-0.01,
-0.01,11373,20231106091500,-0.01,-0.01,-0.01,
-0.01,11276,20231106084500,-0.01,-0.02,-0.01,
0.01,1,20231103151500,0.01,0.01,0.01,
0.01,10,20231103141500,0.01,0.01,0.01,
0.01,1,20231103131500,0.01,0.01,0.01,
0.01,1,20231103124500,0.01,0.01,0.01,
0.01,2123,20231103104500,0.01,0.01,0.01,
0.01,7,20231103094500,0.01,0.01,0.01,
0.01,11,20231103091500,0.01,0.01,0.01,
0.01,24,20231103084500,0.01,0.01,0.01,
0.01,44,20231102141500,0.01,0.01,0.01,
