"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 15","178.31","177.90","179.23","177.54","","0.29%"
"2023- 06- 14","177.79","176.90","178.76","176.58","","0.55%"
"2023- 06- 13","176.82","179.81","179.96","176.84","","-1.61%"
"2023- 06- 12","179.72","180.63","181.34","179.61","","-0.46%"
"2023- 06- 09","180.55","182.30","182.60","180.49","","-0.86%"
"2023- 06- 08","182.11","183.56","183.65","182.24","","-0.75%"
"2023- 06- 07","183.49","182.54","183.67","182.07","","0.56%"
"2023- 06- 06","182.47","183.18","183.48","182.32","","-0.35%"
"2023- 06- 05","183.11","184.35","185.05","182.88","","-0.63%"
"2023- 06- 02","184.27","185.10","185.29","183.96","","-0.37%"
"2023- 06- 01","184.95","185.94","186.41","184.99","","-0.39%"
"2023- 05- 31","185.67","186.46","186.96","185.74","","-0.39%"
"2023- 05- 30","186.39","187.32","187.41","186.01","","-0.42%"
"2023- 05- 29","187.17","187.33","187.80","186.82","","-0.01%"
"2023- 05- 26","187.18","188.05","188.32","186.99","","-0.45%"
"2023- 05- 25","188.03","186.77","188.31","186.45","","0.72%"
"2023- 05- 24","186.68","187.10","187.41","186.34","","-0.13%"
"2023- 05- 23","186.92","186.79","187.49","185.80","","0.11%"
"2023- 05- 22","186.71","189.10","189.26","186.68","","-1.24%"
"2023- 05- 19","189.05","189.60","189.84","188.43","","-0.31%"
"2023- 05- 18","189.64","190.71","191.10","189.46","","-0.52%"
"2023- 05- 17","190.63","192.41","192.57","190.38","","-0.89%"
"2023- 05- 16","192.35","192.13","192.55","191.71","","0.15%"
"2023- 05- 15","192.06","192.93","192.99","191.71","","-0.44%"
"2023- 05- 12","192.90","191.57","193.06","191.26","","0.73%"
"2023- 05- 11","191.50","190.13","192.15","189.75","","0.77%"
"2023- 05- 10","190.03","191.65","191.77","190.05","","-0.81%"
"2023- 05- 09","191.58","191.35","192.01","190.65","","0.21%"
"2023- 05- 08","191.17","190.72","191.91","190.70","","0.28%"
