"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 27","9.5272","9.5948","9.6121","9.5083","","-0.62%"
"2022- 12- 26","9.5862","9.6458","9.6798","9.5679","","-0.49%"
"2022- 12- 23","9.6337","9.7619","9.7763","9.6214","","-1.28%"
"2022- 12- 22","9.7585","9.6644","9.7662","9.6550","","1.08%"
"2022- 12- 21","9.6544","9.7495","9.7929","9.6617","","-0.94%"
"2022- 12- 20","9.7465","9.5084","9.8351","9.4587","","2.54%"
"2022- 12- 19","9.5047","9.6281","9.6452","9.4864","","-0.76%"
"2022- 12- 16","9.5778","9.5772","9.6087","9.5054","","0.09%"
"2022- 12- 15","9.5690","9.5656","9.6406","9.5486","","0.08%"
"2022- 12- 14","9.5617","9.5112","9.6266","9.5001","","0.58%"
"2022- 12- 13","9.5069","9.4936","9.7063","9.4407","","0.23%"
"2022- 12- 12","9.4850","9.5478","9.6011","9.4785","","-0.64%"
"2022- 12- 09","9.5459","9.6354","9.6482","9.5186","","-0.84%"
"2022- 12- 08","9.6271","9.6238","9.6749","9.6182","","0.07%"
"2022- 12- 07","9.6200","9.6321","9.6763","9.5590","","-0.10%"
"2022- 12- 06","9.6293","9.5479","9.7057","9.5302","","0.89%"
"2022- 12- 05","9.5446","9.6726","9.6807","9.5295","","-1.22%"
"2022- 12- 02","9.6620","9.6430","9.7083","9.5343","","0.26%"
"2022- 12- 01","9.6374","9.4282","9.6515","9.4239","","2.22%"
"2022- 11- 30","9.4281","9.5575","9.5836","9.4175","","-1.31%"
"2022- 11- 29","9.5535","9.6544","9.6841","9.5380","","-0.90%"
"2022- 11- 28","9.6406","9.5852","9.7368","9.5787","","0.51%"
"2022- 11- 25","9.5916","9.5803","9.6170","9.5237","","0.23%"
"2022- 11- 24","9.5693","9.5777","9.6351","9.5369","","-0.06%"
"2022- 11- 23","9.5749","9.5785","9.6312","9.5428","","0.00%"
"2022- 11- 22","9.5749","9.5649","9.6028","9.5329","","0.13%"
"2022- 11- 21","9.5624","9.5515","9.6665","9.5434","","0.20%"
"2022- 11- 18","9.5435","9.5794","9.6019","9.5333","","-0.34%"
"2022- 11- 17","9.5760","9.5805","9.6545","9.5410","","-0.02%"
"2022- 11- 16","9.5776","9.4530","9.6081","9.4462","","1.37%"
"2022- 11- 15","9.4481","9.4669","9.5393","9.3757","","-0.16%"
"2022- 11- 14","9.4637","9.4852","9.5533","9.3863","","0.00%"
"2022- 11- 11","9.4633","9.5772","9.5792","9.2738","","-1.15%"
"2022- 11- 10","9.5732","9.3625","9.6335","9.3132","","2.26%"
"2022- 11- 09","9.3612","9.4384","9.4932","9.3208","","-0.81%"
"2022- 11- 08","9.4374","9.5027","9.5164","9.3984","","-0.61%"
