현재가,거래량,체결시간,시가,고가,저가,전일종가
0.01,27,20231107151500,0.01,0.01,0.01,-2.07
0.01,5286,20231107150000,0.01,0.01,0.01,
0.01,17,20231107144500,+0.02,+0.02,0.01,
0.01,509,20231107143000,0.01,0.01,0.01,
0.01,10,20231107141500,0.01,+0.02,0.01,
0.01,13,20231107140000,+0.02,+0.02,0.01,
0.01,1685,20231107134500,+0.02,+0.02,0.01,
+0.02,405,20231107133000,+0.02,+0.03,+0.02,
+0.02,1,20231107131500,+0.02,+0.02,+0.02,
+0.02,16,20231107130000,+0.02,+0.02,+0.02,
+0.02,226,20231107124500,+0.03,+0.03,+0.02,
+0.03,225,20231107123000,+0.02,+0.03,+0.02,
+0.03,2580,20231107121500,+0.04,+0.04,+0.02,
+0.04,4478,20231107120000,+0.02,+0.04,+0.02,
+0.02,417,20231107114500,+0.02,+0.02,0.01,
0.01,102,20231107113000,+0.02,+0.02,0.01,
0.01,531,20231107111500,+0.02,+0.02,0.01,
+0.02,162,20231107110000,+0.02,+0.02,+0.02,
0.01,10,20231107104500,0.01,+0.02,0.01,
0.01,17,20231107101500,0.01,+0.02,0.01,
+0.02,3278,20231107100000,0.01,+0.02,0.01,
0.01,24,20231107094500,+0.02,+0.02,0.01,
0.01,429,20231107093000,+0.02,+0.02,0.01,
0.01,866,20231107091500,+0.02,+0.02,0.01,
+0.02,3904,20231107090000,+0.02,+0.03,+0.02,
0.01,5760,20231107084500,0.01,+0.02,0.01,
0.02,104,20231106154500,0.02,0.02,0.02,
0.02,125,20231106153000,+0.04,+0.04,0.02,
+0.03,1993,20231106151500,+0.03,+0.04,0.02,
0.02,54,20231106150000,0.02,+0.03,0.02,
0.02,41,20231106144500,0.02,+0.03,0.02,
0.02,1109,20231106143000,+0.03,+0.03,0.02,
0.02,2463,20231106141500,+0.03,+0.03,0.02,
+0.03,374,20231106140000,+0.03,+0.03,+0.03,
+0.03,359,20231106134500,+0.04,+0.04,+0.03,
+0.03,617,20231106133000,+0.03,+0.04,0.02,
+0.03,1181,20231106131500,0.02,+0.04,0.02,
+0.03,2958,20231106130000,+0.03,+0.04,0.02,
0.02,13,20231106124500,+0.03,+0.03,0.02,
0.02,19,20231106123000,0.02,0.02,0.02,
0.02,14,20231106121500,0.02,+0.03,0.02,
+0.03,6,20231106120000,+0.03,+0.03,0.02,
+0.03,12,20231106114500,+0.03,+0.03,0.02,
0.02,13,20231106113000,0.02,+0.03,0.02,
+0.03,38,20231106111500,0.02,+0.03,0.02,
+0.03,495,20231106110000,0.02,+0.03,0.02,
0.02,2478,20231106104500,0.02,0.02,-0.01,
0.02,4595,20231106103000,0.02,+0.03,0.02,
0.02,5391,20231106101500,+0.03,+0.03,0.02,
0.02,76,20231106100000,0.02,+0.03,0.02,
+0.03,337,20231106094500,+0.03,+0.03,0.02,
+0.03,181,20231106093000,0.02,+0.03,0.02,
+0.03,275,20231106091500,+0.03,+0.03,0.02,
+0.03,2267,20231106090000,+0.03,+0.03,0.02,
+0.03,953,20231106084500,0.02,+0.03,0.02,
0.05,58,20231103154500,0.05,0.05,0.05,
+0.06,1958,20231103153000,+0.06,+0.07,0.05,
+0.06,1708,20231103151500,+0.06,+0.06,0.05,
+0.06,53,20231103150000,0.05,+0.06,0.05,
+0.06,94,20231103144500,+0.06,+0.06,+0.06,
+0.06,283,20231103143000,0.05,+0.06,0.05,
+0.06,689,20231103141500,+0.06,+0.06,0.05,
0.05,25,20231103140000,0.05,+0.06,0.05,
0.05,787,20231103134500,+0.06,+0.06,0.05,
+0.06,38,20231103133000,+0.06,+0.07,+0.06,
+0.06,182,20231103131500,+0.07,+0.07,+0.06,
+0.07,269,20231103130000,+0.06,+0.07,+0.06,
+0.06,1611,20231103124500,+0.07,+0.07,+0.06,
+0.07,57,20231103123000,+0.06,+0.07,+0.06,
+0.06,692,20231103121500,+0.06,+0.06,+0.06,
+0.06,292,20231103120000,0.05,+0.06,0.05,
0.05,1376,20231103114500,+0.06,+0.06,0.05,
+0.06,990,20231103113000,+0.06,+0.06,0.05,
+0.06,1508,20231103111500,+0.06,+0.06,0.05,
+0.06,906,20231103110000,+0.07,+0.07,+0.06,
+0.06,384,20231103104500,+0.06,+0.07,+0.06,
+0.06,3059,20231103103000,+0.06,+0.07,0.05,
+0.06,2892,20231103101500,+0.06,+0.06,+0.06,
+0.07,2129,20231103100000,+0.08,+0.09,+0.06,
+0.08,3834,20231103094500,+0.08,+0.10,+0.08,
+0.09,2661,20231103093000,+0.10,+0.10,+0.07,
+0.10,4185,20231103091500,+0.08,+0.10,+0.08,
+0.08,6677,20231103090000,+0.07,+0.09,+0.07,
+0.07,4486,20231103084500,+0.07,+0.07,+0.06,
0.20,167,20231102154500,0.20,0.20,0.20,
+0.22,1018,20231102153000,+0.24,+0.25,+0.21,
+0.25,3616,20231102151500,+0.21,+0.25,0.20,
0.20,2172,20231102150000,+0.21,+0.24,0.20,
+0.21,1420,20231102144500,+0.21,+0.22,0.20,
+0.21,1790,20231102143000,+0.21,+0.22,0.20,
+0.21,1819,20231102141500,+0.21,+0.21,+0.21,
+0.21,1610,20231102140000,+0.24,+0.24,+0.21,
+0.24,1412,20231102134500,+0.21,+0.25,+0.21,
+0.22,953,20231102133000,+0.21,+0.22,+0.21,
+0.21,856,20231102131500,+0.21,+0.22,+0.21,
+0.21,1065,20231102130000,+0.21,+0.22,+0.21,
+0.21,4664,20231102124500,+0.22,+0.22,0.20,
+0.22,1382,20231102123000,+0.21,+0.23,0.20,
+0.21,1398,20231102121500,+0.22,+0.22,+0.21,
+0.22,1676,20231102120000,+0.23,+0.23,+0.22,
+0.23,9217,20231102114500,+0.25,+0.28,+0.23,
+0.25,5708,20231102113000,+0.23,+0.25,+0.22,
+0.22,3812,20231102111500,-0.19,+0.23,-0.19,
-0.19,6980,20231102110000,-0.16,+0.23,-0.16,
-0.16,807,20231102104500,-0.17,-0.17,-0.16,
-0.16,1084,20231102103000,-0.17,-0.17,-0.15,
-0.17,5449,20231102101500,-0.18,-0.19,-0.16,
-0.19,2308,20231102100000,0.20,+0.21,-0.18,
0.20,4797,20231102094500,0.20,+0.22,-0.19,
0.20,4696,20231102093000,+0.23,+0.24,0.20,
+0.22,4655,20231102091500,+0.22,+0.23,-0.19,
+0.22,12268,20231102090000,+0.23,+0.27,-0.19,
+0.22,18235,20231102084500,+0.29,+0.36,-0.19,
1.04,231,20231101154500,1.04,1.04,1.04,
+1.09,931,20231101153000,-1.03,+1.10,-1.03,
-1.03,3297,20231101151500,-1.03,1.04,-0.96,
-1.02,3601,20231101150000,+1.15,+1.15,-1.00,
+1.15,2396,20231101144500,+1.10,+1.16,+1.06,
+1.10,3973,20231101143000,+1.12,+1.16,+1.07,
+1.11,4090,20231101141500,+1.19,+1.22,+1.06,
+1.20,3253,20231101140000,+1.06,+1.29,+1.06,
+1.07,2022,20231101134500,+1.11,+1.13,+1.06,
+1.11,2485,20231101133000,+1.17,+1.20,+1.10,
+1.18,2300,20231101131500,+1.12,+1.19,+1.08,
+1.11,2103,20231101130000,+1.17,+1.19,+1.09,
+1.17,2572,20231101124500,+1.09,+1.17,+1.07,
+1.10,3869,20231101123000,+1.09,+1.11,-0.99,
+1.09,2639,20231101121500,+1.17,+1.22,+1.08,
+1.17,2107,20231101120000,+1.18,+1.21,+1.12,
+1.18,4577,20231101114500,+1.17,+1.24,+1.08,
+1.17,5443,20231101113000,+1.37,+1.38,+1.15,
+1.38,3742,20231101111500,+1.46,+1.53,+1.38,
+1.47,4276,20231101110000,+1.54,+1.56,+1.42,
+1.55,7045,20231101104500,+1.29,+1.62,+1.29,
+1.29,5680,20231101103000,+1.44,+1.53,+1.25,
+1.44,5782,20231101101500,+1.26,+1.48,+1.25,
+1.26,4849,20231101100000,+1.24,+1.31,+1.18,
+1.23,6074,20231101094500,+1.23,+1.31,+1.12,
+1.22,6871,20231101093000,+1.08,+1.27,-1.01,
+1.09,8116,20231101091500,-1.02,+1.16,-0.95,
-1.03,13313,20231101090000,+1.51,+1.64,-0.99,
+1.50,4737,20231101084500,+1.78,+1.96,+1.49,
2.34,142,20231031154500,2.34,2.34,2.34,
+2.45,713,20231031153000,+2.53,+2.57,+2.41,
+2.54,1119,20231031151500,+2.58,+2.61,+2.50,
+2.59,1219,20231031150000,+2.55,+2.64,+2.48,
+2.56,1427,20231031144500,+2.51,+2.57,+2.42,
+2.51,2411,20231031143000,+2.63,+2.71,+2.46,
+2.63,2176,20231031141500,+2.57,+2.69,+2.48,
+2.57,2729,20231031140000,+2.44,+2.63,+2.44,
+2.43,1702,20231031134500,+2.43,+2.54,+2.35,
+2.45,1813,20231031133000,+2.47,+2.50,+2.37,
+2.48,2127,20231031131500,+2.35,+2.56,-2.30,
2.34,2044,20231031130000,+2.38,+2.40,-2.17,
+2.37,1501,20231031124500,+2.38,+2.58,-2.29,
+2.38,2709,20231031123000,-2.30,+2.54,-2.22,
-2.29,2191,20231031121500,+2.45,+2.58,-2.28,
+2.45,2292,20231031120000,-2.26,+2.52,-2.20,
-2.25,2576,20231031114500,-2.17,+2.41,-2.14,
-2.16,1843,20231031113000,-1.91,-2.19,-1.89,
-1.93,3133,20231031111500,-1.80,-2.01,-1.74,
-1.81,4779,20231031110000,-1.73,-1.86,-1.57,
-1.73,5520,20231031104500,-2.02,-2.08,-1.64,
-2.01,6563,20231031103000,-2.02,-2.18,-1.70,
-2.02,4520,20231031101500,-1.95,-2.28,-1.88,
-1.94,4332,20231031100000,-1.94,-1.98,-1.68,
-1.94,5333,20231031094500,-1.87,-2.03,-1.78,
-1.86,8404,20231031093000,-1.35,-1.88,-1.27,
-1.35,7904,20231031091500,-1.14,-1.37,-1.08,
-1.15,9673,20231031090000,-1.12,-1.29,-1.01,
-1.12,4939,20231031084500,-1.32,-1.38,-1.03,
1.80,88,20231030154500,1.80,1.80,1.80,
-1.76,657,20231030153000,-1.69,-1.77,-1.69,
-1.69,2761,20231030151500,-1.69,-1.73,-1.56,
-1.68,2213,20231030150000,+1.95,+1.95,-1.68,
+1.94,1186,20231030144500,+2.01,+2.05,+1.93,
+2.02,1700,20231030143000,+2.02,+2.05,+1.90,
+2.01,1479,20231030141500,+2.05,+2.11,+1.96,
+2.06,2408,20231030140000,+1.94,+2.10,+1.88,
+1.93,1316,20231030134500,+1.81,+1.93,-1.78,
+1.81,1954,20231030133000,+1.81,+1.96,-1.77,
1.80,1569,20231030131500,-1.66,1.80,-1.63,
-1.67,745,20231030130000,-1.66,-1.69,-1.63,
-1.66,940,20231030124500,-1.63,-1.67,-1.59,
-1.63,1087,20231030123000,-1.61,-1.64,-1.56,
-1.60,1619,20231030121500,-1.76,+1.81,-1.59,
-1.76,1648,20231030120000,-1.76,+1.85,-1.72,
-1.76,1099,20231030114500,+1.83,+1.85,-1.75,
+1.83,1647,20231030113000,1.80,+1.86,-1.76,
1.80,2320,20231030111500,+2.01,+2.04,-1.74,
+2.01,2718,20231030110000,+1.87,+2.06,-1.77,
+1.86,2792,20231030104500,+1.85,+1.99,+1.81,
+1.84,3022,20231030103000,+2.10,+2.11,+1.84,
+2.10,2803,20231030101500,+2.17,+2.25,+2.05,
+2.17,2529,20231030100000,+2.06,+2.17,+2.00,
+2.06,3110,20231030094500,+2.44,+2.56,+2.04,
+2.44,3864,20231030093000,+2.34,+2.46,+2.09,
+2.33,3823,20231030091500,+2.34,+2.40,+2.08,
+2.34,4285,20231030090000,+3.00,+3.01,+2.24,
+2.98,1805,20231030084500,+2.88,+3.15,+2.81,
2.36,107,20231027154500,2.36,2.36,2.36,
-2.28,735,20231027153000,-2.30,-2.30,-2.24,
-2.28,861,20231027151500,-2.27,-2.30,-2.21,
-2.27,1336,20231027150000,-2.29,+2.37,-2.20,
-2.29,977,20231027144500,+2.38,+2.44,-2.28,
+2.38,1364,20231027143000,+2.38,+2.47,-2.28,
+2.38,1130,20231027141500,+2.40,+2.50,-2.28,
+2.38,1500,20231027140000,-2.23,+2.47,-2.23,
-2.22,1135,20231027134500,-2.22,-2.34,-2.18,
-2.22,1815,20231027133000,+2.58,+2.58,-2.19,
+2.58,1717,20231027131500,+2.57,+2.65,+2.40,
+2.57,1513,20231027130000,+2.44,+2.57,+2.38,
+2.44,1422,20231027124500,+2.39,+2.48,-2.33,
+2.39,1752,20231027123000,-2.19,+2.40,-2.19,
-2.17,2197,20231027121500,-2.07,-2.23,-2.07,
-2.07,1417,20231027120000,-1.96,-2.08,-1.87,
-1.95,1595,20231027114500,-1.84,-1.97,-1.83,
-1.84,784,20231027113000,-1.89,-1.89,-1.79,
-1.90,1131,20231027111500,-1.96,-1.97,-1.82,
-1.96,1596,20231027110000,-2.09,-2.11,-1.87,
-2.07,2299,20231027104500,-2.05,-2.14,-1.91,
-2.05,2349,20231027103000,-2.11,-2.28,-1.96,
-2.10,2748,20231027101500,-2.33,-2.34,-1.98,
-2.33,1999,20231027100000,+2.63,+2.63,-2.28,
+2.61,2878,20231027094500,+2.61,+2.65,-2.33,
+2.61,4805,20231027093000,+2.42,+2.77,-2.20,
+2.43,3913,20231027091500,-2.06,+2.44,-2.00,
-2.07,4605,20231027090000,-1.90,-2.26,-1.89,
-1.90,1569,20231027084500,-2.35,-2.35,-1.88,
2.87,110,20231026154500,2.87,2.87,2.87,
-2.82,496,20231026153000,-2.79,-2.85,-2.73,
-2.77,1436,20231026151500,-2.73,-2.80,-2.70,
-2.74,2420,20231026150000,-2.60,-2.81,-2.56,
-2.59,2219,20231026144500,-2.74,-2.75,-2.41,
-2.72,1530,20231026143000,-2.78,+2.88,-2.62,
-2.79,1379,20231026141500,-2.74,-2.85,-2.65,
-2.73,1796,20231026140000,-2.62,-2.74,-2.46,
-2.61,1410,20231026134500,-2.53,-2.66,-2.53,
-2.53,2157,20231026133000,-2.55,-2.64,-2.47,
-2.54,2346,20231026131500,-2.47,-2.64,-2.42,
-2.47,1174,20231026130000,-2.41,-2.49,-2.34,
-2.44,1090,20231026124500,-2.39,-2.45,-2.32,
-2.39,1544,20231026123000,-2.44,-2.45,-2.25,
-2.44,1680,20231026121500,-2.40,-2.54,-2.39,
-2.40,1458,20231026120000,-2.37,-2.43,-2.30,
-2.37,1922,20231026114500,-2.26,-2.38,-2.14,
-2.25,2353,20231026113000,-2.38,-2.49,-2.25,
-2.37,3669,20231026111500,-2.16,-2.45,-2.10,
-2.15,2492,20231026110000,-2.00,-2.18,-1.93,
-2.01,2601,20231026104500,-1.71,-2.03,-1.71,
-1.70,2393,20231026103000,-1.99,-2.02,-1.69,
-2.00,1816,20231026101500,-1.98,-2.05,-1.88,
-1.98,3015,20231026100000,-1.95,-2.09,-1.87,
-1.94,3575,20231026094500,-1.84,-2.00,-1.78,
-1.83,7670,20231026093000,-1.76,-2.07,-1.71,
-1.75,4574,20231026091500,-1.66,-1.82,-1.63,
-1.66,8038,20231026090000,-1.93,-1.94,-1.60,
-1.94,5474,20231026084500,-1.78,-1.99,-1.70,
0.83,132,20231025154500,0.83,0.83,0.83,
0.83,586,20231025153000,-0.82,0.83,-0.81,
-0.81,2028,20231025151500,-0.81,0.83,-0.80,
-0.81,1814,20231025150000,-0.77,0.83,-0.76,
-0.77,1416,20231025144500,-0.82,0.83,-0.77,
-0.81,3334,20231025143000,-0.77,+0.85,-0.76,
-0.77,1249,20231025141500,-0.69,-0.77,-0.69,
-0.69,2435,20231025140000,-0.74,-0.75,-0.67,
-0.74,923,20231025134500,-0.75,-0.79,-0.73,
-0.75,990,20231025133000,-0.77,-0.80,-0.75,
-0.77,1728,20231025131500,-0.81,+0.87,-0.77,
-0.80,1422,20231025130000,-0.76,-0.82,-0.76,
-0.76,604,20231025124500,-0.78,-0.78,-0.74,
-0.78,599,20231025123000,-0.73,-0.79,-0.72,
-0.74,963,20231025121500,-0.73,-0.77,-0.72,
-0.73,1521,20231025120000,-0.67,-0.74,-0.63,
-0.68,495,20231025114500,-0.67,-0.68,-0.63,
-0.67,970,20231025113000,-0.64,-0.69,-0.64,
-0.63,1570,20231025111500,-0.67,-0.70,-0.63,
-0.67,1780,20231025110000,-0.69,-0.70,-0.65,
-0.68,2222,20231025104500,-0.76,-0.79,-0.67,
-0.76,3466,20231025103000,-0.80,+0.85,-0.74,
-0.81,3185,20231025101500,-0.75,0.83,-0.70,
-0.75,2826,20231025100000,-0.73,-0.79,-0.71,
-0.74,2963,20231025094500,-0.75,-0.78,-0.69,
-0.76,6309,20231025093000,-0.65,-0.79,-0.62,
-0.65,6080,20231025091500,-0.70,-0.73,-0.57,
-0.70,8289,20231025090000,-0.55,-0.72,-0.55,
-0.55,2873,20231025084500,-0.63,-0.72,-0.55,
0.76,333,20231024154500,0.76,0.76,0.76,
+0.77,374,20231024153000,+0.79,+0.81,+0.77,
+0.79,1957,20231024151500,+0.81,+0.84,+0.77,
+0.80,1511,20231024150000,+0.86,+0.86,+0.79,
+0.85,1383,20231024144500,+0.85,+0.88,+0.83,
+0.85,3954,20231024143000,+0.86,+0.86,+0.77,
+0.87,3465,20231024141500,+0.83,+0.92,+0.83,
+0.83,4075,20231024140000,+1.00,+1.00,+0.83,
+1.00,2277,20231024134500,+1.13,+1.14,+1.00,
+1.13,1784,20231024133000,+1.26,+1.27,+1.10,
+1.26,1118,20231024131500,+1.35,+1.36,+1.21,
+1.35,1208,20231024130000,+1.33,+1.43,+1.30,
+1.33,792,20231024124500,+1.28,+1.37,+1.26,
+1.28,1252,20231024123000,+1.40,+1.42,+1.28,
+1.40,2964,20231024121500,+1.41,+1.42,+1.28,
+1.41,2088,20231024120000,+1.27,+1.41,+1.24,
+1.27,1767,20231024114500,+1.14,+1.27,+1.14,
+1.15,3610,20231024113000,+1.18,+1.22,+1.09,
+1.20,5408,20231024111500,+1.53,+1.55,+1.17,
+1.53,2866,20231024110000,+1.80,+1.85,+1.53,
+1.81,2602,20231024104500,+1.97,+2.01,+1.81,
+1.96,6241,20231024103000,+1.80,+2.14,+1.74,
+1.82,5772,20231024101500,+1.36,+1.82,+1.34,
+1.36,4034,20231024100000,+1.30,+1.37,+1.26,
+1.31,4838,20231024094500,+1.23,+1.36,+1.19,
+1.23,3833,20231024093000,+1.15,+1.28,+1.10,
+1.14,4743,20231024091500,+1.05,+1.26,+1.01,
+1.04,5385,20231024090000,+0.92,+1.11,+0.91,
+0.91,4074,20231024084500,+0.98,+1.13,+0.90,
1.43,71,20231023154500,1.43,1.43,1.43,
-1.35,391,20231023153000,-1.37,-1.37,-1.32,
-1.37,1509,20231023151500,-1.41,-1.41,-1.29,
-1.41,2461,20231023150000,-1.40,+1.45,-1.32,
-1.40,846,20231023144500,1.43,+1.44,-1.38,
1.43,859,20231023143000,-1.41,+1.44,-1.38,
-1.41,1679,20231023141500,+1.44,+1.46,-1.36,
+1.44,1738,20231023140000,-1.41,+1.44,-1.33,
-1.41,1348,20231023134500,-1.42,+1.44,-1.39,
-1.41,3034,20231023133000,-1.30,+1.45,-1.29,
-1.30,2004,20231023131500,-1.21,-1.31,-1.21,
-1.21,2591,20231023130000,-1.39,-1.40,-1.20,
-1.39,629,20231023124500,-1.36,-1.40,-1.33,
-1.36,959,20231023123000,-1.37,-1.41,-1.33,
-1.37,1070,20231023121500,-1.34,-1.38,-1.34,
-1.34,2593,20231023120000,+1.44,+1.47,-1.34,
+1.44,1071,20231023114500,-1.40,+1.45,-1.37,
-1.41,1873,20231023113000,-1.36,-1.42,-1.31,
-1.36,2463,20231023111500,-1.33,-1.40,-1.28,
-1.33,2132,20231023110000,-1.21,-1.33,-1.20,
-1.22,1127,20231023104500,-1.20,-1.24,-1.13,
-1.21,1916,20231023103000,-1.17,-1.22,-1.12,
-1.18,1725,20231023101500,-1.26,-1.26,-1.10,
-1.26,1273,20231023100000,-1.15,-1.27,-1.14,
-1.16,2400,20231023094500,-1.24,-1.27,-1.13,
-1.23,3720,20231023093000,-1.37,-1.38,-1.13,
-1.36,5388,20231023091500,-1.12,1.43,-1.11,
-1.11,6162,20231023090000,-1.26,-1.38,-1.10,
-1.26,3327,20231023084500,+1.58,+1.60,-1.24,
1.35,128,20231020154500,1.35,1.35,1.35,
-1.31,424,20231020153000,+1.38,+1.38,-1.31,
+1.37,2450,20231020151500,-1.30,+1.39,-1.29,
-1.31,2709,20231020150000,-1.32,+1.38,-1.26,
-1.31,4567,20231020144500,-1.20,1.35,-1.15,
-1.19,3403,20231020143000,-1.07,-1.21,-1.04,
-1.07,1045,20231020141500,-1.12,-1.12,-1.06,
-1.12,1939,20231020140000,-1.02,-1.13,-1.02,
-1.02,1384,20231020134500,-1.01,-1.05,-1.00,
-1.02,1910,20231020133000,-1.06,-1.06,-0.99,
-1.06,1216,20231020131500,-1.15,-1.15,-1.06,
-1.14,1294,20231020130000,-1.12,-1.14,-1.07,
-1.12,1900,20231020124500,-1.19,-1.19,-1.11,
-1.19,1072,20231020123000,-1.20,-1.23,-1.17,
-1.19,1050,20231020121500,-1.18,-1.22,-1.17,
-1.17,2067,20231020120000,-1.19,-1.24,-1.16,
-1.18,1971,20231020114500,+1.39,+1.40,-1.17,
+1.39,1652,20231020113000,+1.50,+1.51,+1.36,
+1.51,1204,20231020111500,+1.48,+1.54,+1.46,
+1.46,1240,20231020110000,+1.47,+1.52,+1.41,
+1.47,5611,20231020104500,+1.52,+1.54,+1.42,
+1.52,7491,20231020103000,+1.49,+1.61,+1.47,
+1.49,9053,20231020101500,+1.66,+1.74,+1.47,
+1.66,7732,20231020100000,+1.61,+1.68,+1.46,
+1.61,15289,20231020094500,+1.59,+1.75,+1.57,
+1.58,11556,20231020093000,+1.39,+1.60,+1.39,
+1.39,15863,20231020091500,-1.27,+1.45,-1.25,
-1.27,17597,20231020090000,-1.03,-1.28,-0.96,
-1.03,3793,20231020084500,-1.04,-1.13,-1.02,
0.73,77,20231019154500,0.73,0.73,0.73,
-0.71,3989,20231019153000,-0.69,-0.71,-0.68,
-0.69,5787,20231019151500,-0.67,-0.69,-0.65,
-0.67,7310,20231019150000,-0.67,-0.71,-0.65,
-0.67,338,20231019144500,-0.67,-0.68,-0.66,
-0.67,342,20231019143000,-0.65,-0.67,-0.64,
-0.65,680,20231019141500,-0.62,-0.66,-0.62,
-0.62,922,20231019140000,-0.65,-0.66,-0.62,
-0.64,3794,20231019134500,-0.67,-0.70,-0.64,
-0.67,5053,20231019133000,-0.63,-0.67,-0.61,
-0.63,12561,20231019131500,-0.62,-0.66,-0.62,
-0.62,9319,20231019130000,-0.62,-0.64,-0.62,
-0.63,962,20231019124500,-0.63,-0.63,-0.60,
-0.63,611,20231019123000,-0.67,-0.67,-0.63,
-0.67,1538,20231019121500,-0.65,-0.71,-0.63,
-0.64,1272,20231019120000,-0.59,-0.64,-0.58,
-0.60,1579,20231019114500,-0.56,-0.61,-0.54,
