,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,KOSPI 전날변동율,KOSPI 야간변동율,KS200 전날변동율,KS200 야간변동율,NAS 야간변동율,NAS 당일변동율,NAS 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,S&P 야간변동율,S&P 당일변동율,S&P 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,JNIV 종가변동율,JNIV 전날변동율,JNIV 전날변화량,CD 전날변동율,CD 전날변화량,KOSPI 오전변동율,KOSPI 오전변화량,KS200 오전변동율,KS200 오전변화량,VKOSPI 당일 변동율
2023-08-22,0.11,0.8,-0.21,0.087,0.122,0.17,0.781,0.13,0.855,1.56,1.126,191.27,1.01,-13.823,-10.94,-89660.0,-69656.0,0.69,0.445,47.25,0.066,-0.98,-4.992,1.23,-0.2,-0.964,0.67,0.0,0.0,0.356,16.76,0.181,2.32,-1.536
2023-08-23,0.3,0.77,-0.14,0.093,0.081,0.28,-0.228,0.26,-0.227,0.06,-0.648,114.38,1.27,8.842,36.359,49425.0,206163.0,-0.28,-0.629,35.82,0.075,-0.93,0.059,0.97,2.15,3.692,0.56,0.0,0.0,-0.211,12.5,-0.2,2.17,-1.161
2023-08-24,0.5,0.73,-0.07,0.137,0.123,-0.41,1.049,-0.17,1.212,1.59,1.394,224.57,1.01,-3.781,-23.268,-23001.0,-179902.0,1.1,0.9,46.74,0.113,-5.83,-3.966,1.19,-5.42,-0.685,0.81,-0.27,0.01,-0.014,10.46,-0.078,1.36,-4.771
2023-08-25,0.08,0.71,-0.19,0.088,0.088,1.28,-1.272,1.42,-1.351,-1.87,-2.677,371.84,1.49,-5.5,38.667,-32199.0,229403.0,-1.35,-1.77,82.75,0.075,7.63,10.469,1.84,-2.49,1.49,0.42,0.0,0.0,0.163,18.81,0.167,2.1,-2.586
2023-08-28,-0.05,0.67,-0.22,0.094,0.086,-0.73,0.607,-1.07,0.56,0.94,0.564,257.08,1.13,6.52,-18.996,36070.0,-156276.0,0.67,0.372,62.17,0.079,-8.84,-8.89,1.91,-2.72,-4.992,0.84,0.0,0.0,0.22,13.06,0.109,1.54,-2.237
2023-08-29,0.12,0.57,-0.14,0.033,0.03,0.96,0.289,0.69,0.313,0.84,0.071,109.34,1.21,-16.185,-10.66,-95374.0,-71037.0,0.63,0.164,24.58,0.03,-3.83,-7.143,1.28,5.53,2.275,0.49,0.0,0.0,-0.138,11.71,-0.21,1.76,-2.409
2023-08-30,-0.31,0.54,-0.25,0.055,0.044,0.34,0.911,0.37,1.004,1.74,1.874,282.75,1.17,21.369,17.657,105542.0,105128.0,1.45,1.464,68.46,0.041,-4.18,-4.178,0.96,-2.6,3.199,0.34,0.0,0.0,-0.007,8.97,-0.05,1.31,-2.88
2023-08-31,-0.19,0.51,-0.21,0.039,0.033,0.35,0.126,0.35,0.131,0.54,0.412,126.62,1.26,-3.553,4.38,-21296.0,30679.0,0.38,0.323,28.06,0.023,-3.94,-4.474,0.87,-2.12,1.868,0.41,0.0,0.0,-0.194,11.25,-0.107,1.53,-0.685
2023-09-01,0.2,0.47,-0.08,0.033,0.034,-0.19,-0.17,-0.06,-0.191,0.11,-0.047,104.19,0.88,-0.202,-30.902,-1170.0,-225950.0,-0.16,-0.207,24.87,0.024,-2.23,-2.933,0.56,-1.44,2.484,0.58,0.0,0.0,-0.069,17.36,-0.012,3.64,-0.776
2023-09-04,-0.43,0.44,-0.26,0.083,0.11,0.29,0.126,1.05,0.242,0.11,-0.047,104.19,1.1,45.763,82.344,264035.0,416028.0,-0.16,-0.207,24.87,0.068,-3.54,-3.466,0.54,-4.79,-0.295,0.43,-0.271,0.01,-0.211,10.66,-0.1,1.22,-1.648
2023-09-05,-0.27,0.34,-0.18,0.066,0.088,0.81,-0.218,0.81,-0.255,-0.02,-0.695,167.2,1.09,-11.021,-11.839,-92691.0,-109065.0,0.18,-0.327,39.9,0.091,5.58,1.468,0.31,-0.18,-0.059,0.59,0.272,-0.01,-0.181,10.69,-0.244,1.96,-2.574
2023-09-06,0.21,0.31,-0.03,0.077,0.064,-0.09,-0.185,-0.21,-0.185,-0.08,0.189,115.2,0.96,-9.553,-20.144,-71486.0,-163608.0,-0.42,-0.293,18.28,0.068,1.37,-0.989,0.77,1.66,-2.057,0.49,0.271,-0.01,-0.088,8.73,-0.118,1.19,-0.719
2023-09-07,-0.05,0.27,-0.09,0.088,0.079,-0.73,-0.33,-0.72,-0.272,-1.06,-0.832,199.53,1.07,5.622,18.336,38054.0,118928.0,-0.7,-0.554,47.97,0.071,3.14,1.261,1.17,2.45,-2.876,1.37,0.27,-0.01,-0.214,15.22,-0.074,1.84,0.565
2023-09-08,-0.44,0.24,-0.2,0.11,0.103,-0.59,-0.086,-0.33,-0.134,-0.89,0.539,132.16,0.91,15.031,-2.269,107451.0,-17418.0,-0.32,0.374,27.35,0.1,-0.35,-2.768,1.29,-2.39,-5.252,1.15,0.27,-0.01,0.007,14.18,0.009,1.85,1.116
2023-09-11,0.35,0.21,0.04,0.116,0.657,-0.02,0.086,-0.1,0.036,0.09,0.05,110.19,0.98,31.97,41.154,262900.0,308696.0,0.14,0.139,25.15,0.103,-3.89,-2.672,1.29,4.38,-0.501,1.67,0.0,0.0,-0.186,14.16,-0.14,1.96,-0.879
2023-09-12,0.47,0.1,0.11,0.061,0.074,0.36,0.373,0.35,0.275,1.14,0.244,132.33,0.98,0.945,1.444,10255.0,15288.0,0.67,0.145,22.88,0.042,-0.29,-2.611,0.59,-3.63,0.937,0.77,0.0,0.0,-0.286,20.88,-0.21,2.15,-1.036
2023-09-13,0.21,0.07,0.04,0.055,0.07,-0.79,-0.014,-0.6,0.086,-1.04,-0.616,149.91,0.88,46.43,31.33,508632.0,336505.0,-0.57,-0.254,30.28,0.043,3.12,1.498,0.71,-1.97,3.175,0.37,0.269,-0.01,0.15,14.07,0.009,1.78,1.307
2023-09-14,0.11,0.03,0.02,0.132,0.109,-0.07,0.402,0.13,0.402,0.29,0.29,134.75,0.92,4.785,9.733,76753.0,137289.0,0.12,0.107,25.87,0.121,-5.27,-6.519,1.27,-3.96,0.433,0.56,0.536,-0.02,0.025,7.86,0.047,1.32,0.797
2023-09-15,-0.89,0.03,0.02,0.049,0.034,1.51,0.081,1.55,0.108,0.81,0.261,146.91,1.1,-2.324,16.478,-39059.0,255066.0,0.84,0.386,33.3,0.038,-4.9,-4.257,0.67,1.54,2.679,0.52,0.267,-0.01,0.378,20.34,0.362,2.73,-3.221
2023-09-18,1.92,2.38,-0.13,0.071,0.15,1.1,-0.484,1.11,-0.58,-1.56,-1.302,211.51,1.2,-56.424,-52.5,-926376.0,-946547.0,-1.22,-1.06,50.77,0.072,7.57,8.583,1.49,1.54,2.679,0.52,0.532,-0.02,-0.022,11.88,-0.061,2.06,-1.594
2023-09-19,2.28,2.25,0.01,0.039,0.046,-1.02,0.18,-1.25,0.244,0.01,0.295,87.82,1.16,-33.587,-35.781,-240293.0,-306428.0,0.07,0.189,24.25,0.036,1.52,-2.778,0.89,-2.49,0.879,0.77,0.265,-0.01,-0.361,12.69,-0.36,1.95,0.705
2023-09-20,1.93,2.2,-0.08,0.033,0.031,-0.6,-0.104,-0.54,-0.083,-0.23,0.211,126.28,0.93,12.389,-9.872,58867.0,-54290.0,-0.22,-0.033,33.24,0.028,0.79,0.0,1.02,-0.5,-4.821,0.33,0.264,-0.01,-0.0,11.32,-0.05,1.47,0.778
2023-09-21,1.85,2.18,-0.1,0.049,0.031,0.02,-0.583,-0.02,-0.596,-1.53,-1.759,260.53,0.9,-13.694,-16.071,-73128.0,-79662.0,-0.94,-1.137,59.65,0.039,7.3,6.77,1.58,5.82,-0.646,0.4,0.263,-0.01,-0.467,18.17,-0.454,2.69,-0.61
2023-09-22,1.16,2.1,-0.28,0.055,0.053,-1.75,-0.935,-1.69,-0.943,-1.82,-0.781,139.67,0.82,56.807,42.404,261812.0,176409.0,-1.64,-1.014,46.53,0.043,15.85,13.234,2.44,2.01,-2.596,1.18,0.262,-0.01,0.283,11.07,0.246,1.74,4.726
2023-09-25,0.83,2.07,-0.37,0.12,0.125,-0.27,-0.161,-0.31,-0.187,-0.09,-0.567,152.58,1.06,-3.402,24.434,-24587.0,144753.0,-0.23,-0.499,40.91,0.115,-1.94,-0.635,1.48,5.74,-5.538,1.89,0.262,-0.01,-0.151,11.6,-0.096,1.87,-7.016
2023-09-26,1.52,1.96,-0.13,0.137,0.09,-0.49,-0.085,-0.13,-0.021,0.45,0.75,145.83,0.69,1.702,-33.137,11884.0,-244281.0,0.4,0.622,35.81,0.126,-1.74,-2.029,1.62,-2.3,0.848,0.62,0.0,0.0,-0.174,28.84,-0.177,4.27,-4.212
2023-09-27,1.45,2.71,-0.38,0.124,0.112,-1.31,-0.608,-1.41,-0.566,-1.57,-0.89,165.73,1.04,-4.23,43.365,-30035.0,213744.0,-1.47,-0.912,47.03,0.086,12.07,5.047,2.33,-1.23,1.616,0.99,0.0,0.0,0.039,16.66,-0.071,2.29,4.391
2023-10-04,2.29,2.67,-0.12,0.075,0.078,0.09,-1.188,-0.06,-1.255,-1.87,-1.287,271.44,0.97,27.653,19.408,188026.0,137145.0,-1.37,-0.944,64.7,0.071,12.32,11.061,2.96,2.61,-3.772,0.9,0.0,0.0,-0.287,25.91,-0.265,3.04,-2.268
2023-10-05,0.65,2.38,-0.54,0.059,0.056,-2.41,0.734,-2.22,0.629,1.35,1.093,186.25,1.21,15.01,43.31,130285.0,365440.0,0.81,0.707,48.02,0.069,-6.07,-10.328,2.58,7.52,-8.517,1.43,0.261,-0.01,0.239,20.71,0.166,2.93,5.42
2023-10-06,1.17,2.35,-0.37,0.054,0.053,-0.09,0.217,-0.27,0.217,-0.12,-0.063,163.61,1.1,-2.268,-11.59,-22640.0,-140148.0,-0.13,-0.026,41.22,0.046,-0.48,-0.964,1.32,12.12,7.612,0.76,-0.26,0.01,-0.049,14.04,-0.012,1.79,1.404
2023-10-10,1.56,2.31,-0.23,0.07,0.056,0.21,1.156,0.11,1.264,0.39,1.186,231.82,0.97,-4.057,-15.468,-39586.0,-165364.0,0.63,1.087,57.94,0.086,1.43,-9.417,2.04,-8.44,1.214,0.76,-0.261,0.01,-0.289,15.89,-0.317,2.25,1.636
2023-10-11,2.34,2.17,0.05,0.109,0.105,-0.26,1.413,0.05,1.52,0.58,0.422,167.82,0.93,64.797,59.366,606524.0,536494.0,0.52,0.426,45.82,0.096,-3.79,-3.785,1.35,-1.78,-1.964,0.92,0.0,0.0,-0.028,16.21,0.052,2.0,4.711
2023-10-12,2.26,2.18,0.02,0.093,0.105,1.98,0.617,1.76,0.662,0.71,0.297,121.82,0.91,32.345,29.173,498944.0,420145.0,0.43,0.237,33.3,0.084,-5.52,-5.074,1.69,3.03,1.983,0.69,0.0,0.0,0.14,10.62,0.238,1.71,-0.238
2023-10-13,1.6,2.17,-0.17,0.043,0.036,1.21,-0.765,1.27,-0.833,-0.63,-0.719,222.58,1.03,-8.573,3.52,-175019.0,65484.0,-0.62,-0.715,60.42,0.033,3.73,3.794,2.64,-1.99,1.423,0.86,0.0,0.0,0.053,12.23,0.046,1.9,-3.146
2023-10-16,2.08,2.11,-0.01,0.081,0.124,-0.95,-0.559,-0.94,-0.513,-1.23,-1.516,257.69,1.1,-77.699,-76.269,-1450242.0,-1468807.0,-0.5,-0.75,65.13,0.064,15.76,16.878,4.28,0.05,0.878,0.93,0.0,0.0,-0.206,15.99,-0.298,2.5,-2.027
2023-10-17,1.56,2.0,-0.14,0.027,0.038,-0.81,0.735,-0.76,0.745,1.2,0.849,150.88,0.99,75.194,57.66,312992.0,263523.0,1.06,0.72,40.96,0.025,-10.92,-9.895,2.43,1.4,-2.283,1.19,0.0,0.0,-0.109,8.38,-0.058,1.25,0.887
2023-10-18,1.45,1.99,-0.16,0.076,0.051,0.98,-0.33,1.26,-0.315,-0.25,0.849,237.51,1.16,0.401,17.694,2923.0,127496.0,-0.01,0.644,56.03,0.042,3.89,2.7,1.57,4.43,4.435,0.56,0.0,0.0,-0.072,11.33,0.067,2.17,-0.308
2023-10-19,1.38,1.96,-0.18,0.124,0.114,0.1,-1.246,0.45,-1.238,-1.62,-0.933,224.44,1.2,-26.456,-23.508,-193700.0,-199357.0,-1.34,-0.981,60.36,0.12,7.49,4.684,2.27,-3.42,0.284,0.7,0.0,0.0,0.339,12.66,0.284,1.56,-2.2
2023-10-20,0.94,1.89,-0.29,0.097,0.085,-1.9,-1.004,-1.84,-1.026,-0.96,-1.263,247.4,1.18,24.843,22.575,133771.0,146442.0,-0.85,-1.003,69.85,0.08,11.34,8.464,2.85,-0.71,-6.25,0.69,0.0,0.0,-0.45,29.01,-0.274,3.71,5.133
2023-10-23,0.89,1.83,-0.29,0.108,0.144,-1.69,-0.208,-1.49,-0.167,-1.53,-1.322,199.92,1.16,29.02,26.254,195083.0,208758.0,-1.26,-1.163,53.53,0.093,1.45,0.556,1.41,7.0,-1.318,0.93,0.0,0.0,0.512,15.79,0.382,2.3,2.681
2023-10-24,1.5,1.72,-0.07,0.114,0.112,-0.76,0.616,-0.77,0.583,0.27,0.677,294.39,0.84,-11.044,-35.32,-95789.0,-354578.0,-0.17,0.158,66.62,0.117,-6.17,-6.688,3.6,3.25,-0.939,0.57,0.0,0.0,-0.389,23.81,-0.294,2.79,-1.355
2023-10-25,1.12,1.7,-0.18,0.044,0.038,1.12,0.24,0.93,0.261,0.93,0.419,147.54,1.06,38.126,73.751,294151.0,478876.0,0.73,0.281,39.95,0.034,-6.87,-5.292,1.59,1.38,4.255,1.64,0.0,0.0,-0.302,14.72,-0.198,2.01,-1.311
2023-10-26,1.36,1.66,-0.09,0.043,0.07,-0.85,-1.581,-0.61,-1.621,-2.43,-1.677,238.22,1.02,-30.623,-33.126,-326345.0,-373727.0,-1.43,-1.079,51.0,0.034,6.43,4.126,2.38,-4.12,3.204,0.59,0.0,0.0,-0.247,12.42,-0.257,2.15,0.924
2023-10-27,1.4,1.58,-0.06,0.076,0.074,-2.71,0.544,-2.76,0.627,-1.76,-1.358,274.28,1.13,35.867,50.08,265174.0,377837.0,-1.18,-0.928,55.7,0.065,2.43,-5.051,1.74,-1.95,-4.244,1.08,0.0,0.0,-0.111,19.51,-0.156,2.63,4.705
2023-10-30,0.67,1.55,-0.28,0.162,0.159,0.16,-0.455,0.25,-0.493,0.38,-0.595,171.86,1.02,-15.21,-23.639,-152785.0,-267660.0,-0.48,-0.856,52.92,0.158,2.85,4.316,2.35,8.5,4.033,0.93,0.0,0.0,0.244,14.49,0.214,1.82,0.2
2023-10-31,1.25,1.46,-0.07,0.065,0.074,0.34,0.339,0.14,0.498,1.16,0.306,151.4,0.93,13.511,4.079,115078.0,35271.0,1.2,0.663,44.53,0.064,-7.15,-6.531,1.61,-5.84,-5.164,0.58,0.0,0.0,-0.584,25.7,-0.703,4.04,-4.8
2023-11-01,1.54,1.41,0.04,0.054,0.065,-1.41,0.654,-1.1,0.651,0.48,0.505,162.36,1.05,20.809,36.229,201184.0,326032.0,0.65,0.539,42.43,0.074,-8.15,-8.661,1.89,4.96,1.803,1.64,0.0,0.0,-0.246,19.26,-0.207,2.89,3.325
2023-11-02,1.34,1.39,-0.02,0.081,0.082,1.03,1.517,1.36,1.534,1.64,1.353,197.22,0.88,-0.686,-16.616,-8018.0,-203708.0,1.05,0.871,47.9,0.076,-7.0,-6.382,1.79,-7.09,4.309,0.37,0.262,-0.01,0.014,9.66,0.067,1.64,-1.572
2023-11-03,0.99,1.39,-0.13,0.055,0.021,1.81,0.959,1.76,0.892,1.78,0.481,124.54,1.05,-4.062,14.595,-47120.0,149194.0,1.89,1.16,51.46,0.054,-7.17,-5.606,1.04,-4.95,4.179,0.44,0.0,0.0,0.079,16.8,0.035,2.07,-1.354
