,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 전날변동율,kospi 야간변동율,ks200 전날변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,nas 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,snp 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,JNIV 종가변동율,JNIV 전날변동율,JNIV 전날변화량,CD 전날변동율,CD 전날변화량,VKOSPI_Label
2023-04-03,1.67,2.19,-0.16,0.047,-0.096,0.97,0.361,1.25,0.357,1.74,1.582,197.49,1.01,-3.922,-9.261,-29567.0,-74646.0,1.44,1.31,54.57,0.028,-1.68,-2.655,0.91,-0.77,-2.459,0.42,0.0,0.0,0.0
2023-04-04,1.72,2.08,-0.11,0.021,0.05,-0.18,0.143,-0.51,0.184,-0.27,0.357,109.82,1.07,-11.483,-6.262,-83178.0,-45804.0,0.37,0.544,28.87,0.014,-0.8,-6.266,1.29,2.52,1.97,0.42,0.0,0.0,0.0
2023-04-05,1.95,2.06,-0.03,0.063,0.046,0.33,0.085,0.43,0.09,-0.52,-0.673,142.87,1.08,-1.977,-1.047,-12675.0,-7175.0,-0.58,-0.664,46.26,0.035,2.43,1.118,1.45,-3.1,-1.488,1.23,0.0,0.0,1.0
2023-04-06,2.19,2.04,0.05,0.052,0.036,0.59,-0.289,0.56,-0.368,-1.07,-0.703,154.91,1.13,-7.843,-3.435,-49291.0,-23306.0,-0.25,-0.101,27.13,0.024,0.42,-1.751,1.08,6.47,-0.339,0.89,0.0,0.0,1.0
2023-04-07,1.93,1.97,-0.01,0.047,0.048,-1.44,0.789,-1.77,1.092,-1.07,-0.703,154.91,0.96,60.01,36.46,347586.0,238864.0,-0.25,-0.101,27.13,0.037,-3.56,-4.663,1.53,0.57,1.257,0.46,-0.279,0.01,0.0
2023-04-10,1.49,1.97,-0.15,0.037,0.029,1.27,0.051,1.74,-0.028,0.76,1.247,200.14,0.87,23.621,12.024,218916.0,107494.0,0.36,0.585,37.48,0.007,0.0,0.0,0.0,-2.37,0.698,0.47,-1.397,0.05,1.0
2023-04-11,1.57,1.86,-0.09,0.042,0.038,0.87,0.448,0.93,0.496,-0.03,0.912,160.75,0.79,43.844,29.791,502320.0,298358.0,0.1,0.585,36.95,0.028,3.1,-2.166,1.12,-0.92,2.758,0.74,-0.567,0.02,0.0
2023-04-12,1.28,1.83,-0.17,0.036,0.051,1.42,-0.059,1.38,0.003,-0.43,-0.4,79.87,0.82,25.224,29.671,415705.0,385678.0,0.0,-0.033,21.65,0.032,0.69,0.105,0.72,-1.4,-0.118,0.27,-0.855,0.03,1.0
2023-04-13,1.36,1.79,-0.13,0.062,0.044,0.11,-0.625,0.37,-0.611,-0.85,-1.499,217.96,0.84,3.205,6.251,66136.0,105356.0,-0.41,-0.722,47.43,0.033,-0.05,-1.496,1.73,-0.77,-1.411,0.65,-1.437,0.05,0.0
2023-04-14,1.21,1.75,-0.16,0.058,0.054,0.43,0.72,0.3,0.7,1.99,1.407,182.86,0.98,-8.932,5.982,-190239.0,107137.0,1.33,1.126,50.86,0.061,-6.76,-5.47,1.29,-1.67,-1.493,0.38,0.0,0.0,0.0
2023-04-17,1.52,1.72,-0.06,0.063,0.006,0.38,-0.046,0.18,-0.018,-0.35,0.046,179.17,1.04,-73.389,-71.739,-1423478.0,-1361614.0,-0.21,-0.06,49.99,0.029,-4.1,-4.849,1.05,0.67,-1.717,0.69,0.0,0.0,0.0
2023-04-18,1.48,1.63,-0.04,0.047,0.045,0.17,0.245,0.07,0.302,0.28,0.409,94.92,0.8,-14.979,-34.367,-77313.0,-184350.0,0.33,0.342,28.54,0.03,-0.7,-3.584,0.89,-1.45,1.05,0.29,0.0,0.0,0.0
