현재가,거래량,체결시간,시가,고가,저가,전일종가
1.38,3,20231027154500,1.38,1.38,1.38,-0.03
1.38,25,20231027153000,+1.39,+1.39,1.38,
1.38,64,20231027151500,+1.40,+1.40,-1.36,
+1.40,18,20231027150000,1.38,+1.41,-1.37,
-1.37,31,20231027144500,-1.35,1.38,-1.35,
-1.36,57,20231027143000,+1.39,+1.41,-1.35,
1.38,30,20231027141500,-1.37,+1.41,-1.34,
1.38,18,20231027140000,+1.41,+1.42,-1.35,
+1.46,16,20231027134500,+1.46,+1.46,+1.41,
+1.47,38,20231027133000,-1.32,+1.47,-1.32,
-1.33,138,20231027131500,-1.32,-1.37,-1.30,
-1.32,19,20231027130000,-1.36,1.38,-1.32,
-1.36,31,20231027124500,1.38,+1.39,-1.35,
1.38,30,20231027123000,+1.46,+1.46,1.38,
+1.48,83,20231027121500,+1.53,+1.53,+1.46,
+1.56,21,20231027120000,+1.61,+1.63,+1.55,
+1.61,95,20231027114500,+1.67,+1.67,+1.61,
+1.67,26,20231027113000,+1.68,+1.70,+1.67,
+1.65,23,20231027111500,+1.60,+1.68,+1.60,
+1.60,134,20231027110000,+1.55,+1.65,+1.55,
+1.54,56,20231027104500,+1.56,+1.61,+1.52,
+1.56,121,20231027103000,+1.52,+1.59,+1.45,
+1.52,93,20231027101500,+1.46,+1.59,+1.46,
+1.45,32,20231027100000,-1.35,+1.45,-1.35,
-1.35,78,20231027094500,1.38,+1.46,-1.35,
1.38,71,20231027093000,+1.51,+1.53,-1.33,
+1.44,121,20231027091500,+1.61,+1.64,+1.44,
+1.60,127,20231027090000,+1.65,+1.68,+1.54,
+1.67,81,20231027084500,+1.58,+1.70,+1.58,
1.58,28,20231026154500,1.58,1.58,1.58,
+1.62,60,20231026153000,1.58,+1.63,1.58,
+1.61,133,20231026151500,+1.65,+1.65,+1.59,
+1.65,128,20231026150000,+1.70,+1.70,+1.62,
+1.74,55,20231026144500,+1.64,+1.75,+1.63,
+1.63,118,20231026143000,+1.60,+1.66,1.58,
+1.60,78,20231026141500,+1.59,+1.61,-1.57,
+1.59,146,20231026140000,+1.62,+1.66,+1.59,
+1.62,199,20231026134500,+1.64,+1.64,+1.61,
+1.63,130,20231026133000,+1.63,+1.65,+1.59,
+1.60,62,20231026131500,+1.60,+1.65,1.58,
+1.65,53,20231026130000,+1.66,+1.68,+1.65,
+1.65,14,20231026124500,+1.66,+1.70,+1.65,
+1.70,50,20231026123000,+1.68,+1.72,+1.67,
+1.68,179,20231026121500,+1.70,+1.70,+1.65,
+1.68,21,20231026120000,+1.72,+1.72,+1.68,
+1.70,47,20231026114500,+1.76,+1.78,+1.70,
+1.73,46,20231026113000,+1.71,+1.74,+1.71,
+1.73,41,20231026111500,+1.79,+1.79,+1.71,
+1.77,26,20231026110000,+1.86,+1.86,+1.77,
+1.84,72,20231026104500,+2.02,+2.02,+1.82,
+2.06,64,20231026103000,+1.86,+2.06,+1.85,
+1.86,29,20231026101500,+1.90,+1.92,+1.86,
+1.87,14,20231026100000,+1.90,+1.91,+1.87,
+1.87,34,20231026094500,+1.95,+2.00,+1.87,
+2.00,171,20231026093000,+2.05,+2.05,+1.86,
+2.09,51,20231026091500,+2.11,+2.11,+2.04,
+2.18,66,20231026090000,+2.01,+2.18,+1.97,
+2.00,53,20231026084500,+2.02,+2.16,+1.95,
3.07,1,20231025154500,3.07,3.07,3.07,
3.07,1,20231025153000,3.07,3.07,3.07,
+3.09,3,20231025151500,+3.08,+3.09,+3.08,
+3.13,3,20231025150000,+3.14,+3.15,+3.13,
+3.16,15,20231025144500,+3.12,+3.16,+3.12,
+3.19,19,20231025143000,+3.15,+3.22,+3.15,
+3.34,1,20231025141500,+3.34,+3.34,+3.34,
+3.38,1,20231025140000,+3.38,+3.38,+3.38,
+3.28,1,20231025134500,+3.28,+3.28,+3.28,
+3.24,8,20231025133000,+3.24,+3.24,+3.22,
+3.18,8,20231025131500,-3.06,+3.20,-3.06,
+3.14,10,20231025130000,+3.21,+3.21,+3.14,
+3.21,1,20231025123000,+3.21,+3.21,+3.21,
+3.27,1,20231025121500,+3.27,+3.27,+3.27,
+3.56,10,20231025120000,+3.56,+3.56,+3.56,
+3.59,9,20231025111500,+3.55,+3.62,+3.55,
+3.50,26,20231025104500,+3.40,+3.50,+3.40,
+3.33,21,20231025103000,+3.27,+3.34,+3.19,
+3.25,20,20231025101500,+3.44,+3.44,+3.23,
+3.35,3,20231025100000,+3.33,+3.35,+3.30,
+3.38,5,20231025094500,+3.48,+3.48,+3.35,
+3.34,64,20231025093000,+3.60,+3.60,+3.34,
+3.64,13,20231025091500,+3.65,+3.78,+3.51,
+3.74,10,20231025090000,+3.75,+3.82,+3.60,
+3.91,46,20231025084500,+3.93,+4.03,+3.90,
3.76,1,20231024154500,3.76,3.76,3.76,
-3.73,6,20231024153000,-3.74,-3.75,-3.73,
-3.74,14,20231024151500,-3.71,-3.75,-3.70,
-3.73,23,20231024150000,-3.70,-3.75,-3.70,
-3.58,212,20231024144500,-3.70,-3.70,-3.57,
-3.62,18,20231024143000,-3.65,-3.74,-3.62,
-3.51,9,20231024141500,-3.61,-3.61,-3.46,
-3.62,33,20231024140000,-3.25,-3.62,-3.25,
-3.25,57,20231024134500,-3.04,-3.25,-3.04,
-3.07,15,20231024133000,-3.00,-3.08,-3.00,
-2.85,10,20231024131500,-2.82,-2.92,-2.82,
-2.77,16,20231024130000,-2.78,-2.78,-2.70,
-2.77,3,20231024124500,-2.86,-2.87,-2.77,
-2.76,13,20231024123000,-2.72,-2.78,-2.72,
-2.74,20,20231024121500,-2.77,-2.88,-2.74,
-2.81,30,20231024120000,-2.94,-2.94,-2.81,
-2.93,47,20231024114500,-3.13,-3.13,-2.93,
-3.12,78,20231024113000,-3.04,-3.18,-3.04,
-3.02,78,20231024111500,-2.56,-3.02,-2.56,
-2.52,39,20231024110000,-2.34,-2.52,-2.34,
-2.34,63,20231024104500,-2.30,-2.34,-2.23,
-2.24,90,20231024103000,-2.37,-2.39,-2.18,
-2.39,52,20231024101500,-2.81,-2.81,-2.39,
-2.83,48,20231024100000,-2.90,-2.92,-2.79,
-2.92,71,20231024094500,-2.91,-3.01,-2.90,
-2.98,135,20231024093000,-3.16,-3.22,-2.98,
-3.20,39,20231024091500,-3.33,-3.35,-3.12,
-3.28,64,20231024090000,-3.52,-3.52,-3.26,
-3.60,14,20231024084500,-3.45,-3.60,-3.45,
3.23,3,20231023154500,3.23,3.23,3.23,
+3.25,3,20231023153000,+3.26,+3.26,+3.25,
+3.27,16,20231023151500,-3.19,+3.27,-3.19,
-3.18,12,20231023144500,-3.18,-3.20,-3.17,
-3.22,19,20231023143000,-3.21,-3.22,-3.18,
-3.16,1,20231023141500,-3.16,-3.16,-3.16,
+3.24,3,20231023140000,+3.24,+3.24,+3.24,
-3.19,4,20231023134500,-3.15,-3.19,-3.15,
-3.18,37,20231023133000,+3.31,+3.31,-3.14,
+3.30,2,20231023131500,+3.40,+3.40,+3.30,
+3.35,21,20231023130000,+3.26,+3.36,+3.26,
+3.29,16,20231023124500,+3.31,+3.34,+3.29,
+3.31,3,20231023123000,+3.30,+3.31,+3.30,
+3.29,6,20231023121500,+3.28,+3.29,+3.28,
+3.34,14,20231023120000,+3.30,+3.34,+3.30,
+3.29,20,20231023114500,+3.29,+3.32,+3.28,
+3.26,42,20231023113000,+3.38,+3.43,+3.26,
+3.36,14,20231023111500,+3.37,+3.44,+3.36,
+3.59,17,20231023104500,+3.61,+3.71,+3.59,
+3.71,20,20231023103000,+3.73,+3.73,+3.71,
+3.80,1,20231023101500,+3.80,+3.80,+3.80,
+3.67,10,20231023100000,+3.67,+3.67,+3.67,
+3.75,6,20231023094500,+3.68,+3.80,+3.68,
+3.84,4,20231023093000,+3.55,+3.84,+3.55,
+3.41,186,20231023091500,+3.80,+3.80,+3.41,
+3.77,64,20231023090000,+3.75,+3.80,+3.52,
+3.76,27,20231023084500,+3.59,+3.80,+3.59,
3.95,5,20231020154500,3.95,3.95,3.95,
+4.06,27,20231020153000,+4.03,+4.07,+4.00,
+4.00,53,20231020151500,+4.08,+4.08,+4.00,
+4.13,35,20231020150000,+4.09,+4.13,+4.01,
+4.14,31,20231020144500,+4.30,+4.30,+4.05,
+4.26,11,20231020143000,+4.50,+4.50,+4.26,
+4.42,29,20231020141500,+4.39,+4.46,+4.39,
+4.39,4,20231020140000,+4.49,+4.49,+4.38,
+4.55,9,20231020134500,+4.52,+4.55,+4.49,
+4.54,6,20231020133000,+4.50,+4.54,+4.50,
+4.42,30,20231020131500,+4.32,+4.42,+4.31,
+4.32,5,20231020130000,+4.41,+4.41,+4.32,
+4.33,10,20231020124500,+4.33,+4.33,+4.33,
+4.34,6,20231020120000,+4.22,+4.34,+4.22,
+4.17,6,20231020114500,+4.05,+4.18,+4.05,
+4.00,41,20231020113000,-3.94,+4.00,-3.91,
-3.88,1,20231020111500,-3.88,-3.88,-3.88,
3.95,2,20231020110000,-3.94,3.95,-3.94,
+3.97,26,20231020104500,+3.97,+4.06,3.95,
3.95,63,20231020103000,-3.90,+3.97,-3.90,
-3.94,4,20231020101500,-3.90,-3.94,-3.90,
-3.78,31,20231020100000,-3.91,+4.00,-3.78,
-3.85,40,20231020094500,-3.87,-3.92,-3.83,
-3.88,12,20231020093000,-3.85,+4.02,-3.85,
+4.04,24,20231020091500,+4.22,+4.26,+4.02,
+4.27,25,20231020090000,+4.64,+4.72,+4.22,
+4.56,12,20231020084500,+4.49,+4.56,+4.47,
5.49,1,20231019154500,5.49,5.49,5.49,
+5.61,7,20231019153000,+5.62,+5.64,+5.61,
+5.55,3,20231019144500,+5.55,+5.55,+5.55,
+5.56,1,20231019143000,+5.56,+5.56,+5.56,
+5.65,5,20231019141500,+5.77,+5.77,+5.65,
+5.70,3,20231019140000,+5.70,+5.70,+5.70,
+5.61,6,20231019134500,+5.60,+5.61,+5.60,
+5.72,1,20231019133000,+5.72,+5.72,+5.72,
+5.74,2,20231019131500,+5.74,+5.74,+5.74,
+5.70,4,20231019130000,+5.70,+5.70,+5.70,
+5.71,2,20231019124500,+5.68,+5.71,+5.68,
+5.63,3,20231019123000,+5.60,+5.63,+5.60,
+5.55,6,20231019121500,+5.59,+5.59,+5.51,
+5.61,18,20231019120000,+5.65,+5.66,+5.61,
+5.71,29,20231019111500,+5.80,+5.80,+5.70,
+5.94,45,20231019110000,+5.84,+5.95,+5.84,
+5.86,42,20231019104500,+5.90,+5.90,+5.86,
+5.95,1,20231019103000,+5.95,+5.95,+5.95,
+5.90,1,20231019100000,+5.90,+5.90,+5.90,
+5.84,2,20231019093000,+5.84,+5.84,+5.84,
+5.86,3,20231019091500,+5.66,+5.86,+5.65,
+6.08,4,20231019090000,+6.08,+6.08,+6.08,
+6.10,1,20231019084500,+6.10,+6.10,+6.10,
8.00,1,20231018154500,8.00,8.00,8.00,
