,,,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
행사가,,,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
거래일자,풋콜구분,시각,,,,,,,,,,,,,,,,,,,
20230913,PUT,1515,,,,,,,,0.01,0.01,0.04,0.21,0.73,2.0,4.07,6.5,8.96,,,
20230914,CALL,915,,,,,,,,,9.98,7.21,4.66,2.29,0.6,0.06,0.01,0.01,,,
20230914,CALL,1515,,,,,,,,14.95,12.4,9.99,7.64,5.14,2.66,0.38,0.01,0.01,,,
20230914,PUT,915,,,,,,,,0.01,0.01,0.01,0.02,0.18,0.97,2.94,5.33,8.05,,,
20230914,PUT,1515,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.24,2.36,4.88,,,
20230915,CALL,915,,,,,,,,,,12.8,10.55,8.32,6.54,4.97,3.63,2.58,1.74,1.15,
20230915,CALL,1515,,,,,,,,,,15.4,13.15,10.95,9.03,7.12,5.53,4.11,2.96,2.05,
20230915,PUT,915,,,,,,,,,,0.76,1.12,1.64,2.36,3.26,4.43,5.86,7.55,9.01,
20230915,PUT,1515,,,,,,,,,,0.46,0.68,1.0,1.46,2.09,2.94,4.05,5.36,6.99,
20230918,CALL,915,,,,,,,,,,,11.7,10.1,7.6,5.9,4.41,3.17,2.19,1.44,0.91
20230918,CALL,1515,,,,,,,,,,,9.63,7.81,6.1,4.55,3.28,2.28,1.51,0.95,0.57
20230918,PUT,915,,,,,,,,,,,0.96,1.38,1.96,2.74,3.74,5.01,6.52,8.11,9.95
20230918,PUT,1515,,,,,,,,,,,1.27,1.82,2.57,3.55,4.77,6.25,7.99,9.93,12.0
20230919,CALL,915,,,,,,,,,,11.75,9.62,7.64,5.74,4.34,3.07,2.13,1.39,0.87,
20230919,CALL,1515,,,,,,,,,,9.64,7.69,6.0,4.45,3.18,2.18,1.44,0.9,0.54,
20230919,PUT,915,,,,,,,,,,0.9,1.3,1.86,2.63,3.64,4.91,6.42,8.3,10.1,
20230919,PUT,1515,,,,,,,,,,1.25,1.8,2.55,3.53,4.76,6.25,8.02,9.97,12.05,
20230920,CALL,915,,,,,,,,,11.65,9.65,7.68,5.96,4.41,3.15,2.15,1.41,0.88,,
20230920,CALL,1515,,,,,,,,,11.85,9.64,7.75,5.99,4.45,3.17,2.16,1.41,0.88,,
20230920,PUT,915,,,,,,,,,0.82,1.2,1.74,2.48,3.46,4.7,6.2,7.88,10.05,,
20230920,PUT,1515,,,,,,,,,0.79,1.17,1.7,2.43,3.39,4.61,6.09,7.86,9.8,,
20230921,CALL,915,,,,,,,,,9.85,8.2,6.39,4.76,3.43,2.35,1.53,0.95,0.56,,
20230921,CALL,1515,,,,,,,,,7.24,5.53,4.08,2.89,1.96,1.28,0.79,0.48,0.28,,
20230921,PUT,915,,,,,,,,,1.04,1.51,2.18,3.07,4.21,5.63,7.31,9.2,11.3,,
20230921,PUT,1515,,,,,,,,,2.05,2.84,3.88,5.18,6.76,8.55,10.55,12.75,15.0,,
20230922,CALL,915,,,,,,,8.77,6.95,5.35,3.95,2.82,1.93,1.27,0.81,0.49,,,,
20230922,CALL,1515,,,,,,,10.0,8.05,6.3,4.73,3.39,2.33,1.53,0.96,0.58,,,,
20230922,PUT,915,,,,,,,2.01,2.69,3.56,4.69,6.05,7.64,9.35,11.5,13.7,,,,
20230922,PUT,1515,,,,,,,1.23,1.75,2.45,3.36,4.55,5.97,7.69,9.6,11.25,,,,
20230925,CALL,915,,,,,,11.7,9.6,7.11,5.47,3.99,2.77,1.82,1.14,0.66,,,,,
