,,,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
행사가,,,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
거래일자,풋콜구분,시각,,,,,,,,,,,,,,,,,,,
20230811,CALL,915,,,,,,,,,,14.7,12.7,10.75,8.94,7.4,5.91,4.66,3.57,2.66,
20230811,CALL,1530,,,,,,,,,,11.9,10.0,8.31,6.68,5.27,4.09,3.06,2.23,1.58,
20230811,PUT,915,,,,,,,,,,1.43,1.88,2.44,3.13,3.99,5.03,6.25,7.68,9.21,
20230811,PUT,1530,,,,,,,,,,1.89,2.47,3.22,4.1,5.2,6.48,7.94,9.7,11.45,
20230814,CALL,915,,,,,,,,,,11.0,9.16,7.42,5.9,4.6,3.5,2.59,1.86,,
20230814,CALL,1530,,,,,,,,,11.45,9.6,7.81,6.29,4.98,3.82,2.85,2.07,1.46,,
20230814,PUT,915,,,,,,,,,1.67,2.2,2.87,3.7,4.71,5.9,7.29,8.83,10.7,,
20230814,PUT,1530,,,,,,,,,2.0,2.61,3.37,4.33,5.46,6.79,8.3,10.05,12.2,,
20230816,CALL,915,,,,,,,,11.15,9.2,7.63,6.1,4.78,3.64,2.71,1.95,1.37,,,
20230816,CALL,1530,,,,,,,,9.5,7.85,6.24,4.9,3.74,2.78,2.01,1.39,0.94,,,
20230816,PUT,915,,,,,,,,2.18,2.83,3.63,4.61,5.76,7.12,8.68,10.45,12.8,,,
20230816,PUT,1530,,,,,,,,2.82,3.61,4.56,5.71,7.03,8.61,10.3,12.15,14.0,,,
20230817,CALL,915,,,,,,11.1,9.23,7.37,5.91,4.63,3.56,2.64,1.9,1.32,,,,,
20230817,CALL,1530,,,,,,12.55,10.45,8.73,7.03,5.62,4.35,3.27,2.37,1.64,,,,,
20230817,PUT,915,,,,,,2.66,3.39,4.25,5.3,6.51,7.91,9.49,11.1,13.05,,,,,
20230817,PUT,1530,,,,,,1.98,2.55,3.25,4.12,5.15,6.38,7.84,9.43,11.2,,,,,
20230818,CALL,915,,,,,,10.45,8.9,7.38,5.92,4.63,3.54,2.62,1.86,1.28,,,,,
20230818,CALL,1530,,,,,,11.5,9.43,7.69,6.11,4.77,3.62,2.67,1.88,1.28,,,,,
20230818,PUT,915,,,,,,2.77,3.49,4.36,5.38,6.59,7.92,9.55,11.5,13.1,,,,,
20230818,PUT,1530,,,,,,2.34,2.99,3.79,4.71,5.91,7.22,8.67,10.45,12.3,,,,,
20230821,CALL,915,,,,,,12.05,10.1,8.0,6.44,5.02,3.83,2.83,2.01,,,,,,
20230821,CALL,1530,,,,,13.0,11.0,9.21,7.46,5.93,4.58,3.43,2.48,1.71,,,,,,
20230821,PUT,915,,,,,1.55,2.02,2.61,3.36,4.31,5.38,6.67,8.07,9.49,,,,,,
20230821,PUT,1530,,,,,1.61,2.11,2.73,3.51,4.46,5.61,6.93,8.5,10.15,,,,,,
20230822,CALL,915,,,,,15.35,12.8,,8.92,7.23,5.67,4.37,3.22,2.29,,,,,,
20230822,CALL,1530,,,,,13.9,11.95,9.71,8.0,6.28,4.85,3.63,2.61,1.8,,,,,,
20230822,PUT,915,,,,,1.05,1.42,1.89,2.5,3.27,4.22,5.36,6.73,8.5,,,,,,
20230822,PUT,1530,,,,,1.15,1.56,2.09,2.77,3.63,4.7,5.94,7.41,9.1,,,,,,
20230823,CALL,915,,,,,,10.9,8.99,7.37,5.91,4.5,3.32,2.36,1.6,,,,,,
20230823,CALL,1530,,,,,13.2,10.9,8.97,7.27,5.66,4.29,3.13,2.2,1.48,,,,,,
20230823,PUT,915,,,,,1.22,1.65,2.22,2.94,3.81,4.91,6.26,7.76,9.95,,,,,,
20230823,PUT,1530,,,,,1.14,1.57,2.14,2.86,3.79,4.91,6.26,7.7,9.42,,,,,,
20230824,CALL,915,,,,,16.2,14.35,12.2,10.4,8.51,6.65,5.09,3.77,2.68,,,,,,
20230824,CALL,1530,,,,,16.9,14.3,12.0,10.1,8.13,6.38,4.84,3.54,2.48,,,,,,
20230824,PUT,915,,,,,0.49,0.71,1.02,1.45,2.01,2.76,3.7,4.86,6.27,,,,,,
