거래일자,풋콜구분,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
20230915,CALL,,,,,,,,,,2.6,2.6,2.63,2.49,2.15,1.9,1.53,1.22,0.9,
20230915,PUT,,,,,,,,,,-0.3,-0.44,-0.64,-0.9,-1.17,-1.49,-1.81,-2.19,-2.02,
20230918,CALL,,,,,,,,,,,-2.07,-2.29,-1.5,-1.35,-1.13,-0.89,-0.68,-0.49,-0.34
20230918,PUT,,,,,,,,,,,0.31,0.44,0.61,0.81,1.03,1.24,1.47,1.82,2.05
20230919,CALL,,,,,,,,,,-2.11,-1.93,-1.64,-1.29,-1.16,-0.89,-0.69,-0.49,-0.33,
20230919,PUT,,,,,,,,,,0.35,0.5,0.69,0.9,1.12,1.34,1.6,1.67,1.95,
20230920,CALL,,,,,,,,,0.2,-0.01,0.07,0.03,0.04,0.02,0.01,0.0,0.0,,
20230920,PUT,,,,,,,,,-0.03,-0.03,-0.04,-0.05,-0.07,-0.09,-0.11,-0.02,-0.25,,
20230921,CALL,,,,,,,,,-2.61,-2.67,-2.31,-1.87,-1.47,-1.07,-0.74,-0.47,-0.28,,
20230921,PUT,,,,,,,,,1.01,1.33,1.7,2.11,2.55,2.92,3.24,3.55,3.7,,
20230922,CALL,,,,,,,1.23,1.1,0.95,0.78,0.57,0.4,0.26,0.15,0.09,,,,
20230922,PUT,,,,,,,-0.78,-0.94,-1.11,-1.33,-1.5,-1.67,-1.66,-1.9,-2.45,,,,
20230925,CALL,,,,,,-0.05,0.06,0.51,0.37,0.31,0.18,0.11,0.04,0.03,,,,,
20230925,PUT,,,,,,-0.25,-0.33,-0.41,-0.51,-0.63,-0.7,-0.8,-0.95,-0.94,,,,,
20230926,CALL,,,,,,-3.21,-2.43,-1.56,-1.28,-1.03,-0.77,-0.52,-0.33,-0.19,,,,,
20230926,PUT,,,,,,0.36,0.52,0.72,0.97,1.22,1.48,1.73,1.83,2.15,,,,,
20230927,CALL,,,,-0.4,0.6,0.34,0.44,0.35,0.28,0.21,0.14,0.09,,,,,,,
20230927,PUT,,,,-0.15,-0.18,-0.25,-0.32,-0.39,-0.49,-0.56,-0.6,-0.74,,,,,,,
20231004,CALL,,,,-0.88,-0.87,-0.73,-0.59,-0.42,-0.28,-0.16,-0.08,-0.04,,,,,,,
20231004,PUT,,,,0.23,0.34,0.47,0.6,0.8,0.84,0.85,1.15,1.35,,,,,,,
20231005,CALL,-0.6,-1.15,-1.33,-0.97,-0.88,-0.73,-0.55,-0.39,-0.23,,,,,,,,,,
20231005,PUT,0.03,0.07,0.1,0.16,0.25,0.39,0.54,0.78,0.86,,,,,,,,,,
20231006,CALL,-0.35,-0.95,-0.36,-0.51,-0.46,-0.36,-0.24,-0.14,-0.06,,,,,,,,,,
20231006,PUT,0.0,0.01,0.04,0.08,0.15,0.25,0.36,0.43,0.35,,,,,,,,,,
20231010,CALL,,-3.25,,-2.69,-2.69,-2.52,-2.03,-1.86,-1.57,,,,,,,,,,
20231010,PUT,0.78,0.95,1.18,1.4,1.64,1.91,2.19,2.27,2.82,,,,,,,,,,
20231011,CALL,,,,0.2,-0.3,-0.24,-0.23,-0.06,-0.02,,,,,,,,,,
20231011,PUT,0.09,0.11,0.13,0.14,0.2,0.2,0.2,0.28,0.28,,,,,,,,,,
