,,,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
행사가,,,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
거래일자,풋콜구분,시각,,,,,,,,,,,,,,,,,,,
20230913,PUT,1530,,,,,,,,0.01,0.01,0.04,0.21,0.74,2.02,4.08,6.44,9.03,,,
20230914,CALL,915,,,,,,,,,9.98,7.21,4.66,2.29,0.6,0.06,0.01,0.01,,,
20230914,CALL,1515,,,,,,,,14.95,12.4,9.99,7.64,5.14,2.66,0.38,0.01,0.01,,,
20230914,PUT,915,,,,,,,,0.01,0.01,0.01,0.02,0.18,0.97,2.94,5.33,8.05,,,
20230914,PUT,1515,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.24,2.36,4.88,,,
20230915,CALL,915,,,,,,,,,,12.8,10.55,8.32,6.54,4.97,3.63,2.58,1.74,1.15,
20230915,CALL,1515,,,,,,,,,,15.4,13.15,10.95,9.03,7.12,5.53,4.11,2.96,2.05,
20230915,CALL,1530,,,,,,,,,,15.15,13.05,10.75,8.95,7.05,5.42,4.01,2.85,1.97,
20230915,PUT,915,,,,,,,,,,0.76,1.12,1.64,2.36,3.26,4.43,5.86,7.55,9.01,
20230915,PUT,1515,,,,,,,,,,0.46,0.68,1.0,1.46,2.09,2.94,4.05,5.36,6.99,
20230915,PUT,1530,,,,,,,,,,0.48,0.7,1.02,1.49,2.12,2.98,4.06,5.36,7.01,
20230918,CALL,915,,,,,,,,,,,11.7,10.1,7.6,5.9,4.41,3.17,2.19,1.44,0.91
20230918,CALL,1515,,,,,,,,,,,9.63,7.81,6.1,4.55,3.28,2.28,1.51,0.95,0.57
20230918,CALL,1530,,,,,,,,,,,9.63,7.75,6.02,4.52,3.25,2.25,1.48,0.93,0.57
20230918,PUT,915,,,,,,,,,,,0.96,1.38,1.96,2.74,3.74,5.01,6.52,8.11,9.95
20230918,PUT,1515,,,,,,,,,,,1.27,1.82,2.57,3.55,4.77,6.25,7.99,9.93,12.0
20230918,PUT,1530,,,,,,,,,,,1.3,1.86,2.61,3.6,4.83,6.32,7.98,9.9,12.05
20230919,CALL,915,,,,,,,,,,11.75,9.62,7.64,5.74,4.34,3.07,2.13,1.39,0.87,
20230919,CALL,1515,,,,,,,,,,9.64,7.69,6.0,4.45,3.18,2.18,1.44,0.9,0.54,
20230919,CALL,1530,,,,,,,,,,9.59,7.66,5.93,4.41,3.16,2.17,1.43,0.9,0.55,
20230919,PUT,915,,,,,,,,,,0.9,1.3,1.86,2.63,3.64,4.91,6.42,8.3,10.1,
20230919,PUT,1515,,,,,,,,,,1.25,1.8,2.55,3.53,4.76,6.25,8.02,9.97,12.05,
20230919,PUT,1530,,,,,,,,,,1.25,1.79,2.53,3.52,4.76,6.27,8.07,10.05,12.4,
20230920,CALL,915,,,,,,,,,11.65,9.65,7.68,5.96,4.41,3.15,2.15,1.41,0.88,,
20230920,CALL,1515,,,,,,,,,11.85,9.64,7.75,5.99,4.45,3.17,2.16,1.41,0.88,,
20230920,CALL,1530,,,,,,,,,11.75,9.56,7.68,5.92,4.4,3.13,2.14,1.39,0.86,,
20230920,PUT,915,,,,,,,,,0.82,1.2,1.74,2.48,3.46,4.7,6.2,7.88,10.05,,
20230920,PUT,1515,,,,,,,,,0.79,1.17,1.7,2.43,3.39,4.61,6.09,7.86,9.8,,
20230920,PUT,1530,,,,,,,,,0.8,1.17,1.7,2.43,3.38,4.62,6.13,7.92,9.81,,
20230921,CALL,915,,,,,,,,,9.85,8.2,6.39,4.76,3.43,2.35,1.53,0.95,0.56,,
20230921,CALL,1515,,,,,,,,,7.24,5.53,4.08,2.89,1.96,1.28,0.79,0.48,0.28,,
20230921,CALL,1530,,,,,,,,,7.21,5.48,4.02,2.85,1.93,1.26,0.78,0.47,0.28,,
20230921,PUT,915,,,,,,,,,1.04,1.51,2.18,3.07,4.21,5.63,7.31,9.2,11.3,,
20230921,PUT,1515,,,,,,,,,2.05,2.84,3.88,5.18,6.76,8.55,10.55,12.75,15.0,,
20230921,PUT,1530,,,,,,,,,2.07,2.88,3.94,5.25,6.82,8.64,10.6,12.8,15.1,,
20230922,CALL,915,,,,,,,8.77,6.95,5.35,3.95,2.82,1.93,1.27,0.81,0.49,,,,
20230922,CALL,1515,,,,,,,10.0,8.05,6.3,4.73,3.39,2.33,1.53,0.96,0.58,,,,
20230922,CALL,1530,,,,,,,10.05,8.15,6.36,4.78,3.45,2.37,1.56,0.98,0.59,,,,
20230922,PUT,915,,,,,,,2.01,2.69,3.56,4.69,6.05,7.64,9.35,11.5,13.7,,,,
20230922,PUT,1515,,,,,,,1.23,1.75,2.45,3.36,4.55,5.97,7.69,9.6,11.25,,,,
20230922,PUT,1530,,,,,,,1.18,1.68,2.38,3.26,4.41,5.83,7.51,9.45,11.65,,,,
20230925,CALL,915,,,,,,11.7,9.6,7.11,5.47,3.99,2.77,1.82,1.14,0.66,,,,,
20230925,CALL,1515,,,,,,11.65,9.66,7.62,5.84,4.3,2.95,1.93,1.18,0.69,,,,,
20230925,CALL,1530,,,,,,11.65,9.87,7.79,5.94,4.34,3.01,1.97,1.21,0.7,,,,,
20230925,PUT,915,,,,,,0.91,1.31,1.88,2.64,3.67,4.95,6.5,8.4,10.35,,,,,
20230925,PUT,1515,,,,,,0.66,0.98,1.47,2.13,3.04,4.25,5.7,7.45,9.41,,,,,
20230925,PUT,1530,,,,,,0.63,0.96,1.42,2.08,2.96,4.14,5.61,7.35,9.37,,,,,
20230926,CALL,915,,,,,,11.65,8.94,6.3,4.6,3.23,2.14,1.33,0.78,0.43,,,,,
20230926,CALL,1515,,,,,,8.44,6.51,4.74,3.32,2.2,1.37,0.81,0.45,0.24,,,,,
20230926,CALL,1530,,,,,,8.28,6.39,4.72,3.35,2.23,1.39,0.82,0.45,0.23,,,,,
20230926,PUT,915,,,,,,0.89,1.33,1.96,2.8,3.92,5.33,7.02,8.97,11.0,,,,,
20230926,PUT,1515,,,,,,1.25,1.85,2.68,3.77,5.14,6.81,8.75,10.8,13.15,,,,,
20230926,PUT,1530,,,,,,1.23,1.82,2.64,3.73,5.12,6.78,8.73,10.85,13.2,,,,,
20230927,CALL,915,,,,12.2,9.7,8.19,6.28,4.61,3.21,2.11,1.31,0.75,,,,,,,
20230927,CALL,1515,,,,11.8,10.3,8.53,6.72,4.96,3.49,2.32,1.45,0.84,,,,,,,
20230927,CALL,1530,,,,12.6,10.4,8.32,6.37,4.68,3.31,2.17,1.34,0.78,,,,,,,
20230927,PUT,915,,,,0.61,0.9,1.34,1.97,2.82,3.94,5.34,7.0,9.0,,,,,,,
20230927,PUT,1515,,,,0.46,0.72,1.09,1.65,2.43,3.45,4.78,6.4,8.26,,,,,,,
20230927,PUT,1530,,,,0.52,0.79,1.21,1.79,2.62,3.69,5.09,6.76,8.7,,,,,,,
20231004,CALL,915,,,,6.64,4.96,3.45,2.26,1.37,0.77,0.39,0.19,0.09,,,,,,,
20231004,CALL,1515,,,,5.76,4.09,2.72,1.67,0.95,0.49,0.23,0.11,0.05,,,,,,,
20231004,CALL,1530,,,,5.67,4.01,2.66,1.62,0.9,0.45,0.21,0.1,0.05,,,,,,,
20231004,PUT,915,,,,1.47,2.19,3.19,4.5,6.08,7.99,10.25,12.4,14.55,,,,,,,
20231004,PUT,1515,,,,1.7,2.53,3.66,5.1,6.88,8.83,11.1,13.55,15.9,,,,,,,
20231004,PUT,1530,,,,1.77,2.61,3.75,5.17,6.99,8.95,11.2,13.65,15.95,,,,,,,
20231005,CALL,915,13.9,10.5,8.53,6.24,4.47,2.97,1.79,0.99,0.48,,,,,,,,,,
20231005,CALL,1515,13.3,9.35,7.2,5.27,3.59,2.24,1.24,0.6,0.25,,,,,,,,,,
20231005,CALL,1530,11.55,9.2,7.1,5.16,3.47,2.14,1.18,0.56,0.23,,,,,,,,,,
20231005,PUT,915,0.24,0.41,0.71,1.17,1.87,2.87,4.21,5.89,7.91,,,,,,,,,,
20231005,PUT,1515,0.27,0.48,0.81,1.33,2.12,3.26,4.75,6.67,8.77,,,,,,,,,,
20231005,PUT,1530,0.28,0.5,0.84,1.38,2.21,3.36,4.89,6.82,8.9,,,,,,,,,,
20231006,CALL,915,12.55,10.65,7.82,5.87,4.06,2.56,1.43,0.69,0.27,,,,,,,,,,
20231006,CALL,1515,12.2,9.7,7.46,5.36,3.6,2.2,1.19,0.55,0.21,,,,,,,,,,
20231006,CALL,1530,12.2,9.43,7.17,5.26,3.5,2.13,1.15,0.55,0.23,,,,,,,,,,
20231006,PUT,915,0.17,0.31,0.56,0.98,1.64,2.63,4.01,5.77,7.96,,,,,,,,,,
20231006,PUT,1515,0.17,0.32,0.6,1.06,1.79,2.88,4.37,6.2,8.31,,,,,,,,,,
20231006,PUT,1530,0.2,0.36,0.65,1.14,1.9,3.03,4.55,6.43,8.58,,,,,,,,,,
20231010,CALL,915,15.55,14.3,11.75,9.37,6.9,4.75,2.9,1.51,0.64,,,,,,,,,,
20231010,CALL,1515,13.25,9.93,7.52,5.32,3.31,1.77,0.77,0.27,0.08,,,,,,,,,,
20231010,CALL,1530,12.55,9.79,7.45,5.17,3.23,1.73,0.74,0.25,0.07,,,,,,,,,,
20231010,PUT,915,0.02,0.04,0.05,0.12,0.27,0.62,1.27,2.39,3.97,,,,,,,,,,
20231010,PUT,1515,0.04,0.08,0.2,0.45,0.98,1.95,3.45,5.45,7.75,,,,,,,,,,
20231010,PUT,1530,0.05,0.09,0.21,0.49,1.05,2.03,3.57,5.58,7.85,,,,,,,,,,
20231011,CALL,915,17.2,15.45,12.8,10.25,7.75,5.4,3.19,1.49,0.48,,,,,,,,,,
20231011,CALL,1515,17.5,15.15,12.1,9.9,7.48,5.07,2.89,1.23,0.35,,,,,,,,,,
20231011,CALL,1530,17.5,14.75,12.1,9.75,7.38,4.93,2.77,1.15,0.33,,,,,,,,,,
20231011,PUT,915,0.01,0.01,0.02,0.03,0.06,0.16,0.47,1.27,2.75,,,,,,,,,,
20231011,PUT,1515,0.01,0.01,0.01,0.02,0.05,0.15,0.48,1.32,2.95,,,,,,,,,,
20231011,PUT,1530,0.01,0.01,0.01,0.02,0.04,0.15,0.5,1.38,3.06,,,,,,,,,,
20231012,CALL,915,,,15.45,13.0,9.88,7.36,4.9,2.59,0.77,0.09,0.01,,,,,,,,
20231012,CALL,1515,,,14.8,13.5,10.9,8.75,6.28,3.81,1.36,0.07,0.01,,,,,,,,
20231012,PUT,915,,,0.01,0.01,0.01,0.01,0.03,0.21,0.9,2.72,5.15,,,,,,,,
20231012,PUT,1515,,,0.01,0.01,0.01,0.01,0.01,0.01,0.07,1.28,3.72,,,,,,,,
20231013,CALL,915,,,,,11.5,9.89,8.46,6.87,5.47,4.26,3.21,2.36,1.68,,,,,,
20231013,CALL,1515,,,,,11.25,9.42,7.67,6.15,4.82,3.68,2.72,1.96,1.36,,,,,,
20231013,CALL,1530,,,,,11.25,9.38,7.68,6.15,4.8,3.68,2.73,1.95,1.35,,,,,,
20231013,PUT,915,,,,,2.05,2.64,3.38,4.26,5.37,6.61,8.12,9.71,12.5,,,,,,
20231013,PUT,1515,,,,,2.29,2.94,3.75,4.72,5.87,7.24,8.76,10.45,12.35,,,,,,
20231013,PUT,1530,,,,,2.29,2.93,3.76,4.7,5.85,7.16,8.78,10.5,12.35,,,,,,
20231016,CALL,915,,,,12.25,10.7,9.23,7.42,5.78,4.47,3.35,2.44,1.71,,,,,,,
20231016,CALL,1515,,,,11.45,9.47,7.78,6.24,4.86,3.7,2.72,1.94,1.33,,,,,,,
20231016,CALL,1530,,,,11.35,9.47,7.76,6.24,4.88,3.7,2.72,1.92,1.31,,,,,,,
20231016,PUT,915,,,,1.87,2.42,3.1,3.93,4.94,6.09,7.47,9.07,10.8,,,,,,,
20231016,PUT,1515,,,,2.33,2.97,3.76,4.72,5.85,7.19,8.56,10.8,12.1,,,,,,,
20231016,PUT,1530,,,,2.3,2.94,3.73,4.66,5.78,7.1,8.59,10.25,12.25,,,,,,,
20231017,CALL,915,,,14.9,13.1,11.25,9.19,7.36,5.89,4.54,3.39,2.45,,,,,,,,
20231017,CALL,1515,,,16.35,14.8,12.5,10.5,8.53,6.83,5.35,4.05,2.98,,,,,,,,
20231017,CALL,1530,,,16.35,14.2,12.1,10.2,8.31,6.69,5.18,3.92,2.85,,,,,,,,
20231017,PUT,915,,,1.15,1.53,2.03,2.65,3.42,4.38,5.54,6.91,8.31,,,,,,,,
20231017,PUT,1515,,,0.87,1.17,1.57,2.08,2.73,3.55,4.56,5.76,7.16,,,,,,,,
20231017,PUT,1530,,,0.92,1.24,1.65,2.19,2.87,3.71,4.73,5.97,7.46,,,,,,,,
20231018,CALL,915,,,,13.7,11.85,9.85,7.96,6.24,4.84,3.63,2.63,1.82,,,,,,,
20231018,CALL,1515,,,,15.35,13.2,11.15,9.19,7.42,5.83,4.47,3.29,2.34,,,,,,,
20231018,CALL,1530,,,,15.35,13.2,11.05,9.15,7.4,5.8,4.44,3.25,2.32,,,,,,,
20231018,PUT,915,,,,1.35,1.8,2.37,3.09,3.96,5.05,6.35,7.4,9.08,,,,,,,
20231018,PUT,1515,,,,0.99,1.35,1.8,2.38,3.12,4.03,5.15,6.48,7.96,,,,,,,
20231018,PUT,1530,,,,1.03,1.37,1.83,2.41,3.15,4.08,5.17,6.53,8.07,,,,,,,
