,날짜,야간 변동률
0,2023-04-10,0.029
1,2023-04-11,0.038
2,2023-04-12,0.051
3,2023-04-13,0.044
4,2023-04-14,0.054
5,2023-04-17,0.006
6,2023-04-18,0.045
7,2023-04-19,0.046
8,2023-04-20,0.048
9,2023-04-21,0.04
10,2023-04-24,0.141
11,2023-04-25,0.042
12,2023-04-26,0.04
13,2023-04-27,0.035
14,2023-04-28,0.048
15,2023-05-01,0.041
16,2023-05-02,0.078
17,2023-05-03,0.036
18,2023-05-04,0.069
19,2023-05-05,0.039
20,2023-05-08,0.062
21,2023-05-09,0.072
22,2023-05-10,0.046
23,2023-05-11,0.04
24,2023-05-12,0.033
25,2023-05-15,0.102
26,2023-05-16,0.031
27,2023-05-17,0.043
28,2023-05-18,0.047
29,2023-05-19,0.029
30,2023-05-22,-0.032
31,2023-05-23,0.035
32,2023-05-24,0.075
33,2023-05-25,0.034
34,2023-05-26,0.004
35,2023-05-29,0.033
36,2023-05-30,0.075
37,2023-05-31,0.041
38,2023-06-01,0.049
39,2023-06-02,0.09
40,2023-06-05,-0.011
41,2023-06-06,0.063
42,2023-06-07,0.037
43,2023-06-08,0.041
44,2023-06-09,0.1
45,2023-06-12,0.003
46,2023-06-13,0.029
47,2023-06-14,0.037
48,2023-06-15,0.033
49,2023-06-16,0.06
50,2023-06-19,0.111
51,2023-06-20,0.085
52,2023-06-21,0.051
53,2023-06-22,0.035
54,2023-06-23,0.034
55,2023-06-26,0.132
56,2023-06-27,0.045
57,2023-06-28,0.027
58,2023-06-29,0.05
59,2023-06-30,0.055
60,2023-07-03,0.08
61,2023-07-04,0.049
62,2023-07-05,0.039
63,2023-07-06,0.036
64,2023-07-07,0.036
65,2023-07-10,-0.032
66,2023-07-11,0.042
67,2023-07-12,0.049
68,2023-07-13,0.027
69,2023-07-14,0.045
70,2023-07-17,0.083
71,2023-07-18,0.057
72,2023-07-19,0.033
73,2023-07-20,0.09
74,2023-07-21,0.086
75,2023-07-24,0.13
76,2023-07-25,0.044
77,2023-07-26,0.021
78,2023-07-27,0.058
79,2023-07-28,0.041
80,2023-07-31,0.162
81,2023-08-01,0.043
82,2023-08-02,0.036
83,2023-08-03,0.045
84,2023-08-04,0.089
85,2023-08-07,0.024
86,2023-08-08,0.078
87,2023-08-09,0.044
88,2023-08-10,0.039
89,2023-08-11,0.052
90,2023-08-14,0.027
91,2023-08-15,0.016
92,2023-08-16,0.041
93,2023-08-17,0.081
94,2023-08-18,0.029
95,2023-08-21,0.126
96,2023-08-22,0.122
97,2023-08-23,0.081
98,2023-08-24,0.123
99,2023-08-25,0.088
100,2023-08-28,0.086
101,2023-08-29,0.03
102,2023-08-30,0.044
103,2023-08-31,0.033
104,2023-09-01,0.034
105,2023-09-04,0.11
106,2023-09-05,0.088
107,2023-09-06,0.064
108,2023-09-07,0.079
109,2023-09-08,0.103
110,2023-09-11,0.657
111,2023-09-12,0.074
112,2023-09-13,0.07
113,2023-09-14,0.109
114,2023-09-15,0.034
115,2023-09-18,0.15
116,2023-09-19,0.046
117,2023-09-20,0.031
118,2023-09-21,0.031
119,2023-09-22,0.053
120,2023-09-25,0.125
121,2023-09-26,0.09
122,2023-09-27,0.112
123,2023-09-28,0.103
124,2023-09-29,0.087
125,2023-10-02,-0.014
126,2023-10-03,0.104
127,2023-10-04,0.078
128,2023-10-05,0.056
129,2023-10-06,0.053
