현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
-237922,26679,20231025103000,-237320,+238011,-237029,,,,
-237341,33553,20231025100000,+237675,+237901,+237271,,,,
-237676,67237,20231025093000,+238312,+238392,+237518,,,,
+238397,83706,20231025090000,+238923,+238990,-237937,,,,
+238351,14337,20231024153000,+238395,+238401,+238337,,,,
+238395,19997,20231024150000,+237872,+238414,+237794,,,,
+237860,25691,20231024143000,+237772,+238258,+237700,,,,
+237841,36852,20231024140000,+236808,+237971,+236733,,,,
+236753,32347,20231024133000,-235605,+236801,-235581,,,,
-235625,24533,20231024130000,-235304,+235817,-234913,,,,
-235195,24411,20231024123000,+234810,+235411,+234810,,,,
-234887,26163,20231024120000,+235334,+235376,+234835,,,,
-235337,18643,20231024113000,+235567,+235953,+235337,,,,
-235583,24899,20231024110000,-233389,+235588,-233389,,,,
-233496,36926,20231024103000,+233355,+233496,+232667,,,,
-233347,40064,20231024100000,+235220,+235274,+233347,,,,
-235200,42335,20231024093000,+236127,+236290,+235055,,,,
+236118,76967,20231024090000,+237155,+237436,-235700,,,,
-235702,20443,20231023153000,+235694,+235702,+235690,,,,
-235694,25018,20231023150000,+235646,+235949,+235470,,,,
-235661,30660,20231023143000,+235846,+235871,+235504,,,,
-235840,23547,20231023140000,+235706,+236030,+235575,,,,
-235829,19602,20231023133000,+236304,+236399,+235693,,,,
-236371,16218,20231023130000,+236118,+236737,+236089,,,,
-236179,16442,20231023123000,+236384,+236491,+236096,,,,
-236366,17972,20231023120000,+236255,+236479,+236103,,,,
-236221,25307,20231023113000,+236608,+236730,+236221,,,,
-236668,24947,20231023110000,+237264,+237318,+236519,,,,
-237303,25009,20231023103000,+237329,+237526,-237024,,,,
-237249,28598,20231023100000,+237332,+237576,-236836,,,,
-237421,35285,20231023093000,-236233,+237482,-236149,,,,
-236212,86882,20231023090000,+237007,+237579,+236000,,,,
-237500,28174,20231020153000,+237475,+237529,+237434,,,,
-237475,26988,20231020150000,+237538,+237758,+237354,,,,
-237561,30949,20231020143000,+238654,+238667,+237415,,,,
-238609,24638,20231020140000,+238899,+238923,+238384,,,,
-238837,30438,20231020133000,+238437,+239099,+238437,,,,
-238522,21187,20231020130000,+238177,+238553,+238130,,,,
-238252,18052,20231020123000,+237967,+238373,+237750,,,,
-237975,25300,20231020120000,+237874,+238179,+237832,,,,
-237952,37226,20231020113000,+236898,+237992,+236790,,,,
-236906,23409,20231020110000,+236956,+237260,+236773,,,,
-237071,29391,20231020103000,+237103,+237197,+236800,,,,
-237109,49769,20231020100000,+236813,+237246,+236401,,,,
-236794,54235,20231020093000,+237896,+237927,+236566,,,,
-237864,121452,20231020090000,+239154,+239467,+237490,,,,
-241580,31993,20231019153000,+241655,+241658,+241571,,,,
-241655,38352,20231019150000,+241665,+241731,+241395,,,,
-241595,47953,20231019143000,+241679,+241794,+241457,,,,
-241612,44459,20231019140000,+241832,+241957,+241581,,,,
-241808,28947,20231019133000,+241743,+241904,+241473,,,,
-241756,35125,20231019130000,+241897,+241999,+241716,,,,
-241829,35932,20231019123000,+241436,+241928,+241367,,,,
-241363,32823,20231019120000,+241743,+241938,+241255,,,,
-241776,32836,20231019113000,+242090,+242122,+241695,,,,
-242007,54056,20231019110000,+242354,+242581,+242004,,,,
-242424,76279,20231019103000,+243210,+243345,+242307,,,,
-243146,57479,20231019100000,+243116,+243269,+242527,,,,
-243117,69449,20231019093000,+242322,+243274,+242254,,,,
-242295,171264,20231019090000,+243192,+243192,+242008,,,,
+246260,37677,20231018153000,+246281,+246281,+246184,,,,
+246281,46530,20231018150000,+246195,+246436,+246052,,,,
+246183,58724,20231018143000,-245747,+246246,-245747,,,,
-245805,76074,20231018140000,+246177,+246177,+245759,,,,
+246083,43154,20231018133000,+246060,+246379,-246014,,,,
+246096,46094,20231018130000,+246312,+246372,-245939,,,,
+246248,55157,20231018123000,+246292,+246325,+246119,,,,
+246321,82164,20231018120000,+246302,+246533,+246180,,,,
+246346,102843,20231018113000,+246128,+246346,-245809,,,,
+246210,95274,20231018110000,-245614,+246397,-245614,,,,
-245568,33536,20231018103000,+246011,+246142,+245568,,,,
-245930,44010,20231018100000,-245534,+246016,-245272,,,,
-245549,65234,20231018093000,+245757,+246211,+245549,,,,
