,거래일자,종목코드,종목명,시각,만기월,풋콜구분,행사가,결제월번호,시가,고가,저가,종가
0,20230905,KR4201TA3300,코스피200 C 202310 330.0,902,202310,CALL,330.0,2,12.0,12.0,12.0,12.0
1,20230905,KR4201TA3300,코스피200 C 202310 330.0,905,202310,CALL,330.0,2,12.4,12.4,12.4,12.4
2,20230905,KR4201TA3300,코스피200 C 202310 330.0,908,202310,CALL,330.0,2,12.0,12.0,12.0,12.0
3,20230905,KR4201TA3300,코스피200 C 202310 330.0,909,202310,CALL,330.0,2,11.75,11.75,11.75,11.75
4,20230905,KR4201TA3300,코스피200 C 202310 330.0,911,202310,CALL,330.0,2,11.8,11.8,11.8,11.8
5,20230905,KR4201TA3300,코스피200 C 202310 330.0,915,202310,CALL,330.0,2,12.0,12.0,12.0,12.0
6,20230905,KR4201TA3300,코스피200 C 202310 330.0,922,202310,CALL,330.0,2,12.2,12.2,12.2,12.2
7,20230905,KR4201TA3300,코스피200 C 202310 330.0,923,202310,CALL,330.0,2,12.1,12.1,12.1,12.1
8,20230905,KR4201TA3300,코스피200 C 202310 330.0,931,202310,CALL,330.0,2,11.9,12.0,11.9,12.0
9,20230905,KR4201TA3300,코스피200 C 202310 330.0,932,202310,CALL,330.0,2,12.05,12.1,12.05,12.1
10,20230905,KR4201TA3300,코스피200 C 202310 330.0,935,202310,CALL,330.0,2,11.85,11.9,11.85,11.9
11,20230905,KR4201TA3300,코스피200 C 202310 330.0,937,202310,CALL,330.0,2,11.75,11.75,11.75,11.75
12,20230905,KR4201TA3300,코스피200 C 202310 330.0,939,202310,CALL,330.0,2,11.65,11.7,11.65,11.7
13,20230905,KR4201TA3300,코스피200 C 202310 330.0,941,202310,CALL,330.0,2,11.65,11.65,11.65,11.65
14,20230905,KR4201TA3300,코스피200 C 202310 330.0,942,202310,CALL,330.0,2,11.7,11.7,11.7,11.7
15,20230905,KR4201TA3300,코스피200 C 202310 330.0,944,202310,CALL,330.0,2,11.5,11.5,11.5,11.5
16,20230905,KR4201TA3300,코스피200 C 202310 330.0,951,202310,CALL,330.0,2,11.35,11.35,11.35,11.35
17,20230905,KR4201TA3300,코스피200 C 202310 330.0,953,202310,CALL,330.0,2,11.3,11.3,11.3,11.3
18,20230905,KR4201TA3300,코스피200 C 202310 330.0,1001,202310,CALL,330.0,2,11.25,11.3,11.25,11.3
19,20230905,KR4201TA3300,코스피200 C 202310 330.0,1031,202310,CALL,330.0,2,11.75,11.75,11.75,11.75
20,20230905,KR4201TA3300,코스피200 C 202310 330.0,1051,202310,CALL,330.0,2,11.25,11.25,11.25,11.25
21,20230905,KR4201TA3300,코스피200 C 202310 330.0,1102,202310,CALL,330.0,2,11.5,11.5,11.25,11.25
22,20230905,KR4201TA3300,코스피200 C 202310 330.0,1222,202310,CALL,330.0,2,11.75,11.75,11.75,11.75
23,20230905,KR4201TA3300,코스피200 C 202310 330.0,1227,202310,CALL,330.0,2,11.8,11.8,11.8,11.8
24,20230905,KR4201TA3300,코스피200 C 202310 330.0,1237,202310,CALL,330.0,2,12.0,12.0,12.0,12.0
25,20230905,KR4201TA3300,코스피200 C 202310 330.0,1320,202310,CALL,330.0,2,12.0,12.0,12.0,12.0
26,20230905,KR4201TA3300,코스피200 C 202310 330.0,1321,202310,CALL,330.0,2,12.0,12.0,12.0,12.0
27,20230905,KR4201TA3300,코스피200 C 202310 330.0,1334,202310,CALL,330.0,2,12.25,12.25,12.25,12.25
28,20230905,KR4201TA3300,코스피200 C 202310 330.0,1337,202310,CALL,330.0,2,12.3,12.3,12.3,12.3
29,20230905,KR4201TA3300,코스피200 C 202310 330.0,1341,202310,CALL,330.0,2,12.1,12.1,12.1,12.1
30,20230905,KR4201TA3300,코스피200 C 202310 330.0,1342,202310,CALL,330.0,2,12.15,12.15,12.15,12.15
31,20230905,KR4201TA3300,코스피200 C 202310 330.0,1347,202310,CALL,330.0,2,12.0,12.0,12.0,12.0
32,20230905,KR4201TA3300,코스피200 C 202310 330.0,1348,202310,CALL,330.0,2,11.9,11.9,11.9,11.9
33,20230905,KR4201TA3300,코스피200 C 202310 330.0,1349,202310,CALL,330.0,2,11.95,11.95,11.95,11.95
34,20230905,KR4201TA3300,코스피200 C 202310 330.0,1350,202310,CALL,330.0,2,12.0,12.0,12.0,12.0
35,20230905,KR4201TA3300,코스피200 C 202310 330.0,1354,202310,CALL,330.0,2,11.95,11.95,11.95,11.95
36,20230905,KR4201TA3300,코스피200 C 202310 330.0,1355,202310,CALL,330.0,2,11.9,11.9,11.9,11.9
37,20230905,KR4201TA3300,코스피200 C 202310 330.0,1356,202310,CALL,330.0,2,11.95,11.95,11.95,11.95
38,20230905,KR4201TA3300,코스피200 C 202310 330.0,1359,202310,CALL,330.0,2,11.9,11.9,11.9,11.9
39,20230905,KR4201TA3300,코스피200 C 202310 330.0,1439,202310,CALL,330.0,2,11.25,11.5,11.25,11.5
40,20230905,KR4301TA3309,코스피200 P 202310 330.0,735,202310,PUT,330.0,2,,,,
41,20230905,KR4301TA3309,코스피200 P 202310 330.0,740,202310,PUT,330.0,2,,,,
42,20230905,KR4301TA3309,코스피200 P 202310 330.0,847,202310,PUT,330.0,2,1.7,1.7,1.7,1.7
43,20230905,KR4301TA3309,코스피200 P 202310 330.0,848,202310,PUT,330.0,2,1.7,1.7,1.7,1.7
44,20230905,KR4301TA3309,코스피200 P 202310 330.0,849,202310,PUT,330.0,2,1.7,1.7,1.7,1.7
45,20230905,KR4301TA3309,코스피200 P 202310 330.0,850,202310,PUT,330.0,2,1.72,1.72,1.72,1.72
46,20230905,KR4301TA3309,코스피200 P 202310 330.0,851,202310,PUT,330.0,2,1.72,1.73,1.72,1.73
47,20230905,KR4301TA3309,코스피200 P 202310 330.0,852,202310,PUT,330.0,2,1.73,1.73,1.72,1.72
48,20230905,KR4301TA3309,코스피200 P 202310 330.0,853,202310,PUT,330.0,2,1.7,1.7,1.7,1.7
49,20230905,KR4301TA3309,코스피200 P 202310 330.0,854,202310,PUT,330.0,2,1.68,1.68,1.68,1.68
50,20230905,KR4301TA3309,코스피200 P 202310 330.0,855,202310,PUT,330.0,2,1.67,1.68,1.64,1.64
51,20230905,KR4301TA3309,코스피200 P 202310 330.0,856,202310,PUT,330.0,2,1.65,1.67,1.65,1.67
52,20230905,KR4301TA3309,코스피200 P 202310 330.0,857,202310,PUT,330.0,2,1.67,1.67,1.66,1.67
53,20230905,KR4301TA3309,코스피200 P 202310 330.0,858,202310,PUT,330.0,2,1.69,1.69,1.68,1.68
54,20230905,KR4301TA3309,코스피200 P 202310 330.0,859,202310,PUT,330.0,2,1.69,1.71,1.69,1.71
55,20230905,KR4301TA3309,코스피200 P 202310 330.0,901,202310,PUT,330.0,2,1.73,1.73,1.71,1.71
56,20230905,KR4301TA3309,코스피200 P 202310 330.0,902,202310,PUT,330.0,2,1.65,1.65,1.62,1.62
57,20230905,KR4301TA3309,코스피200 P 202310 330.0,903,202310,PUT,330.0,2,1.61,1.61,1.57,1.57
58,20230905,KR4301TA3309,코스피200 P 202310 330.0,904,202310,PUT,330.0,2,1.56,1.56,1.55,1.55
59,20230905,KR4301TA3309,코스피200 P 202310 330.0,905,202310,PUT,330.0,2,1.58,1.6,1.58,1.6
60,20230905,KR4301TA3309,코스피200 P 202310 330.0,907,202310,PUT,330.0,2,1.57,1.58,1.57,1.58
61,20230905,KR4301TA3309,코스피200 P 202310 330.0,908,202310,PUT,330.0,2,1.59,1.61,1.59,1.61
62,20230905,KR4301TA3309,코스피200 P 202310 330.0,909,202310,PUT,330.0,2,1.68,1.72,1.68,1.72
63,20230905,KR4301TA3309,코스피200 P 202310 330.0,910,202310,PUT,330.0,2,1.66,1.66,1.66,1.66
64,20230905,KR4301TA3309,코스피200 P 202310 330.0,911,202310,PUT,330.0,2,1.67,1.67,1.67,1.67
65,20230905,KR4301TA3309,코스피200 P 202310 330.0,913,202310,PUT,330.0,2,1.71,1.71,1.71,1.71
66,20230905,KR4301TA3309,코스피200 P 202310 330.0,914,202310,PUT,330.0,2,1.69,1.72,1.69,1.72
67,20230905,KR4301TA3309,코스피200 P 202310 330.0,915,202310,PUT,330.0,2,1.64,1.64,1.63,1.63
68,20230905,KR4301TA3309,코스피200 P 202310 330.0,916,202310,PUT,330.0,2,1.67,1.67,1.67,1.67
69,20230905,KR4301TA3309,코스피200 P 202310 330.0,917,202310,PUT,330.0,2,1.63,1.63,1.63,1.63
70,20230905,KR4301TA3309,코스피200 P 202310 330.0,918,202310,PUT,330.0,2,1.62,1.62,1.62,1.62
71,20230905,KR4301TA3309,코스피200 P 202310 330.0,919,202310,PUT,330.0,2,1.64,1.64,1.63,1.64
72,20230905,KR4301TA3309,코스피200 P 202310 330.0,920,202310,PUT,330.0,2,1.6,1.6,1.6,1.6
