,거래일자,종목코드,종목명,시각,만기월,풋콜구분,행사가,결제월번호,시가,고가,저가,종가
0,20230906,KR4201TA3300,코스피200 C 202310 330.0,925,202310,CALL,330.0,2,11.5,11.5,11.5,11.5
1,20230906,KR4201TA3300,코스피200 C 202310 330.0,1013,202310,CALL,330.0,2,11.0,11.0,11.0,11.0
2,20230906,KR4201TA3300,코스피200 C 202310 330.0,1016,202310,CALL,330.0,2,10.95,10.95,10.95,10.95
3,20230906,KR4201TA3300,코스피200 C 202310 330.0,1017,202310,CALL,330.0,2,10.65,10.65,10.65,10.65
4,20230906,KR4201TA3300,코스피200 C 202310 330.0,1100,202310,CALL,330.0,2,10.3,10.3,10.3,10.3
5,20230906,KR4201TA3300,코스피200 C 202310 330.0,1154,202310,CALL,330.0,2,10.3,10.3,10.3,10.3
6,20230906,KR4201TA3300,코스피200 C 202310 330.0,1156,202310,CALL,330.0,2,10.35,10.35,10.35,10.35
7,20230906,KR4201TA3300,코스피200 C 202310 330.0,1159,202310,CALL,330.0,2,10.35,10.35,10.35,10.35
8,20230906,KR4201TA3300,코스피200 C 202310 330.0,1201,202310,CALL,330.0,2,10.3,10.3,10.3,10.3
9,20230906,KR4201TA3300,코스피200 C 202310 330.0,1205,202310,CALL,330.0,2,10.05,10.05,10.0,10.0
10,20230906,KR4201TA3300,코스피200 C 202310 330.0,1208,202310,CALL,330.0,2,9.85,9.85,9.85,9.85
11,20230906,KR4201TA3300,코스피200 C 202310 330.0,1316,202310,CALL,330.0,2,9.95,9.95,9.95,9.95
12,20230906,KR4201TA3300,코스피200 C 202310 330.0,1356,202310,CALL,330.0,2,10.1,10.1,10.1,10.1
13,20230906,KR4201TA3300,코스피200 C 202310 330.0,1405,202310,CALL,330.0,2,9.95,9.95,9.95,9.95
14,20230906,KR4201TA3300,코스피200 C 202310 330.0,1508,202310,CALL,330.0,2,9.9,9.9,9.9,9.9
15,20230906,KR4301TA3309,코스피200 P 202310 330.0,731,202310,PUT,330.0,2,,,,
16,20230906,KR4301TA3309,코스피200 P 202310 330.0,735,202310,PUT,330.0,2,,,,
17,20230906,KR4301TA3309,코스피200 P 202310 330.0,740,202310,PUT,330.0,2,,,,
18,20230906,KR4301TA3309,코스피200 P 202310 330.0,846,202310,PUT,330.0,2,1.85,1.87,1.85,1.86
19,20230906,KR4301TA3309,코스피200 P 202310 330.0,849,202310,PUT,330.0,2,1.86,1.89,1.86,1.89
20,20230906,KR4301TA3309,코스피200 P 202310 330.0,850,202310,PUT,330.0,2,1.85,1.87,1.85,1.85
21,20230906,KR4301TA3309,코스피200 P 202310 330.0,851,202310,PUT,330.0,2,1.86,1.86,1.86,1.86
22,20230906,KR4301TA3309,코스피200 P 202310 330.0,852,202310,PUT,330.0,2,1.84,1.84,1.84,1.84
23,20230906,KR4301TA3309,코스피200 P 202310 330.0,853,202310,PUT,330.0,2,1.81,1.82,1.81,1.82
24,20230906,KR4301TA3309,코스피200 P 202310 330.0,855,202310,PUT,330.0,2,1.74,1.74,1.74,1.74
25,20230906,KR4301TA3309,코스피200 P 202310 330.0,856,202310,PUT,330.0,2,1.74,1.75,1.74,1.75
26,20230906,KR4301TA3309,코스피200 P 202310 330.0,857,202310,PUT,330.0,2,1.75,1.75,1.75,1.75
27,20230906,KR4301TA3309,코스피200 P 202310 330.0,858,202310,PUT,330.0,2,1.75,1.75,1.75,1.75
28,20230906,KR4301TA3309,코스피200 P 202310 330.0,900,202310,PUT,330.0,2,1.75,1.75,1.71,1.71
29,20230906,KR4301TA3309,코스피200 P 202310 330.0,901,202310,PUT,330.0,2,1.76,1.76,1.7,1.7
30,20230906,KR4301TA3309,코스피200 P 202310 330.0,902,202310,PUT,330.0,2,1.73,1.75,1.73,1.75
