,거래일자,종목코드,종목명,시각,만기월,풋콜구분,행사가,결제월번호,시가,고가,저가,종가
45,20230912,KR4201T93278,코스피200 C 202309 327.5,1455,202309,CALL,327.5,1,8.72,8.72,8.72,8.72
46,20230912,KR4201T93278,코스피200 C 202309 327.5,1514,202309,CALL,327.5,1,8.42,8.42,8.42,8.42
47,20230912,KR4201T93278,코스피200 C 202309 327.5,1518,202309,CALL,327.5,1,8.33,8.33,8.33,8.33
48,20230912,KR4201T93278,코스피200 C 202309 327.5,1522,202309,CALL,327.5,1,8.39,8.39,8.39,8.39
49,20230912,KR4201T93278,코스피200 C 202309 327.5,1524,202309,CALL,327.5,1,8.3,8.34,8.3,8.34
50,20230912,KR4201T93278,코스피200 C 202309 327.5,1528,202309,CALL,327.5,1,8.14,8.21,8.14,8.21
51,20230912,KR4201T93278,코스피200 C 202309 327.5,1532,202309,CALL,327.5,1,8.18,8.18,8.18,8.18
52,20230912,KR4201T93278,코스피200 C 202309 327.5,1533,202309,CALL,327.5,1,8.16,8.22,8.16,8.22
53,20230912,KR4301T93276,코스피200 P 202309 327.5,730,202309,PUT,327.5,1,,,,
54,20230912,KR4301T93276,코스피200 P 202309 327.5,731,202309,PUT,327.5,1,,,,
55,20230912,KR4301T93276,코스피200 P 202309 327.5,732,202309,PUT,327.5,1,,,,
56,20230912,KR4301T93276,코스피200 P 202309 327.5,735,202309,PUT,327.5,1,,,,
57,20230912,KR4301T93276,코스피200 P 202309 327.5,740,202309,PUT,327.5,1,,,,
58,20230912,KR4301T93276,코스피200 P 202309 327.5,845,202309,PUT,327.5,1,0.03,0.04,0.03,0.03
59,20230912,KR4301T93276,코스피200 P 202309 327.5,846,202309,PUT,327.5,1,0.03,0.04,0.03,0.03
60,20230912,KR4301T93276,코스피200 P 202309 327.5,847,202309,PUT,327.5,1,0.03,0.04,0.03,0.03
61,20230912,KR4301T93276,코스피200 P 202309 327.5,848,202309,PUT,327.5,1,0.03,0.04,0.03,0.04
62,20230912,KR4301T93276,코스피200 P 202309 327.5,849,202309,PUT,327.5,1,0.04,0.04,0.03,0.03
63,20230912,KR4301T93276,코스피200 P 202309 327.5,850,202309,PUT,327.5,1,0.03,0.04,0.03,0.04
64,20230912,KR4301T93276,코스피200 P 202309 327.5,851,202309,PUT,327.5,1,0.04,0.04,0.03,0.03
65,20230912,KR4301T93276,코스피200 P 202309 327.5,852,202309,PUT,327.5,1,0.04,0.04,0.03,0.04
66,20230912,KR4301T93276,코스피200 P 202309 327.5,853,202309,PUT,327.5,1,0.04,0.04,0.03,0.04
67,20230912,KR4301T93276,코스피200 P 202309 327.5,854,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
68,20230912,KR4301T93276,코스피200 P 202309 327.5,855,202309,PUT,327.5,1,0.04,0.04,0.03,0.04
69,20230912,KR4301T93276,코스피200 P 202309 327.5,856,202309,PUT,327.5,1,0.03,0.03,0.03,0.03
70,20230912,KR4301T93276,코스피200 P 202309 327.5,857,202309,PUT,327.5,1,0.03,0.04,0.03,0.04
71,20230912,KR4301T93276,코스피200 P 202309 327.5,858,202309,PUT,327.5,1,0.03,0.03,0.03,0.03
72,20230912,KR4301T93276,코스피200 P 202309 327.5,859,202309,PUT,327.5,1,0.03,0.04,0.03,0.03
73,20230912,KR4301T93276,코스피200 P 202309 327.5,900,202309,PUT,327.5,1,0.04,0.04,0.03,0.04
74,20230912,KR4301T93276,코스피200 P 202309 327.5,901,202309,PUT,327.5,1,0.04,0.04,0.03,0.04
75,20230912,KR4301T93276,코스피200 P 202309 327.5,902,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
76,20230912,KR4301T93276,코스피200 P 202309 327.5,903,202309,PUT,327.5,1,0.04,0.04,0.03,0.04
77,20230912,KR4301T93276,코스피200 P 202309 327.5,904,202309,PUT,327.5,1,0.04,0.04,0.03,0.04
78,20230912,KR4301T93276,코스피200 P 202309 327.5,905,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
79,20230912,KR4301T93276,코스피200 P 202309 327.5,906,202309,PUT,327.5,1,0.04,0.05,0.03,0.05
80,20230912,KR4301T93276,코스피200 P 202309 327.5,907,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
81,20230912,KR4301T93276,코스피200 P 202309 327.5,908,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
82,20230912,KR4301T93276,코스피200 P 202309 327.5,909,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
83,20230912,KR4301T93276,코스피200 P 202309 327.5,910,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
84,20230912,KR4301T93276,코스피200 P 202309 327.5,911,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
85,20230912,KR4301T93276,코스피200 P 202309 327.5,912,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
86,20230912,KR4301T93276,코스피200 P 202309 327.5,913,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
87,20230912,KR4301T93276,코스피200 P 202309 327.5,914,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
88,20230912,KR4301T93276,코스피200 P 202309 327.5,915,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
89,20230912,KR4301T93276,코스피200 P 202309 327.5,916,202309,PUT,327.5,1,0.04,0.05,0.04,0.04
90,20230912,KR4301T93276,코스피200 P 202309 327.5,917,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
91,20230912,KR4301T93276,코스피200 P 202309 327.5,918,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
92,20230912,KR4301T93276,코스피200 P 202309 327.5,919,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
93,20230912,KR4301T93276,코스피200 P 202309 327.5,920,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
94,20230912,KR4301T93276,코스피200 P 202309 327.5,921,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
95,20230912,KR4301T93276,코스피200 P 202309 327.5,922,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
96,20230912,KR4301T93276,코스피200 P 202309 327.5,923,202309,PUT,327.5,1,0.05,0.05,0.04,0.05
97,20230912,KR4301T93276,코스피200 P 202309 327.5,924,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
98,20230912,KR4301T93276,코스피200 P 202309 327.5,925,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
